Direxion Daily AAPL Bull 2X ETF
AAPU
Shares Outstanding:6475001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","AAPU","","AAPL BULL 2X","8000.0000","271.3500","2170800.0000","AAPLU","1.0572919956"
"5/1/2026 12:00:00 AM","AAPU","AAPL","APPLE INC","99214.0000","271.3500","26921718.9000","037833100","13.1122710064"
"5/1/2026 12:00:00 AM","AAPU","","APPLE INC SWAP","29424.0000","271.3500","7984202.4000","AAPLBP","3.8887199598"
"5/1/2026 12:00:00 AM","AAPU","","APPLE INC SWAP","129513.0000","271.3500","35143352.5500","AAPLCT","17.1166322782"
"5/1/2026 12:00:00 AM","AAPU","","APPLE INC SWAP","141540.0000","271.3500","38406879.0000","AAPLML","18.7061386321"
"5/1/2026 12:00:00 AM","AAPU","","APPLE INC SWAP","259195.0000","271.3500","70332563.2500","AAPLBC","34.2555998498"
"5/1/2026 12:00:00 AM","AAPU","","APPLE INC SWAP","846406.0000","271.3500","229672268.1000","AAPLGS","111.8622861029"
"5/1/2026 12:00:00 AM","AAPU","","DREYFUS GOVT CASH MAN INS","61954536.1200","1.0000","61954536.1200","X9USDDGCM","30.1750668557"
"5/1/2026 12:00:00 AM","AAPU","","DREYFUS TRSRY SECURITIES CASH MGMT","64006386.8100","1.0000","64006386.8100","X9USDDTP3","31.1744243786"
"5/1/2026 12:00:00 AM","AAPU","","GOLDMAN FINL SQ TRSRY INST 506","23886355.6700","1.0000","23886355.6700","X9USDGSFC","11.6338919540"
"5/1/2026 12:00:00 AM","AAPU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","21010000.4000","1.0000","21010000.4000","X9USDGLDS","10.2329580110"
