Direxion Daily AMD Bull 2X ETF
AMUU
Shares Outstanding:600001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","AMUU","AMD","ADVANCED MICRO DEVICES","18316.0000","354.4900","6492838.8400","007903107","8.7537294896"
"5/1/2026 12:00:00 AM","AMUU","","AMD Shares SWAP","39992.0000","354.4900","14176764.0800","AMDCT","19.1132971034"
"5/1/2026 12:00:00 AM","AMUU","","AMD Shares SWAP","51046.0000","354.4900","18095296.5400","AMDBC","24.3963133612"
"5/1/2026 12:00:00 AM","AMUU","","AMD Shares SWAP","54889.0000","354.4900","19457601.6100","AMDML","26.2329907159"
"5/1/2026 12:00:00 AM","AMUU","","AMD Shares SWAP","127105.0000","354.4900","45057451.4500","AMDGS","60.7470401163"
"5/1/2026 12:00:00 AM","AMUU","","Direxion Daily AMD Shares","2378.0000","354.4900","842977.2200","AMDBP","1.1365128154"
"5/1/2026 12:00:00 AM","AMUU","","Direxion Daily AMD Shares","124742.0000","354.4900","44219791.5800","AMDNM","59.6176962211"
"5/1/2026 12:00:00 AM","AMUU","","DREYFUS GOVT CASH MAN INS","27866918.7200","1.0000","27866918.7200","X9USDDGCM","37.5705410520"
"5/1/2026 12:00:00 AM","AMUU","","DREYFUS TRSRY SECURITIES CASH MGMT","17136156.7200","1.0000","17136156.7200","X9USDDTP3","23.1031886227"
"5/1/2026 12:00:00 AM","AMUU","","GOLDMAN FINL SQ TRSRY INST 506","12194153.8000","1.0000","12194153.8000","X9USDGSFC","16.4403162237"
"5/1/2026 12:00:00 AM","AMUU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","4950003.5500","1.0000","4950003.5500","X9USDGLDS","6.6736589521"
