Direxion Daily AVGO Bull 2X ETF
AVL
Shares Outstanding:3225001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","AVL","AVGO","BROADCOM INC","76539.0000","417.4300","31949674.7700","11135F101","16.9485038670"
"5/1/2026 12:00:00 AM","AVL","","Direxion Daily AVGO Bull/Bear SWAP","39508.0000","417.4300","16491824.4400","AVGOCT","8.7485006438"
"5/1/2026 12:00:00 AM","AVL","","Direxion Daily AVGO Bull/Bear SWAP","137656.0000","417.4300","57461744.0800","AVGONM","30.4820189487"
"5/1/2026 12:00:00 AM","AVL","","Direxion Daily AVGO Bull/Bear SWAP","182997.0000","417.4300","76388437.7100","AVGOML","40.5221568371"
"5/1/2026 12:00:00 AM","AVL","","Direxion Daily AVGO Bull/Bear SWAP","231673.0000","417.4300","96707260.3900","AVGOBC","51.3007843894"
"5/1/2026 12:00:00 AM","AVL","","Direxion Daily AVGO Bull/Bear SWAP","234804.0000","417.4300","98014233.7200","AVGOGS","51.9941010725"
"5/1/2026 12:00:00 AM","AVL","","DREYFUS GOVT CASH MAN INS","76349262.5200","1.0000","76349262.5200","X9USDDGCM","40.5013753780"
"5/1/2026 12:00:00 AM","AVL","","DREYFUS TRSRY SECURITIES CASH MGMT","32503931.0700","1.0000","32503931.0700","X9USDDTP3","17.2425229802"
"5/1/2026 12:00:00 AM","AVL","","GOLDMAN FINL SQ TRSRY INST 506","35567900.1600","1.0000","35567900.1600","X9USDGSFC","18.8678819970"
"5/1/2026 12:00:00 AM","AVL","","GOLDMAN SACHS FIN GOV 465 INSTITUT","28180058.7100","1.0000","28180058.7100","X9USDGLDS","14.9488167707"
