Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
4.77%,GILD,GILEAD SCIENCES INC,--,"$3,693,130.93","28,121"
4.68%,VRTX,VERTEX PHARMACEUTICALS INC,--,"$3,622,952.78","8,429"
4.63%,AMGN,AMGEN INC,--,"$3,579,374.70","10,791"
3.91%,REGN,REGENERON PHARMACEUTICALS,--,"$3,021,840.03","4,227"
2.06%,ALNY,ALNYLAM PHARMACEUTICALS INC,--,"$1,592,089.80","5,396"
1.49%,BIIB,BIOGEN INC,--,"$1,155,089.95","5,971"
1.48%,RVMD,REVOLUTION MEDICINES INC,--,"$1,143,697.65","8,065"
1.30%,UTHR,UNITED THERAPEUTICS CORP,--,"$1,007,288.02","1,783"
1.17%,ARGX,ARGENX SE - ADR,--,"$903,406.35","1,155"
1.15%,INSM,INSMED INC,--,"$889,143.55","8,773"
1.14%,RPRX,ROYALTY PHARMA PLC- CL A,--,"$885,574.44","17,436"
1.14%,ILMN,ILLUMINA INC,--,"$883,061.12","6,224"
1.13%,MRNA,MODERNA INC,--,"$873,567.55","16,073"
1.08%,ROIV,ROIVANT SCIENCES LTD,--,"$832,067.04","29,134"
1.04%,VTRS,VIATRIS INC,--,"$804,672.05","46,865"
1.03%,INCY,INCYTE CORP,--,"$798,533.12","8,102"
0.80%,NBIX,NEUROCRINE BIOSCIENCES INC,--,"$622,093.50","4,086"
0.77%,ASND,ASCENDIS PHARMA A/S,--,"$597,843.30","2,505"
0.74%,SMMT,SUMMIT THERAPEUTICS INC,--,"$570,604.80","31,560"
0.73%,JAZZ,JAZZ PHARMACEUTICALS PLC,--,"$565,603.95","2,505"
0.69%,BBIO,BRIDGEBIO PHARMA INC,--,"$531,774.49","7,891"
0.66%,GH,GUARDANT HEALTH INC,--,"$510,750.90","5,337"
0.66%,IONS,IONIS PHARMACEUTICALS INC,--,"$509,149.75","6,725"
0.66%,EXEL,EXELIXIS INC,--,"$509,099.36","10,571"
0.63%,MEDP,MEDPACE HOLDINGS INC,--,"$489,720.00","1,155"
0.62%,MDGL,MADRIGAL PHARMACEUTICALS INC,--,"$476,377.36",934
0.59%,AXSM,AXSOME THERAPEUTICS INC,--,"$452,585.16","2,082"
0.56%,BNTX,BIONTECH SE-ADR,--,"$436,457.63","4,637"
0.56%,SNY,SANOFI-ADR,--,"$431,367.60","9,960"
0.55%,BMRN,BIOMARIN PHARMACEUTICAL INC,--,"$423,181.68","7,828"
0.54%,ARWR,ARROWHEAD PHARMACEUTICALS IN,--,"$414,478.38","5,702"
0.52%,ONC,BEONE MEDICINES LTD-ADR,--,"$406,068.12","1,301"
0.50%,CYTK,CYTOKINETICS INC,--,"$385,626.74","5,014"
0.48%,PRAX,PRAXIS PRECISION MEDICINES I,--,"$374,242.68","1,134"
0.47%,KRYS,KRYSTAL BIOTECH INC,--,"$364,406.32","1,192"
0.46%,IBRX,IMMUNITYBIO INC,--,"$356,134.99","41,849"
0.46%,TEM,TEMPUS AI INC-CL A,--,"$352,510.20","7,070"
0.41%,NUVL,NUVALENT INC-A,--,"$313,734.40","2,980"
0.40%,PCVX,VAXCYTE INC,--,"$310,479.57","5,857"
0.40%,HALO,HALOZYME THERAPEUTICS INC,--,"$308,032.48","4,804"
0.40%,ABVX,ABIVAX SA-ADR,--,"$306,727.26","2,499"
0.37%,KYMR,KYMERA THERAPEUTICS INC,--,"$285,871.68","3,321"
0.34%,MIRM,MIRUM PHARMACEUTICALS INC,--,"$263,184.96","2,456"
0.34%,RYTM,RHYTHM PHARMACEUTICALS INC,--,"$261,792.60","2,780"
0.33%,PTGX,PROTAGONIST THERAPEUTICS INC,--,"$258,137.28","2,598"
0.32%,PTCT,PTC THERAPEUTICS INC,--,"$248,187.92","3,368"
0.31%,SYRE,SPYRE THERAPEUTICS INC,--,"$239,843.82","3,196"
0.31%,IMVT,IMMUNOVANT INC,--,"$239,825.78","8,287"
0.31%,CGON,CG ONCOLOGY INC,--,"$239,283.94","3,437"
0.31%,ALKS,ALKERMES PLC,--,"$237,372.16","6,784"
0.30%,COGT,COGENT BIOSCIENCES INC,--,"$229,561.92","6,608"
0.28%,CRSP,CRISPR THERAPEUTICS AG,--,"$214,220.81","3,907"
0.28%,APLS,APELLIS PHARMACEUTICALS INC,--,"$213,479.09","5,203"
0.26%,SRRK,SCHOLAR ROCK HOLDING CORP,--,"$201,012.06","4,154"
0.26%,INDV,INDIVIOR PHARMACEUTICALS INC,--,"$200,976.00","5,088"
0.25%,CNTA,CENTESSA PHARMACEUTICALS-ADR,--,"$192,763.71","4,869"
0.25%,XENE,XENON PHARMACEUTICALS INC,--,"$191,105.84","3,386"
0.24%,CAI,CARIS LIFE SCIENCES INC,--,"$185,498.90","11,486"
0.24%,APGE,APOGEE THERAPEUTICS INC,--,"$185,239.93","2,231"
0.23%,--,NEWAMSTERDAM PHARMA CO NV,--,"$181,178.94","4,678"
0.23%,LGND,LIGAND PHARMACEUTICALS,--,"$179,342.10",810
0.22%,AMRX,AMNEAL PHARMACEUTICALS INC,--,"$169,039.20","12,806"
0.21%,TVTX,TRAVERE THERAPEUTICS INC,--,"$159,963.00","3,755"
0.21%,CRNX,CRINETICS PHARMACEUTICALS IN,--,"$159,739.76","4,262"
0.20%,ACAD,ACADIA PHARMACEUTICALS INC,--,"$155,388.80","6,937"
0.20%,EWTX,EDGEWISE THERAPEUTICS INC,--,"$154,207.12","4,366"
0.18%,TWST,TWIST BIOSCIENCE CORP,--,"$141,897.60","2,496"
0.17%,BEAM,BEAM THERAPEUTICS INC,--,"$134,031.04","4,147"
0.17%,VCYT,VERACYTE INC,--,"$130,839.54","3,237"
0.16%,ERAS,ERASCA INC,--,"$127,542.36","12,603"
0.16%,ORKA,ORUKA THERAPEUTICS INC,--,"$127,242.30","1,970"
0.16%,DNLI,DENALI THERAPEUTICS INC,--,"$126,627.48","6,454"
0.16%,TNGX,TANGO THERAPEUTICS INC,--,"$126,195.64","5,482"
0.16%,GPCR,STRUCTURE THERAPEUTICS INC,--,"$124,064.30","3,173"
0.16%,ALMS,ALUMIS INC,--,"$121,754.36","5,146"
0.16%,SUPN,SUPERNUS PHARMACEUTICALS INC,--,"$120,271.02","2,334"
0.15%,DYN,DYNE THERAPEUTICS INC,--,"$117,987.00","6,700"
0.14%,KNSA,KINIKSA PHARMACEUTICALS INTE,--,"$109,582.00","1,870"
0.14%,ARQT,ARCUTIS BIOTHERAPEUTICS INC,--,"$106,781.48","5,044"
0.14%,IRON,DISC MEDICINE INC,--,"$106,076.04","1,554"
0.14%,TARS,TARSUS PHARMACEUTICALS INC,--,"$106,015.72","1,732"
0.14%,VERA,VERA THERAPEUTICS INC,--,"$105,095.76","2,904"
0.13%,TXG,10X GENOMICS INC-CLASS A,--,"$103,420.80","4,788"
0.13%,RARE,ULTRAGENYX PHARMACEUTICAL IN,--,"$102,729.96","3,933"
0.13%,KOD,KODIAK SCIENCES INC,--,"$101,868.84","2,484"
0.13%,IDYA,IDEAYA BIOSCIENCES INC,--,"$101,244.00","3,575"
0.13%,ELVN,ENLIVEN THERAPEUTICS INC,--,"$98,492.75","2,417"
0.13%,GRAL,GRAIL INC,--,"$97,637.76","1,584"
0.12%,LEGN,LEGEND BIOTECH CORP-ADR,--,"$96,592.20","3,435"
0.12%,MLYS,MINERALYS THERAPEUTICS INC,--,"$95,177.88","3,222"
0.12%,RLAY,RELAY THERAPEUTICS INC,--,"$92,829.00","7,275"
0.12%,DFTX,DEFINIUM THERAPEUTICS INC,--,"$89,478.90","4,058"
0.11%,BCRX,BIOCRYST PHARMACEUTICALS INC,--,"$88,010.20","10,210"
0.11%,ADPT,ADAPTIVE BIOTECHNOLOGIES,--,"$86,547.27","6,267"
0.11%,OCUL,OCULAR THERAPEUTIX INC,--,"$85,508.65","8,861"
0.11%,SRPT,SAREPTA THERAPEUTICS INC,--,"$85,128.03","4,266"
0.11%,NVCR,NOVOCURE LTD,--,"$82,866.48","4,632"
0.11%,AUPH,AURINIA PHARMACEUTICALS INC,--,"$82,424.76","5,412"
0.10%,SION,SIONNA THERAPEUTICS INC,--,"$80,410.14","1,818"
0.10%,INBX,INHIBRX BIOSCIENCES INC,--,"$79,400.85",591
0.10%,ADMA,ADMA BIOLOGICS INC,--,"$79,208.15","9,695"
0.10%,PHVS,PHARVARIS NV,--,"$78,474.72","2,608"
0.10%,ANAB,ANAPTYSBIO INC,--,"$78,273.57","1,129"
0.10%,SNDX,SYNDAX PHARMACEUTICALS INC,--,"$77,170.59","3,591"
