Direxion Daily BA Bull 2X ETF
BOEU
Shares Outstanding:525001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","BOEU","","BOEING CO SWAP","11234.0000","229.2100","2574945.1400","BACT","12.4774281000"
"5/15/2026 12:00:00 AM","BOEU","","BOEING CO SWAP","21450.0000","229.2100","4916554.5000","BABC","23.8241795216"
"5/15/2026 12:00:00 AM","BOEU","","BOEING CO SWAP","29169.0000","229.2100","6685826.4900","BAML","32.3975520963"
"5/15/2026 12:00:00 AM","BOEU","","BOEING CO SWAP","39089.0000","229.2100","8959589.6900","BANM","43.4155409473"
"5/15/2026 12:00:00 AM","BOEU","","BOEING CO SWAP","65815.0000","229.2100","15085456.1500","BAGS","73.0996911521"
"5/15/2026 12:00:00 AM","BOEU","BA","BOEING CO/THE","13312.0000","229.2100","3051243.5200","097023105","14.7854302001"
"5/15/2026 12:00:00 AM","BOEU","","DREYFUS GOVT CASH MAN INS","6881693.5100","1.0000","6881693.5100","X9USDDGCM","33.3466661652"
"5/15/2026 12:00:00 AM","BOEU","","DREYFUS TRSRY SECURITIES CASH MGMT","4968708.9300","1.0000","4968708.9300","X9USDDTP3","24.0769045759"
"5/15/2026 12:00:00 AM","BOEU","","GOLDMAN FINL SQ TRSRY INST 506","3733595.5500","1.0000","3733595.5500","X9USDGSFC","18.0919077871"
"5/15/2026 12:00:00 AM","BOEU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","1740000.9600","1.0000","1740000.9600","X9USDGLDS","8.4315337578"
