Direxion Daily Healthcare Bull 3X ETF
CURE
Shares Outstanding:1600008


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","CURE","ABT","ABBOTT LABORATORIES","36126.0000","84.9000","3067097.4000","002824100","2.1316020461"
"5/15/2026 12:00:00 AM","CURE","ABBV","ABBVIE INC","36720.0000","210.7700","7739474.4000","00287Y109","5.3788573739"
"5/15/2026 12:00:00 AM","CURE","A","AGILENT TECHNOLOGIES INC","5876.0000","113.2600","665515.7600","00846U101","0.4625268033"
"5/15/2026 12:00:00 AM","CURE","ALGN","ALIGN TECHNOLOGY INC","1386.0000","160.5300","222494.5800","016255101","0.1546315099"
"5/15/2026 12:00:00 AM","CURE","AMGN","AMGEN INC","11187.0000","336.2300","3761405.0100","031162100","2.6141388974"
"5/15/2026 12:00:00 AM","CURE","BAX","BAXTER INTERNATIONAL INC","10690.0000","17.7800","190068.2000","071813109","0.1320954998"
"5/15/2026 12:00:00 AM","CURE","BDX","BECTON DICKINSON AND CO","5914.0000","144.4700","854395.5800","075887109","0.5937963908"
"5/15/2026 12:00:00 AM","CURE","TECH","BIO-TECHNE CORP","3250.0000","44.7400","145405.0000","09073M104","0.1010550221"
"5/15/2026 12:00:00 AM","CURE","BIIB","BIOGEN INC","3050.0000","191.3700","583678.5000","09062X103","0.4056507253"
"5/15/2026 12:00:00 AM","CURE","BSX","BOSTON SCIENTIFIC CORP","30810.0000","53.5500","1649875.5000","101137107","1.1466469867"
"5/15/2026 12:00:00 AM","CURE","BMY","BRISTOL-MYERS SQUIBB CO","42308.0000","56.7700","2401825.1600","110122108","1.6692444868"
"5/15/2026 12:00:00 AM","CURE","CAH","CARDINAL HEALTH INC","4889.0000","194.3800","950323.8200","14149Y108","0.6604655591"
"5/15/2026 12:00:00 AM","CURE","COR","CENCORA INC","4042.0000","261.1100","1055406.6200","03073E105","0.7334970551"
