Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
13.90%,XOM,EXXON MOBIL CORP,--,"$11,443,877.25","74,919"
10.37%,CVX,CHEVRON CORP,--,"$8,535,267.62","44,774"
4.38%,COP,CONOCOPHILLIPS,--,"$3,605,032.16","29,264"
2.93%,SLB,SLB LTD,--,"$2,410,049.72","42,341"
2.74%,WMB,WILLIAMS COS INC,--,"$2,256,002.10","29,865"
2.59%,EOG,EOG RESOURCES INC,--,"$2,134,827.80","15,364"
2.59%,VLO,VALERO ENERGY CORP,--,"$2,132,463.06","8,638"
2.50%,MPC,MARATHON PETROLEUM CORP,--,"$2,056,090.95","8,353"
2.44%,PSX,PHILLIPS 66,--,"$2,010,151.71","11,409"
2.35%,BKR,BAKER HUGHES CO,--,"$1,934,184.96","27,983"
2.17%,KMI,KINDER MORGAN INC,--,"$1,786,873.10","55,437"
1.93%,OKE,ONEOK INC,--,"$1,590,790.64","17,816"
1.88%,TRGP,TARGA RESOURCES CORP,--,"$1,545,513.84","6,078"
1.45%,OXY,OCCIDENTAL PETROLEUM CORP,--,"$1,195,570.44","20,364"
1.38%,FANG,DIAMONDBACK ENERGY INC,--,"$1,139,790.85","5,489"
1.26%,EQT,EQT CORP,--,"$1,036,522.20","17,670"
1.20%,HAL,HALLIBURTON CO,--,"$988,425.16","23,726"
1.08%,DVN,DEVON ENERGY CORP,--,"$887,985.28","17,563"
0.92%,CTRA,COTERRA ENERGY INC,--,"$760,068.54","21,483"
0.86%,TPL,TEXAS PACIFIC LAND CORP,--,"$711,136.80","1,640"
0.82%,EXE,EXPAND ENERGY CORP,--,"$675,009.04","6,742"
0.49%,APA,APA CORP,--,"$403,025.59","10,043"
34.09%,--,ENERGY SELECT SECTOR INDEX SWAP BNP PARIBAS,"28,061,293",--,"22,667"
30.07%,--,ENERGY SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"24,757,124",--,"19,998"
26.96%,--,ENERGY SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"22,198,219",--,"17,931"
22.03%,--,ENERGY SELECT SECTOR INDEX SWAP UBS AG,"18,135,169",--,"14,649"
19.11%,--,ENERGY SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"15,732,250",--,"12,708"
5.60%,--,ENERGY SELECT SECTOR INDEX SWAP CITIBANK NA,"4,612,713",--,"3,726"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$31,085,115.64","31,085,116"
