Direxion Daily Regional Banks Bull 3X ETF
DPST
Shares Outstanding:4173935


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","DPST","SRCE","1ST SOURCE CORP","12371.0000","71.8200","888485.2200","336901103","0.2000126272"
"5/15/2026 12:00:00 AM","DPST","AMAL","AMALGAMATED FINANCIAL CORP","18913.0000","40.4200","764463.4600","022671101","0.1720932905"
"5/15/2026 12:00:00 AM","DPST","AMTB","AMERANT BANCORP INC","27137.0000","22.6500","614653.0500","023576101","0.1383685047"
"5/15/2026 12:00:00 AM","DPST","ABCB","AMERIS BANCORP","58895.0000","83.6700","4927744.6500","03076K108","1.1093163189"
"5/15/2026 12:00:00 AM","DPST","ASB","ASSOCIATED BANC-CORP","198768.0000","27.8100","5527738.0800","045487105","1.2443847021"
"5/15/2026 12:00:00 AM","DPST","AUB","ATLANTIC UNION BANKSHARES CO","141188.0000","36.8400","5201365.9200","04911A107","1.1709129643"
"5/15/2026 12:00:00 AM","DPST","AX","AXOS FINANCIAL INC","45543.0000","83.4400","3800107.9200","05465C100","0.8554667558"
"5/15/2026 12:00:00 AM","DPST","BANC","BANC OF CALIFORNIA INC","274371.0000","18.6800","5125250.2800","05990K106","1.1537780826"
"5/15/2026 12:00:00 AM","DPST","BANF","BANCFIRST CORP","14542.0000","108.8800","1583332.9600","05945F103","0.3564342748"
"5/15/2026 12:00:00 AM","DPST","TBBK","BANCORP INC/THE","78286.0000","54.7800","4288507.0800","05969A105","0.9654134346"
"5/15/2026 12:00:00 AM","DPST","BFC","BANK FIRST CORP","7906.0000","143.7700","1136645.6200","06211J100","0.2558776123"
"5/15/2026 12:00:00 AM","DPST","BOH","BANK OF HAWAII CORP","48208.0000","76.9200","3708159.3600","062540109","0.8347676236"
"5/15/2026 12:00:00 AM","DPST","OZK","BANK OZK","112136.0000","47.1200","5283848.3200","06417N103","1.1894811083"
"5/15/2026 12:00:00 AM","DPST","BKU","BANKUNITED INC","109465.0000","46.0600","5041957.9000","06652K103","1.1350275988"
"5/15/2026 12:00:00 AM","DPST","BANR","BANNER CORPORATION","29733.0000","63.7200","1894586.7600","06652V208","0.4265026213"
"5/15/2026 12:00:00 AM","DPST","BBT","BEACON FINANCIAL CORP","94736.0000","28.3900","2689555.0400","084680107","0.6054630482"
"5/15/2026 12:00:00 AM","DPST","BOKF","BOK FINANCIAL CORPORATION","39203.0000","127.3100","4990933.9300","05561Q201","1.1235412644"
"5/15/2026 12:00:00 AM","DPST","BHRB","BURKE & HERBERT FINANCIAL SE","9222.0000","62.3250","574761.1500","12135Y108","0.1293881823"
"5/15/2026 12:00:00 AM","DPST","BY","BYLINE BANCORP INC","24275.0000","32.5700","790636.7500","124411109","0.1779853283"
"5/15/2026 12:00:00 AM","DPST","BCAL","CALIFORNIA BANCORP","26413.0000","18.6400","492338.3200","84252A106","0.1108334485"
"5/15/2026 12:00:00 AM","DPST","CAC","CAMDEN NATIONAL CORP","10245.0000","47.5300","486944.8500","133034108","0.1096192897"
"5/15/2026 12:00:00 AM","DPST","CFFN","CAPITOL FEDERAL FINANCIAL IN","107462.0000","7.6400","821009.6800","14057J101","0.1848227740"
"5/15/2026 12:00:00 AM","DPST","CATY","CATHAY GENERAL BANCORP","51025.0000","56.2700","2871176.7500","149150104","0.6463490804"
"5/15/2026 12:00:00 AM","DPST","CPF","CENTRAL PACIFIC FINANCIAL CO","19266.0000","34.1800","658511.8800","154760409","0.1482418483"
"5/15/2026 12:00:00 AM","DPST","CFG","CITIZENS FINANCIAL GROUP","84215.0000","61.1800","5152273.7000","174610105","1.1598614986"
"5/15/2026 12:00:00 AM","DPST","CHCO","CITY HOLDING CO","11279.0000","122.1100","1377278.6900","177835105","0.3100480717"
"5/15/2026 12:00:00 AM","DPST","CCB","COASTAL FINANCIAL CORP/WA","22656.0000","69.7100","1579349.7600","19046P209","0.3555375910"
"5/15/2026 12:00:00 AM","DPST","COLB","COLUMBIA BANKING SYSTEM INC","184070.0000","29.1200","5360118.4000","197236102","1.2066507570"
"5/15/2026 12:00:00 AM","DPST","CLBK","COLUMBIA FINANCIAL INC","13824.0000","19.7000","272332.8000","197641103","0.0613065897"
"5/15/2026 12:00:00 AM","DPST","CBSH","COMMERCE BANCSHARES INC","102019.0000","51.0400","5207049.7600","200525103","1.1721924901"
"5/15/2026 12:00:00 AM","DPST","CBU","COMMUNITY FINANCIAL SYSTEM I","30259.0000","62.2200","1882714.9800","203607106","0.4238300885"
"5/15/2026 12:00:00 AM","DPST","CTBI","COMMUNITY TRUST BANCORP INC","8214.0000","64.5050","529844.0700","204149108","0.1192766093"
"5/15/2026 12:00:00 AM","DPST","CNOB","CONNECTONE BANCORP INC","36600.0000","29.5900","1082994.0000","20786W107","0.2437997508"
