Direxion Daily Real Estate Bull 3X ETF
DRN
Shares Outstanding:4300000


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","DRN","ARE","ALEXANDRIA REAL ESTATE EQUIT","5100.0000","40.5100","206601.0000","015271109","0.4409213356"
"5/1/2026 12:00:00 AM","DRN","AMT","AMERICAN TOWER CORP","9973.0000","182.7100","1822166.8300","03027X100","3.8888109558"
"5/1/2026 12:00:00 AM","DRN","AVB","AVALONBAY COMMUNITIES INC","4630.0000","183.0000","847290.0000","053484101","1.8082595844"
"5/1/2026 12:00:00 AM","DRN","BXP","BXP INC","4822.0000","58.4600","281894.1200","101121101","0.6016095366"
"5/1/2026 12:00:00 AM","DRN","CPT","CAMDEN PROPERTY TRUST","3381.0000","105.0200","355072.6200","133131102","0.7577847824"
"5/1/2026 12:00:00 AM","DRN","CBRE","CBRE GROUP INC - A","9502.0000","142.7300","1356220.4600","12504L109","2.8944029144"
"5/1/2026 12:00:00 AM","DRN","CSGP","COSTAR GROUP INC","13859.0000","34.6100","479659.9900","22160N109","1.0236752165"
"5/1/2026 12:00:00 AM","DRN","CCI","CROWN CASTLE INC","14240.0000","88.7800","1264227.2000","22822V101","2.6980738015"
"5/1/2026 12:00:00 AM","DRN","DLR","DIGITAL REALTY TRUST INC","7419.0000","200.9400","1490773.8600","253868103","3.1815625353"
"5/1/2026 12:00:00 AM","DRN","","DREYFUS GOVT CASH MAN INS","11973747.4400","1.0000","11973747.4400","X9USDDGCM","25.5539939923"
"5/1/2026 12:00:00 AM","DRN","EQIX","EQUINIX INC","2093.0000","1082.8300","2266363.1900","29444U700","4.8368008121"
"5/1/2026 12:00:00 AM","DRN","EQR","EQUITY RESIDENTIAL","11243.0000","65.3800","735067.3400","29476L107","1.5687575243"
"5/1/2026 12:00:00 AM","DRN","ESS","ESSEX PROPERTY TRUST INC","2107.0000","263.2100","554583.4700","297178105","1.1835745435"
"5/1/2026 12:00:00 AM","DRN","EXR","EXTRA SPACE STORAGE INC","6941.0000","143.3300","994853.5300","30225T102","2.1231850142"
"5/1/2026 12:00:00 AM","DRN","FRT","FEDERAL REALTY INVS TRUST","2567.0000","110.9000","284680.3000","313745101","0.6075557141"
"5/1/2026 12:00:00 AM","DRN","","GOLDMAN FINL SQ TRSRY INST 506","1954740.8500","1.0000","1954740.8500","X9USDGSFC","4.1717462463"
"5/1/2026 12:00:00 AM","DRN","DOC","HEALTHPEAK PROPERTIES INC","22728.0000","16.1700","367511.7600","42250P103","0.7843320025"
"5/1/2026 12:00:00 AM","DRN","HST","HOST HOTELS & RESORTS INC","20914.0000","21.1300","441912.8200","44107P104","0.9431163973"
"5/1/2026 12:00:00 AM","DRN","INVH","INVITATION HOMES INC","18442.0000","28.7700","530576.3400","46187W107","1.1323392842"
"5/1/2026 12:00:00 AM","DRN","IRM","IRON MOUNTAIN INC","9674.0000","125.9900","1218827.2600","46284V101","2.6011826820"
"5/1/2026 12:00:00 AM","DRN","KIM","KIMCO REALTY CORP","22043.0000","23.6400","521096.5200","49446R109","1.1121077514"
"5/1/2026 12:00:00 AM","DRN","MAA","MID-AMERICA APARTMENT COMM","3823.0000","129.1800","493855.1400","59522J103","1.0539700577"
"5/1/2026 12:00:00 AM","DRN","PLD","PROLOGIS INC","19802.0000","142.0200","2812280.0400","74340W103","6.0018793287"
"5/1/2026 12:00:00 AM","DRN","PSA","PUBLIC STORAGE","4467.0000","302.4500","1351044.1500","74460D109","2.8833557970"
"5/1/2026 12:00:00 AM","DRN","","REAL ESTATE SELECT SECTOR INDEX SWAP","110596.0000","217.9800","24107716.0800","IXREML","51.4499270144"
"5/1/2026 12:00:00 AM","DRN","","REAL ESTATE SELECT SECTOR INDEX SWAP","187240.0000","217.9800","40814575.2000","IXREU","87.1051786157"
"5/1/2026 12:00:00 AM","DRN","","REAL ESTATE SELECT SECTOR INDEX SWAP","203865.0000","217.9800","44438492.7000","IXREJP","94.8392290028"
"5/1/2026 12:00:00 AM","DRN","O","REALTY INCOME CORP","20705.0000","64.2400","1330089.2000","756109104","2.8386344038"
"5/1/2026 12:00:00 AM","DRN","REG","REGENCY CENTERS CORP","5383.0000","77.8500","419066.5500","758849103","0.8943586087"
"5/1/2026 12:00:00 AM","DRN","SBAC","SBA COMMUNICATIONS CORP","3484.0000","221.2000","770660.8000","78410G104","1.6447199636"
"5/1/2026 12:00:00 AM","DRN","SPG","SIMON PROPERTY GROUP INC","7068.0000","203.7100","1439822.2800","828806109","3.0728232809"
"5/1/2026 12:00:00 AM","DRN","UDR","UDR INC","9834.0000","36.3400","357367.5600","902653104","0.7626825709"
"5/1/2026 12:00:00 AM","DRN","VTR","VENTAS INC","15532.0000","87.8600","1364641.5200","92276F100","2.9123748750"
"5/1/2026 12:00:00 AM","DRN","VICI","VICI PROPERTIES INC","35723.0000","29.2000","1043111.6000","925652109","2.2261758646"
"5/1/2026 12:00:00 AM","DRN","WELL","WELLTOWER INC","14864.0000","217.3400","3230541.7600","95040Q104","6.8945202946"
"5/1/2026 12:00:00 AM","DRN","WY","WEYERHAEUSER CO","23562.0000","24.5200","577740.2400","962166104","1.2329949914"
