Direxion Daily Industrials Bull 3X ETF
DUSL
Shares Outstanding:650001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","DUSL","MMM","3M CO","4123.0000","145.1200","598329.7600","88579Y101","1.0284280443"
"5/15/2026 12:00:00 AM","DUSL","ALLE","ALLEGION PLC","672.0000","131.1400","88126.0800","G0176J109","0.1514738831"
"5/15/2026 12:00:00 AM","DUSL","AME","AMETEK INC","1801.0000","232.1400","418084.1400","031100100","0.7186161933"
"5/15/2026 12:00:00 AM","DUSL","ADP","AUTOMATIC DATA PROCESSING","3152.0000","208.3700","656782.2400","053015103","1.1288980087"
"5/15/2026 12:00:00 AM","DUSL","AXON","AXON ENTERPRISE INC","619.0000","388.1900","240289.6100","05464C101","0.4130173530"
"5/15/2026 12:00:00 AM","DUSL","BA","BOEING CO/THE","6148.0000","229.2100","1409183.0800","097023105","2.4221482799"
"5/15/2026 12:00:00 AM","DUSL","BR","BROADRIDGE FINANCIAL SOLUTIO","914.0000","143.3700","131040.1800","11133T103","0.2252359903"
"5/15/2026 12:00:00 AM","DUSL","BLDR","BUILDERS FIRSTSOURCE INC","866.0000","73.5800","63720.2800","12008R107","0.1095244250"
"5/15/2026 12:00:00 AM","DUSL","CHRW","C.H. ROBINSON WORLDWIDE INC","928.0000","159.7800","148275.8400","12541W209","0.2548611858"
"5/15/2026 12:00:00 AM","DUSL","CARR","CARRIER GLOBAL CORP","6149.0000","66.7300","410322.7700","14448C104","0.7052757060"
"5/15/2026 12:00:00 AM","DUSL","CAT","CATERPILLAR INC","3642.0000","920.2200","3351441.2400","149123101","5.7605628041"
"5/15/2026 12:00:00 AM","DUSL","CTAS","CINTAS CORP","2662.0000","165.9500","441758.9000","172908105","0.7593091167"
"5/15/2026 12:00:00 AM","DUSL","FIX","COMFORT SYSTEMS USA INC","274.0000","2042.3600","559606.6400","199908104","0.9618695255"
"5/15/2026 12:00:00 AM","DUSL","CPRT","COPART INC","6972.0000","32.6500","227635.8000","217204106","0.3912675856"
"5/15/2026 12:00:00 AM","DUSL","CSX","CSX CORP","14557.0000","45.9200","668457.4400","126408103","1.1489657103"
"5/15/2026 12:00:00 AM","DUSL","CMI","CUMMINS INC","1082.0000","716.4500","775198.9000","231021106","1.3324362951"
"5/15/2026 12:00:00 AM","DUSL","DE","DEERE & CO","1974.0000","574.6400","1134339.3600","244199105","1.9497382339"
"5/15/2026 12:00:00 AM","DUSL","DAL","DELTA AIR LINES INC","5085.0000","71.5500","363831.7500","247361702","0.6253654759"
"5/15/2026 12:00:00 AM","DUSL","DOV","DOVER CORP","1055.0000","214.3600","226149.8000","260003108","0.3887134020"
"5/15/2026 12:00:00 AM","DUSL","","DREYFUS GOVT CASH MAN INS","2980943.1900","1.0000","2980943.1900","X9USDDGCM","5.1237390817"
"5/15/2026 12:00:00 AM","DUSL","ETN","EATON CORP PLC","3041.0000","408.1000","1241032.1000","G29183103","2.1331250772"
"5/15/2026 12:00:00 AM","DUSL","EME","EMCOR GROUP INC","350.0000","930.0300","325510.5000","29084Q100","0.5594977039"
"5/15/2026 12:00:00 AM","DUSL","EMR","EMERSON ELECTRIC CO","4400.0000","137.8800","606672.0000","291011104","1.0427669493"
"5/15/2026 12:00:00 AM","DUSL","EFX","EQUIFAX INC","942.0000","157.7200","148572.2400","294429105","0.2553706475"
"5/15/2026 12:00:00 AM","DUSL","EXPD","EXPEDITORS INTL WASH INC","1049.0000","153.6100","161136.8900","302130109","0.2769671638"
"5/15/2026 12:00:00 AM","DUSL","FAST","FASTENAL CO","8987.0000","43.9800","395248.2600","311900104","0.6793651632"
"5/15/2026 12:00:00 AM","DUSL","FDX","FEDEX CORP","1693.0000","379.9800","643306.1400","31428X106","1.1057348634"
"5/15/2026 12:00:00 AM","DUSL","FTV","FORTIVE CORP","2452.0000","58.9200","144471.8400","34959J108","0.2483227508"
"5/15/2026 12:00:00 AM","DUSL","GEV","GE VERNOVA INC","2111.0000","1090.5300","2302108.8300","36828A101","3.9569371943"
"5/15/2026 12:00:00 AM","DUSL","GNRC","GENERAC HOLDINGS INC","459.0000","276.4900","126908.9100","368736104","0.2181350333"
"5/15/2026 12:00:00 AM","DUSL","GD","GENERAL DYNAMICS CORP","1988.0000","340.6200","677152.5600","369550108","1.1639111566"
"5/15/2026 12:00:00 AM","DUSL","GE","GENERAL ELECTRIC","8211.0000","291.5400","2393834.9400","369604301","4.1145989224"
"5/15/2026 12:00:00 AM","DUSL","","GOLDMAN FINL SQ TRSRY INST 506","11189737.7000","1.0000","11189737.7000","X9USDGSFC","19.2332737369"
"5/15/2026 12:00:00 AM","DUSL","","GOLDMAN SACHS FIN GOV 465 INSTITUT","1210504.9900","1.0000","1210504.9900","X9USDGLDS","2.0806541187"
"5/15/2026 12:00:00 AM","DUSL","HON","HONEYWELL INTERNATIONAL INC","4971.0000","217.7200","1082286.1200","438516106","1.8602674849"
"5/15/2026 12:00:00 AM","DUSL","HWM","HOWMET AEROSPACE INC","3138.0000","272.3700","854697.0600","443201108","1.4690802374"
"5/15/2026 12:00:00 AM","DUSL","HUBB","HUBBELL INC","416.0000","482.0300","200524.4800","443510607","0.3446677946"
"5/15/2026 12:00:00 AM","DUSL","JBHT","HUNT (JB) TRANSPRT SVCS INC","585.0000","254.6600","148976.1000","445658107","0.2560648148"
