Direxion Daily Energy Bull 2X ETF
ERX
Shares Outstanding:2863530


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/8/2026 12:00:00 AM","ERX","APA","APA CORP","36316.0000","36.2400","1316091.8400","03743Q108","0.5410416054"
"5/8/2026 12:00:00 AM","ERX","BKR","BAKER HUGHES CO","101188.0000","63.5300","6428473.6400","05722G100","2.6427271962"
"5/8/2026 12:00:00 AM","ERX","CVX","CHEVRON CORP","161904.0000","182.5000","29547480.0000","166764100","12.1468848358"
"5/8/2026 12:00:00 AM","ERX","COP","CONOCOPHILLIPS","105819.0000","114.8800","12156486.7200","20825C104","4.9974970521"
"5/8/2026 12:00:00 AM","ERX","DVN","DEVON ENERGY CORP","117886.0000","45.3100","5341414.6600","25179M103","2.1958403470"
"5/8/2026 12:00:00 AM","ERX","FANG","DIAMONDBACK ENERGY INC","19874.0000","190.4500","3785003.3000","25278X109","1.5560040717"
"5/8/2026 12:00:00 AM","ERX","","DREYFUS GOVT CASH MAN INS","66462053.7500","1.0000","66462053.7500","X9USDDGCM","27.3223609205"
"5/8/2026 12:00:00 AM","ERX","","ENERGY SELECT SECTOR  INDEX SWAP","20356.0000","1176.7900","23954737.2400","IXEML","9.8477242231"
"5/8/2026 12:00:00 AM","ERX","","ENERGY SELECT SECTOR  INDEX SWAP","48283.0000","1176.7900","56818951.5700","IXEJP","23.3581090913"
"5/8/2026 12:00:00 AM","ERX","","ENERGY SELECT SECTOR  INDEX SWAP","61646.0000","1176.7900","72544396.3400","IXEBP","29.8227946283"
"5/8/2026 12:00:00 AM","ERX","","ENERGY SELECT SECTOR  INDEX SWAP","65249.0000","1176.7900","76784370.7100","IXEU","31.5658360105"
"5/8/2026 12:00:00 AM","ERX","","ENERGY SELECT SECTOR  INDEX SWAP","68106.0000","1176.7900","80146459.7400","IXEBC","32.9479812308"
"5/8/2026 12:00:00 AM","ERX","EOG","EOG RESOURCES INC","55558.0000","130.8900","7271986.6200","26875P101","2.9894929788"
"5/8/2026 12:00:00 AM","ERX","EQT","EQT CORP","63900.0000","56.2200","3592458.0000","26884L109","1.4768492475"
"5/8/2026 12:00:00 AM","ERX","EXE","EXPAND ENERGY CORP","24387.0000","97.4200","2375781.5400","165167735","0.9766770216"
"5/8/2026 12:00:00 AM","ERX","XOM","EXXON MOBIL CORP","270921.0000","146.5800","39711600.1800","30231G102","16.3253256803"
"5/8/2026 12:00:00 AM","ERX","","GOLDMAN FINL SQ TRSRY INST 506","7806121.5100","1.0000","7806121.5100","X9USDGSFC","3.2090743101"
"5/8/2026 12:00:00 AM","ERX","","GOLDMAN SACHS FIN GOV 465 INSTITUT","4264562.4600","1.0000","4264562.4600","X9USDGLDS","1.7531494759"
"5/8/2026 12:00:00 AM","ERX","HAL","HALLIBURTON CO","85759.0000","39.1200","3354892.0800","406216101","1.3791865747"
"5/8/2026 12:00:00 AM","ERX","KMI","KINDER MORGAN INC","200463.0000","31.5200","6318593.7600","49456B101","2.5975558906"
"5/8/2026 12:00:00 AM","ERX","MPC","MARATHON PETROLEUM CORP","30206.0000","242.2600","7317705.5600","56585A102","3.0082879047"
"5/8/2026 12:00:00 AM","ERX","OXY","OCCIDENTAL PETROLEUM CORP","73641.0000","53.9400","3972195.5400","674599105","1.6329582682"
"5/8/2026 12:00:00 AM","ERX","OKE","ONEOK INC","64429.0000","85.8700","5532518.2300","682680103","2.2744024801"
"5/8/2026 12:00:00 AM","ERX","PSX","PHILLIPS 66","41256.0000","168.3100","6943797.3600","718546104","2.8545753091"
"5/8/2026 12:00:00 AM","ERX","SLB","SLB LTD","153111.0000","53.0000","8114883.0000","806857108","3.3360052789"
"5/8/2026 12:00:00 AM","ERX","TRGP","TARGA RESOURCES CORP","21980.0000","252.4400","5548631.2000","87612G101","2.2810264761"
"5/8/2026 12:00:00 AM","ERX","TPL","TEXAS PACIFIC LAND CORP","5929.0000","399.0800","2366145.3200","88262P102","0.9727155990"
"5/8/2026 12:00:00 AM","ERX","VLO","VALERO ENERGY CORP","31231.0000","236.3500","7381446.8500","91913Y100","3.0344917674"
"5/8/2026 12:00:00 AM","ERX","WMB","WILLIAMS COS INC","107993.0000","72.9500","7878089.3500","969457100","3.2386600841"
