Direxion Daily NYSE FANG+ Bull 2X ETF
FNGG
Shares Outstanding:629852


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","FNGG","GOOGL","ALPHABET INC-CL A","15575.0000","384.8000","5993260.0000","02079K305","4.5664046318"
"5/1/2026 12:00:00 AM","FNGG","AMZN","AMAZON.COM INC","22835.0000","265.0600","6052645.1000","023135106","4.6116515251"
"5/1/2026 12:00:00 AM","FNGG","AAPL","APPLE INC","19174.0000","271.3500","5202864.9000","037833100","3.9641841632"
"5/1/2026 12:00:00 AM","FNGG","AVGO","BROADCOM INC","15169.0000","417.4300","6331995.6700","11135F101","4.8244952424"
"5/1/2026 12:00:00 AM","FNGG","","DREYFUS GOVT CASH MAN INS","55205020.3400","1.0000","55205020.3400","X9USDDGCM","42.0619930691"
"5/1/2026 12:00:00 AM","FNGG","","GOLDMAN FINL SQ TRSRY INST 506","21362057.9100","1.0000","21362057.9100","X9USDGSFC","16.2762503522"
"5/1/2026 12:00:00 AM","FNGG","","GOLDMAN SACHS FIN GOV 465 INSTITUT","3270005.5100","1.0000","3270005.5100","X9USDGLDS","2.4914934955"
"5/1/2026 12:00:00 AM","FNGG","META","META PLATFORMS INC-CLASS A","7784.0000","611.9100","4763107.4400","30303M102","3.6291226938"
"5/1/2026 12:00:00 AM","FNGG","MU","MICRON TECHNOLOGY INC","10379.0000","517.1600","5367603.6400","595112103","4.0897024530"
"5/1/2026 12:00:00 AM","FNGG","MSFT","MICROSOFT CORP","12232.0000","407.7800","4987964.9600","594918104","3.8004468848"
"5/1/2026 12:00:00 AM","FNGG","NFLX","NETFLIX INC","50605.0000","93.6100","4737134.0500","64110L106","3.6093329620"
"5/1/2026 12:00:00 AM","FNGG","NVDA","NVIDIA CORP","26565.0000","199.5700","5301577.0500","67066G104","4.0393952535"
"5/1/2026 12:00:00 AM","FNGG","","NYSE FANG+ Index Swap","369.0000","16215.9400","5983681.8600","NYFANGBP","4.5591068235"
"5/1/2026 12:00:00 AM","FNGG","","NYSE FANG+ Index SWAP","2042.0000","16215.9400","33112949.4800","NYFANGBC","25.2295288172"
"5/1/2026 12:00:00 AM","FNGG","","NYSE FANG+ INDEX SWAP","2345.0000","16215.9400","38026379.3000","NYFANGML","28.9731856398"
"5/1/2026 12:00:00 AM","FNGG","","NYSE FANG+ Index SWAP","3723.0000","16215.9400","60371944.6200","NYFANGU","45.9987932353"
"5/1/2026 12:00:00 AM","FNGG","","NYSE FANG+ Index SWAP","4434.0000","16215.9400","71901477.9600","NYFANGJP","54.7834137001"
"5/1/2026 12:00:00 AM","FNGG","PLTR","PALANTIR TECHNOLOGIES INC-A","31370.0000","139.1100","4363880.7000","69608A108","3.3249425256"
