Direxion Daily GOOGL Bull 2X ETF
GGLL
Shares Outstanding:8300001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","GGLL","GOOGL","ALPHABET INC-CL A","340237.0000","384.8000","130923197.6000","02079K305","11.5240411541"
"5/1/2026 12:00:00 AM","GGLL","","ALPHABET INC-CL A SWAP","715789.0000","384.8000","275435607.2000","GOOGLBC","24.2442235666"
"5/1/2026 12:00:00 AM","GGLL","","ALPHABET INC-CL A SWAP","722208.0000","384.8000","277905638.4000","GOOGLML","24.4616391333"
"5/1/2026 12:00:00 AM","GGLL","","ALPHABET INC-CL A SWAP","1147104.0000","384.8000","441405619.2000","GOOGLCT","38.8531338567"
"5/1/2026 12:00:00 AM","GGLL","","ALPHABET INC-CL A SWAP","1350000.0000","384.8000","519480000.0000","GOOGLNM","45.7253489714"
"5/1/2026 12:00:00 AM","GGLL","","ALPHABET INC-CL A SWAP","1629469.0000","384.8000","627019671.2000","GOOGLGS","55.1911397505"
"5/1/2026 12:00:00 AM","GGLL","","DREYFUS GOVT CASH MAN INS","411680402.4600","1.0000","411680402.4600","X9USDDGCM","36.2366791160"
"5/1/2026 12:00:00 AM","GGLL","","DREYFUS TRSRY SECURITIES CASH MGMT","199488171.8400","1.0000","199488171.8400","X9USDDTP3","17.5592251349"
"5/1/2026 12:00:00 AM","GGLL","","GOLDMAN FINL SQ TRSRY INST 506","197095815.6200","1.0000","197095815.6200","X9USDGSFC","17.3486466275"
"5/1/2026 12:00:00 AM","GGLL","","GOLDMAN SACHS FIN GOV 465 INSTITUT","75231912.4600","1.0000","75231912.4600","X9USDGLDS","6.6220171152"
