Direxion Daily MSCI South Korea Bull 3X ETF
KORU
Shares Outstanding:2279924


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","KORU","","DREYFUS GOVT CASH MAN INS","319543252.3400","1.0000","319543252.3400","X9USDDGCM","15.2568662212"
"5/15/2026 12:00:00 AM","KORU","","GOLDMAN FINL SQ TRSRY INST 506","295639922.6200","1.0000","295639922.6200","X9USDGSFC","14.1155812743"
"5/15/2026 12:00:00 AM","KORU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","212830000.1200","1.0000","212830000.1200","X9USDGLDS","10.1617506109"
"5/15/2026 12:00:00 AM","KORU","","ISHARES MSCI SOUTH KOREA CAPPED ETF SWAP","1952280.0000","190.5200","371948385.6000","EWYU","17.7589941853"
"5/15/2026 12:00:00 AM","KORU","","ISHARES MSCI SOUTH KOREA CAPPED ETF SWAP","2434798.0000","190.5200","463877714.9600","EWYJP","22.1482387386"
"5/15/2026 12:00:00 AM","KORU","","ISHARES MSCI SOUTH KOREA CAPPED ETF SWAP","2647656.0000","190.5200","504431421.1200","EWYBP","24.0845101670"
"5/15/2026 12:00:00 AM","KORU","","ISHARES MSCI SOUTH KOREA CAPPED ETF SWAP","2900606.0000","190.5200","552623455.1200","EWYCT","26.3854800992"
"5/15/2026 12:00:00 AM","KORU","","ISHARES MSCI SOUTH KOREA CAPPED ETF SWAP","7291749.0000","190.5200","1389224019.4800","EWYML","66.3296904604"
"5/15/2026 12:00:00 AM","KORU","","ISHARES MSCI SOUTH KOREA CAPPED ETF SWAP","9199979.0000","190.5200","1752779999.0800","EWYBC","83.6879820345"
"5/15/2026 12:00:00 AM","KORU","EWY","ISHARES MSCI SOUTH KOREA ETF","6552601.0000","190.5200","1248401542.5200","464286772","59.6060007058"
