Direxion Daily S&P Biotech Bear 3X ETF
LABD
Shares Outstanding:4606480


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","LABD","","DREYFUS GOVT CASH MAN INS","30397300.1600","1.0000","30397300.1600","X9USDDGCM","44.6436270859"
"5/1/2026 12:00:00 AM","LABD","","DREYFUS TRSRY SECURITIES CASH MGMT","3863994.8400","1.0000","3863994.8400","X9USDDTP3","5.6749363855"
"5/1/2026 12:00:00 AM","LABD","","GOLDMAN FINL SQ TRSRY INST 506","30851692.3000","1.0000","30851692.3000","X9USDGSFC","45.3109795528"
"5/1/2026 12:00:00 AM","LABD","","GOLDMAN SACHS FIN GOV 465 INSTITUT","9987305.7500","1.0000","9987305.7500","X9USDGLDS","14.6680643067"
"5/1/2026 12:00:00 AM","LABD","","S&P BIOTECHNOLOGY SELECT INDUSTRY INDEX SWAP","-9167.0000","10262.7700","-94078812.5900","SPSIBIJP","-138.1708047704"
"5/1/2026 12:00:00 AM","LABD","","S&P BIOTECHNOLOGY SELECT INDUSTRY INDEX SWAP","-4954.0000","10262.7700","-50841762.5800","SPSIBIBC","-74.6698120249"
"5/1/2026 12:00:00 AM","LABD","","S&P BIOTECHNOLOGY SELECT INDUSTRY INDEX SWAP","-2797.0000","10262.7700","-28704967.6900","SPSIBIML","-42.1581478066"
"5/1/2026 12:00:00 AM","LABD","","S&P BIOTECHNOLOGY SELECT INDUSTRY INDEX SWAP","-1548.0000","10262.7700","-15886767.9600","SPSIBIGS","-23.3324321790"
"5/1/2026 12:00:00 AM","LABD","","S&P BIOTECHNOLOGY SELECT INDUSTRY INDEX SWAP","-1189.0000","10262.7700","-12202433.5300","SPSIBIU","-17.9213577912"
"5/1/2026 12:00:00 AM","LABD","","S&P BIOTECHNOLOGY SELECT INDUSTRY INDEX SWAP","-249.0000","10262.7700","-2555429.7300","SPSIBICT","-3.7530850210"
