Direxion Daily INTC Bull 2X ETF
LINT
Shares Outstanding:650001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","LINT","","DREYFUS GOVT CASH MAN INS","45006008.2000","1.0000","45006008.2000","X9USDDGCM","35.2196095015"
"5/15/2026 12:00:00 AM","LINT","","DREYFUS TRSRY SECURITIES CASH MGMT","19663481.0900","1.0000","19663481.0900","X9USDDTP3","15.3877260643"
"5/15/2026 12:00:00 AM","LINT","","GOLDMAN FINL SQ TRSRY INST 506","31982596.6800","1.0000","31982596.6800","X9USDGSFC","25.0280931583"
"5/15/2026 12:00:00 AM","LINT","","GOLDMAN SACHS FIN GOV 465 INSTITUT","19310137.9600","1.0000","19310137.9600","X9USDGLDS","15.1112161591"
"5/15/2026 12:00:00 AM","LINT","INTC","INTEL CORP","239346.0000","115.9300","27747381.7800","458140100","21.7138108902"
"5/15/2026 12:00:00 AM","LINT","","INTEL CORP SWAP","336023.0000","115.9300","38955146.3900","INTCCT","30.4844863786"
"5/15/2026 12:00:00 AM","LINT","","INTEL CORP SWAP","347734.0000","115.9300","40312802.6200","INTCML","31.5469250211"
"5/15/2026 12:00:00 AM","LINT","","INTEL CORP SWAP","362279.0000","115.9300","41999004.4700","INTCGS","32.8664681904"
"5/15/2026 12:00:00 AM","LINT","","INTEL CORP SWAP","385580.0000","115.9300","44700289.4000","INTCNM","34.9803681827"
"5/15/2026 12:00:00 AM","LINT","","INTEL CORP SWAP","533599.0000","115.9300","61860132.0700","INTCBC","48.4088632240"
