Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
7.99%,META,META PLATFORMS INC-CLASS A,--,"$653,792.13","1,074"
5.91%,GOOGL,ALPHABET INC-CL A,--,"$483,269.57","1,253"
4.71%,GOOG,ALPHABET INC-CL C,--,"$385,519.32","1,006"
2.79%,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,--,"$228,559.74","1,058"
2.72%,DIS,WALT DISNEY CO/THE,--,"$222,549.72","2,159"
2.65%,LYV,LIVE NATION ENTERTAINMENT IN,--,"$217,119.00","1,372"
2.61%,SATS,ECHOSTAR CORP-A,--,"$213,470.94","1,733"
2.54%,OMC,OMNICOM GROUP,--,"$208,068.60","2,705"
2.48%,EA,ELECTRONIC ARTS INC,--,"$203,100.45","1,005"
2.48%,WBD,WARNER BROS DISCOVERY INC,--,"$202,976.22","7,526"
2.47%,NFLX,NETFLIX INC,--,"$201,979.64","2,194"
2.38%,VZ,VERIZON COMMUNICATIONS INC,--,"$194,893.61","4,051"
2.34%,CMCSA,COMCAST CORP-CLASS A,--,"$191,771.07","7,053"
2.28%,TMUS,T-MOBILE US INC,--,"$186,649.12",952
2.26%,T,AT&T INC,--,"$184,955.72","7,081"
1.94%,CHTR,CHARTER COMMUNICATIONS INC-A,--,"$158,687.76",924
1.94%,TKO,TKO GROUP HOLDINGS INC,--,"$158,615.35",853
1.68%,TTD,TRADE DESK INC/THE -CLASS A,--,"$137,562.00","5,675"
1.63%,FOXA,FOX CORP - CLASS A,--,"$133,098.35","2,101"
1.53%,NWSA,NEWS CORP - CLASS A,--,"$125,191.04","4,771"
1.03%,FOX,FOX CORP - CLASS B,--,"$84,370.26","1,482"
0.59%,NWS,NEWS CORP - CLASS B,--,"$47,926.16","1,576"
0.54%,PSKY,PARAMOUNT SKYDANCE CL B,--,"$44,415.45","4,005"
31.17%,--,COMMUNICATION SERVICES SELECT SECTOR INDEX SWAP UBS AG,"2,549,650",--,"4,179"
30.70%,--,COMMUNICATION SERVICES SELECT SECTOR INDEX SWAP BNP PARIBAS,"2,511,213",--,"4,116"
28.75%,--,COMMUNICATION SERVICES SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"2,351,364",--,"3,854"
28.21%,--,COMMUNICATION SERVICES SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"2,306,826",--,"3,781"
21.69%,--,COMMUNICATION SERVICES SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"1,774,200",--,"2,908"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$3,310,063.97","3,310,064"
