Direxion Daily META Bull 2X ETF
METU
Shares Outstanding:16625001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","METU","","DREYFUS GOVT CASH MAN INS","142348706.3300","1.0000","142348706.3300","X9USDDGCM","34.2911419831"
"5/1/2026 12:00:00 AM","METU","","DREYFUS TRSRY SECURITIES CASH MGMT","97141227.2100","1.0000","97141227.2100","X9USDDTP3","23.4008703033"
"5/1/2026 12:00:00 AM","METU","","GOLDMAN FINL SQ TRSRY INST 506","75148719.5300","1.0000","75148719.5300","X9USDGSFC","18.1029773834"
"5/1/2026 12:00:00 AM","METU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","114072448.5800","1.0000","114072448.5800","X9USDGLDS","27.4795228665"
"5/1/2026 12:00:00 AM","METU","META","META PLATFORMS INC-CLASS A","80314.0000","611.9100","49144939.7400","30303M102","11.8387876492"
"5/1/2026 12:00:00 AM","METU","","META PLATOFORMS INC-CLASS A SWAP","89776.0000","611.9100","54934832.1600","METAML","13.2335458325"
"5/1/2026 12:00:00 AM","METU","","META PLATOFORMS INC-CLASS A SWAP","202138.0000","611.9100","123690263.5800","METABP","29.7964098143"
"5/1/2026 12:00:00 AM","METU","","META PLATOFORMS INC-CLASS A SWAP","229891.0000","611.9100","140672601.8100","METACT","33.8873761917"
"5/1/2026 12:00:00 AM","METU","","META PLATOFORMS INC-CLASS A SWAP","335915.0000","611.9100","205549747.6500","METAGS","49.5159791963"
"5/1/2026 12:00:00 AM","METU","","META PLATOFORMS INC-CLASS A SWAP","418755.0000","611.9100","256240372.0500","METABC","61.7271150986"
