Direxion Daily MU Bull 2X ETF
MUU
Shares Outstanding:5250001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","MUU","","DREYFUS GOVT CASH MAN INS","787848962.3300","1.0000","787848962.3300","X9USDDGCM","55.5014185160"
"5/1/2026 12:00:00 AM","MUU","","DREYFUS TRSRY SECURITIES CASH MGMT","162475030.2700","1.0000","162475030.2700","X9USDDTP3","11.4458418867"
"5/1/2026 12:00:00 AM","MUU","","GOLDMAN FINL SQ TRSRY INST 506","392601275.5900","1.0000","392601275.5900","X9USDGSFC","27.6574936927"
"5/1/2026 12:00:00 AM","MUU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","135460000.0000","1.0000","135460000.0000","X9USDGLDS","9.5427201299"
"5/1/2026 12:00:00 AM","MUU","MU","MICRON TECHNOLOGY INC","356202.0000","517.1600","184213426.3200","595112103","12.9772417802"
"5/1/2026 12:00:00 AM","MUU","","MICRON TECHNOLOGY INC SWAP","377755.0000","517.1600","195359775.8000","MUBP","13.7624661532"
"5/1/2026 12:00:00 AM","MUU","","MICRON TECHNOLOGY INC SWAP","740538.0000","517.1600","382976632.0800","MUCT","26.9794685977"
"5/1/2026 12:00:00 AM","MUU","","MICRON TECHNOLOGY INC SWAP","783451.0000","517.1600","405169519.1600","MUGS","28.5428859185"
"5/1/2026 12:00:00 AM","MUU","","MICRON TECHNOLOGY INC SWAP","855538.0000","517.1600","442450032.0800","MUBC","31.1691778209"
"5/1/2026 12:00:00 AM","MUU","","MICRON TECHNOLOGY INC SWAP","1143007.0000","517.1600","591117500.1200","MUNM","41.6423214790"
"5/1/2026 12:00:00 AM","MUU","","MICRON TECHNOLOGY INC SWAP","1233011.0000","517.1600","637663968.7600","MUML","44.9213700784"
