Direxion Daily Homebuilders & Supplies Bull 3X ETF
NAIL
Shares Outstanding:17000000


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","NAIL","AMWD","AMERICAN WOODMARK CORP","14654.0000","36.0550","528349.9700","030506109","0.0892267681"
"5/15/2026 12:00:00 AM","NAIL","ARHS","ARHAUS INC","54264.0000","5.8800","319072.3200","04035M102","0.0538843447"
"5/15/2026 12:00:00 AM","NAIL","BZH","BEAZER HOMES USA INC","49304.0000","22.9900","1133498.9600","07556Q881","0.1914232129"
"5/15/2026 12:00:00 AM","NAIL","BLDR","BUILDERS FIRSTSOURCE INC","111228.0000","73.5800","8184156.2400","12008R107","1.3821252049"
"5/15/2026 12:00:00 AM","NAIL","CVCO","CAVCO INDUSTRIES INC","14233.0000","476.5900","6783305.4700","149568107","1.1455521117"
"5/15/2026 12:00:00 AM","NAIL","CCS","CENTURY COMMUNITIES INC","46352.0000","50.8600","2357462.7200","156504300","0.3981239543"
"5/15/2026 12:00:00 AM","NAIL","SKY","CHAMPION HOMES INC","101422.0000","69.5900","7057956.9800","830830105","1.1919347519"
"5/15/2026 12:00:00 AM","NAIL","","DOW JONES U.S. SELECT HOME BUILDERS INDEX SWAP","6000.0000","16188.4200","97130520.0000","DJSHMBBP","16.4032229986"
"5/15/2026 12:00:00 AM","NAIL","","DOW JONES U.S. SELECT HOME BUILDERS INDEX SWAP","7706.0000","16188.4200","124747964.5200","DJSHMBGS","21.0672060712"
"5/15/2026 12:00:00 AM","NAIL","","DOW JONES U.S. SELECT HOME BUILDERS INDEX SWAP","16941.0000","16188.4200","274248023.2200","DJSHMBML","46.3145001366"
"5/15/2026 12:00:00 AM","NAIL","","DOW JONES U.S. SELECT HOME BUILDERS INDEX SWAP","21121.0000","16188.4200","341915618.8200","DJSHMBBC","57.7420788257"
"5/15/2026 12:00:00 AM","NAIL","","DOW JONES U.S. SELECT HOME BUILDERS INDEX SWAP","30936.0000","16188.4200","500804961.1200","DJSHMBCT","84.5750177810"
"5/15/2026 12:00:00 AM","NAIL","DHI","DR HORTON INC","494112.0000","139.3600","68859448.3200","23331A109","11.6288565773"
"5/15/2026 12:00:00 AM","NAIL","DFH","DREAM FINDERS HOMES INC - A","52678.0000","13.5900","715894.0200","26154D100","0.1208988612"
"5/15/2026 12:00:00 AM","NAIL","","DREYFUS GOVT CASH MAN INS","69878497.7700","1.0000","69878497.7700","X9USDDGCM","11.8009517681"
"5/15/2026 12:00:00 AM","NAIL","","DREYFUS TRSRY SECURITIES CASH MGMT","5019857.6600","1.0000","5019857.6600","X9USDDTP3","0.8477442993"
"5/15/2026 12:00:00 AM","NAIL","EXP","EAGLE MATERIALS INC","31616.0000","202.1100","6389909.7600","26969P108","1.0791161700"
"5/15/2026 12:00:00 AM","NAIL","ETD","ETHAN ALLEN INTERIORS INC","23291.0000","18.9800","442063.1800","297602104","0.0746548142"
"5/15/2026 12:00:00 AM","NAIL","FND","FLOOR & DECOR HOLDINGS INC-A","108387.0000","45.7700","4960872.9900","339750101","0.8377830771"
"5/15/2026 12:00:00 AM","NAIL","FBIN","FORTUNE BRANDS INNOVATIONS I","120841.0000","36.1600","4369610.5600","34964C106","0.7379317688"
"5/15/2026 12:00:00 AM","NAIL","ROCK","GIBRALTAR INDUSTRIES INC","29716.0000","37.9300","1127127.8800","374689107","0.1903472767"
"5/15/2026 12:00:00 AM","NAIL","","GOLDMAN FINL SQ TRSRY INST 506","122692687.1100","1.0000","122692687.1100","X9USDGSFC","20.7201146145"
"5/15/2026 12:00:00 AM","NAIL","","GOLDMAN SACHS FIN GOV 465 INSTITUT","46893339.5800","1.0000","46893339.5800","X9USDGLDS","7.9192606637"
"5/15/2026 12:00:00 AM","NAIL","GRBK","GREEN BRICK PARTNERS INC","55927.0000","64.0200","3580446.5400","392709101","0.6046592053"
"5/15/2026 12:00:00 AM","NAIL","GFF","GRIFFON CORP","39355.0000","85.9100","3380988.0500","398433102","0.5709750235"
"5/15/2026 12:00:00 AM","NAIL","HAYW","HAYWARD HOLDINGS INC","200682.0000","13.9000","2789479.8000","421298100","0.4710822017"
"5/15/2026 12:00:00 AM","NAIL","HD","HOME DEPOT INC","60764.0000","304.3500","18493523.4000","437076102","3.1231521087"
"5/15/2026 12:00:00 AM","NAIL","HOV","HOVNANIAN ENTERPRISES-A","8530.0000","102.5800","875007.4000","442487401","0.1477696352"
"5/15/2026 12:00:00 AM","NAIL","IBP","INSTALLED BUILDING PRODUCTS","41536.0000","217.3100","9026188.1600","45780R101","1.5243260019"
"5/15/2026 12:00:00 AM","NAIL","JELD","JELD-WEN HOLDING INC","85930.0000","1.5400","132332.2000","47580P103","0.0223480178"
"5/15/2026 12:00:00 AM","NAIL","KBH","KB HOME","115858.0000","46.8900","5432581.6200","48666K109","0.9174443601"
"5/15/2026 12:00:00 AM","NAIL","LZB","LA-Z-BOY INC","41491.0000","34.9300","1449280.6300","505336107","0.2447518387"
"5/15/2026 12:00:00 AM","NAIL","LEG","LEGGETT & PLATT INC","136229.0000","9.4800","1291450.9200","524660107","0.2180978485"
"5/15/2026 12:00:00 AM","NAIL","LEN/B","LENNAR CORP - B SHS","16603.0000","83.2700","1382531.8100","526057302","0.2334794211"
"5/15/2026 12:00:00 AM","NAIL","LEN","LENNAR CORP-A","395713.0000","85.2500","33734533.2500","526057104","5.6970257305"
"5/15/2026 12:00:00 AM","NAIL","LII","LENNOX INTERNATIONAL INC","32103.0000","514.3800","16513141.1400","526107107","2.7887088067"
"5/15/2026 12:00:00 AM","NAIL","LGIH","LGI HOMES INC","37247.0000","43.7200","1628438.8400","50187T106","0.2750077466"
"5/15/2026 12:00:00 AM","NAIL","LOW","LOWE'S COS INC","86351.0000","223.6100","19308947.1100","548661107","3.2608593603"
"5/15/2026 12:00:00 AM","NAIL","MHO","M/I HOMES INC","47956.0000","126.5100","6066913.5600","55305B101","1.0245691677"
"5/15/2026 12:00:00 AM","NAIL","MAS","MASCO CORP","204799.0000","68.2600","13979579.7400","574599106","2.3608456323"
"5/15/2026 12:00:00 AM","NAIL","MBC","MASTERBRAND INC","127521.0000","7.1600","913050.3600","57638P104","0.1541942601"
"5/15/2026 12:00:00 AM","NAIL","MTH","MERITAGE HOMES CORP","122510.0000","61.8500","7577243.5000","59001A102","1.2796309012"
"5/15/2026 12:00:00 AM","NAIL","MHK","MOHAWK INDUSTRIES INC","52234.0000","98.7400","5157585.1600","608190104","0.8710034654"
"5/15/2026 12:00:00 AM","NAIL","NVR","NVR INC","5124.0000","5680.6100","29107445.6400","62944T105","4.9156117125"
"5/15/2026 12:00:00 AM","NAIL","OC","OWENS CORNING","82673.0000","121.0700","10009220.1100","690742101","1.6903386238"
"5/15/2026 12:00:00 AM","NAIL","PHM","PULTEGROUP INC","352380.0000","113.8700","40125510.6000","745867101","6.7763221931"
"5/15/2026 12:00:00 AM","NAIL","NX","QUANEX BUILDING PRODUCTS","46207.0000","19.1400","884401.9800","747619104","0.1493561745"
"5/15/2026 12:00:00 AM","NAIL","SHW","SHERWIN-WILLIAMS CO/THE","66055.0000","309.1800","20422884.9000","824348106","3.4489791189"
"5/15/2026 12:00:00 AM","NAIL","SSD","SIMPSON MANUFACTURING CO INC","41702.0000","185.6400","7741559.2800","829073105","1.3073802470"
"5/15/2026 12:00:00 AM","NAIL","TMHC","TAYLOR MORRISON HOME CORP","179224.0000","56.9500","10206806.8000","87724P106","1.7237066994"
