Direxion Daily NFLX Bull 2X ETF
NFXL
Shares Outstanding:6225001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","NFXL","","DREYFUS GOVT CASH MAN INS","41493590.7400","1.0000","41493590.7400","X9USDDGCM","23.9326887582"
"5/1/2026 12:00:00 AM","NFXL","","DREYFUS TRSRY SECURITIES CASH MGMT","41112037.4100","1.0000","41112037.4100","X9USDDTP3","23.7126162861"
"5/1/2026 12:00:00 AM","NFXL","","GOLDMAN FINL SQ TRSRY INST 506","41456762.4000","1.0000","41456762.4000","X9USDGSFC","23.9114468945"
"5/1/2026 12:00:00 AM","NFXL","","GOLDMAN SACHS FIN GOV 465 INSTITUT","18740008.3000","1.0000","18740008.3000","X9USDGLDS","10.8088689837"
"5/1/2026 12:00:00 AM","NFXL","NFLX","NETFLIX INC","278976.0000","93.6100","26114943.3600","64110L106","15.0625867809"
"5/1/2026 12:00:00 AM","NFXL","","NETFLIX INC SWAP","172651.0000","93.6100","16161860.1100","NFLXCT","9.3218437081"
"5/1/2026 12:00:00 AM","NFXL","","NETFLIX INC SWAP","480153.0000","93.6100","44947122.3300","NFLXNM","25.9246179980"
"5/1/2026 12:00:00 AM","NFXL","","NETFLIX INC SWAP","674600.0000","93.6100","63149306.0000","NFLXBC","36.4232802908"
"5/1/2026 12:00:00 AM","NFXL","","NETFLIX INC SWAP","962720.0000","93.6100","90120219.2000","NFLXML","51.9795736756"
"5/1/2026 12:00:00 AM","NFXL","","NETFLIX INC SWAP","1135114.0000","93.6100","106258021.5400","NFLXGS","61.2875413341"
