Direxion Daily Gold Miners Index Bull 2X ETF
NUGT
Shares Outstanding:6051908


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/8/2026 12:00:00 AM","NUGT","","DREYFUS GOVT CASH MAN INS","367819616.9200","1.0000","367819616.9200","X9USDDGCM","33.2101552540"
"5/8/2026 12:00:00 AM","NUGT","","DREYFUS TRSRY SECURITIES CASH MGMT","65334522.5800","1.0000","65334522.5800","X9USDDTP3","5.8990046711"
"5/8/2026 12:00:00 AM","NUGT","","GOLDMAN FINL SQ TRSRY INST 506","88491671.6700","1.0000","88491671.6700","X9USDGSFC","7.9898461628"
"5/8/2026 12:00:00 AM","NUGT","GDX","VANECK GOLD MINERS ETF","6531770.0000","91.7200","599093944.4000","92189F106","54.0917395103"
"5/8/2026 12:00:00 AM","NUGT","","VANECK VECTORS GOLD MINERS ETF SWAP","781002.0000","91.7200","71633503.4400","GDXBP","6.4677348928"
"5/8/2026 12:00:00 AM","NUGT","","VANECK VECTORS GOLD MINERS ETF SWAP","1981572.0000","91.7200","181749783.8400","GDXML","16.4100506363"
"5/8/2026 12:00:00 AM","NUGT","","VANECK VECTORS GOLD MINERS ETF SWAP","3490872.0000","91.7200","320182779.8400","GDXU","28.9090612327"
"5/8/2026 12:00:00 AM","NUGT","","VANECK VECTORS GOLD MINERS ETF SWAP","3533950.0000","91.7200","324133894.0000","GDXGS","29.2658043444"
"5/8/2026 12:00:00 AM","NUGT","","VANECK VECTORS GOLD MINERS ETF SWAP","3698165.0000","91.7200","339195693.8000","GDXCT","30.6257228663"
"5/8/2026 12:00:00 AM","NUGT","","VANECK VECTORS GOLD MINERS ETF SWAP","4133066.0000","91.7200","379084813.5200","GDXJP","34.2272813420"
