Direxion Daily NVDA Bull 2X ETF
NVDU
Shares Outstanding:4400001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","NVDU","","DREYFUS GOVT CASH MAN INS","272515116.9800","1.0000","272515116.9800","X9USDDGCM","49.8094852900"
"5/1/2026 12:00:00 AM","NVDU","","DREYFUS TRSRY SECURITIES CASH MGMT","26768139.4900","1.0000","26768139.4900","X9USDDTP3","4.8925992251"
"5/1/2026 12:00:00 AM","NVDU","","GOLDMAN FINL SQ TRSRY INST 506","130321855.6300","1.0000","130321855.6300","X9USDGSFC","23.8198329066"
"5/1/2026 12:00:00 AM","NVDU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","64191564.4800","1.0000","64191564.4800","X9USDGLDS","11.7327391674"
"5/1/2026 12:00:00 AM","NVDU","NVDA","NVIDIA CORP","277850.0000","199.5700","55450524.5000","67066G104","10.1350784317"
"5/1/2026 12:00:00 AM","NVDU","","NVIDIA CORP SWAP","291122.0000","199.5700","58099217.5400","NVDAML","10.6191984999"
"5/1/2026 12:00:00 AM","NVDU","","NVIDIA CORP SWAP","319807.0000","199.5700","63823882.9900","NVDAGS","11.6655354616"
"5/1/2026 12:00:00 AM","NVDU","","NVIDIA CORP SWAP","985272.0000","199.5700","196630733.0400","NVDABP","35.9395680998"
"5/1/2026 12:00:00 AM","NVDU","","NVIDIA CORP SWAP","1022599.0000","199.5700","204080082.4300","NVDABC","37.3011375532"
"5/1/2026 12:00:00 AM","NVDU","","NVIDIA CORP SWAP","1100000.0000","199.5700","219527000.0000","NVDANM","40.1244782251"
"5/1/2026 12:00:00 AM","NVDU","","NVIDIA CORP SWAP","1486290.0000","199.5700","296618895.3000","NVDACT","54.2151006738"
