Direxion Daily PLTR Bull 2X ETF
PLTU
Shares Outstanding:12525001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","PLTU","","DREYFUS GOVT CASH MAN INS","135498004.2000","1.0000","135498004.2000","X9USDDGCM","27.8258727977"
"5/1/2026 12:00:00 AM","PLTU","","DREYFUS TRSRY SECURITIES CASH MGMT","38882085.1000","1.0000","38882085.1000","X9USDDTP3","7.9848257581"
"5/1/2026 12:00:00 AM","PLTU","","GOLDMAN FINL SQ TRSRY INST 506","221623552.2300","1.0000","221623552.2300","X9USDGSFC","45.5126170289"
"5/1/2026 12:00:00 AM","PLTU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","74200000.4600","1.0000","74200000.4600","X9USDGLDS","15.2377135485"
"5/1/2026 12:00:00 AM","PLTU","PLTR","PALANTIR TECHNOLOGIES INC-A","733941.0000","139.1100","102098532.5100","69608A108","20.9669566370"
"5/1/2026 12:00:00 AM","PLTU","","PALANTIR TECHNOLOGIES INC-A SWAP","628619.0000","139.1100","87447189.0900","PLTRNM","17.9581564651"
"5/1/2026 12:00:00 AM","PLTU","","PALANTIR TECHNOLOGIES INC-A SWAP","662954.0000","139.1100","92223530.9400","PLTRGS","18.9390261211"
"5/1/2026 12:00:00 AM","PLTU","","PALANTIR TECHNOLOGIES INC-A SWAP","705436.0000","139.1100","98133201.9600","PLTRCT","20.1526362775"
"5/1/2026 12:00:00 AM","PLTU","","PALANTIR TECHNOLOGIES INC-A SWAP","1391476.0000","139.1100","193568226.3600","PLTRBC","39.7511747585"
"5/1/2026 12:00:00 AM","PLTU","","PALANTIR TECHNOLOGIES INC-A SWAP","2878497.0000","139.1100","400427717.6700","PLTRML","82.2318439475"
