Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-32.27%,--,NASDAQ 100 INDEX SWAP UBS AG,"-85,534,649",--,"-3,087"
-24.13%,--,NASDAQ 100 INDEX SWAP SOCIETE GENERALE,"-63,955,511",--,"-2,308"
-22.14%,--,NASDAQ 100 INDEX SWAP NOMURA CAPITAL,"-58,690,542",--,"-2,118"
-20.81%,--,NASDAQ 100 INDEX SWAP BANK OF AMERICA NA,"-55,171,327",--,"-1,991"
-20.62%,--,NASDAQ 100 INDEX SWAP JPMORGAN CHASE BANK NA,"-54,672,540",--,"-1,973"
-16.63%,--,NASDAQ 100 INDEX SWAP BARCLAYS CAPITAL,"-44,087,183",--,"-1,591"
-15.43%,--,NASDAQ 100 INDEX SWAP CITIBANK NA,"-40,900,491",--,"-1,476"
-12.29%,--,NASDAQ 100 INDEX SWAP BNP PARIBAS,"-32,587,383",--,"-1,176"
-12.11%,--,NASDAQ 100 INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-32,116,307",--,"-1,159"
-12.03%,--,NASDAQ 100 INDEX SWAP MORGAN STANLEY & CO. INTERNATIONAL PLC,"-31,894,624",--,"-1,151"
-11.55%,--,NASDAQ 100 E-MINI EQUITY INDEX 18/JUN/2026 NQM6 INDEX,"-30,619,325",--,-55
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,"$265,344,500.00","2,650,000"
--,--,TREASURY BILL,--,"$51,938,826.57","52,100,000"
--,--,TREASURY BILL,--,"$24,818,260.50","25,000,000"
--,--,TREASURY BILL,--,"$19,928,300.00","20,000,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$-96,934,091.17","-96,934,091"
