Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
5.80%,NVDA,NVIDIA CORP,--,"$704,375,056.40","3,549,383"
4.95%,AAPL,APPLE INC,--,"$600,697,758.80","2,144,277"
3.70%,MSFT,MICROSOFT CORP,--,"$449,573,322.10","1,084,773"
3.47%,AMZN,AMAZON.COM INC,--,"$420,677,284.20","1,568,170"
2.70%,GOOGL,ALPHABET INC-CL A,--,"$328,031,273.50","850,505"
2.51%,GOOG,ALPHABET INC-CL C,--,"$304,395,478.20","794,310"
2.40%,AVGO,BROADCOM INC,--,"$291,806,332.50","692,666"
2.35%,TSLA,TESLA INC,--,"$284,800,304.50","728,725"
2.16%,META,META PLATFORMS INC-CLASS A,--,"$262,235,171.10","430,780"
2.14%,WMT,WALMART INC,--,"$259,357,674.80","1,970,803"
2.03%,MU,MICRON TECHNOLOGY INC,--,"$246,094,479.30","453,873"
1.95%,AMD,ADVANCED MICRO DEVICES,--,"$236,993,397.70","657,329"
1.65%,INTC,INTEL CORP,--,"$200,657,991.10","2,014,234"
1.49%,COST,COSTCO WHOLESALE CORP,--,"$181,030,562.90","178,937"
1.29%,NFLX,NETFLIX INC,--,"$156,679,859.90","1,701,932"
1.21%,CSCO,CISCO SYSTEMS INC,--,"$146,300,149.60","1,592,816"
1.10%,PLTR,PALANTIR TECHNOLOGIES INC-A,--,"$133,110,162.90","923,927"
1.07%,LRCX,LAM RESEARCH CORP,--,"$129,275,720.20","503,567"
1.03%,AMAT,APPLIED MATERIALS INC,--,"$124,463,579.40","319,892"
0.85%,TXN,TEXAS INSTRUMENTS INC,--,"$102,842,079.20","365,960"
0.78%,LIN,LINDE PLC,--,"$94,872,345.12","186,786"
0.75%,KLAC,KLA CORP,--,"$91,162,064.34","52,809"
0.72%,TMUS,T-MOBILE US INC,--,"$87,130,436.42","444,407"
0.71%,PEP,PEPSICO INC,--,"$86,726,141.37","550,957"
0.65%,ADI,ANALOG DEVICES INC,--,"$78,313,114.80","196,920"
0.63%,QCOM,QUALCOMM INC,--,"$76,192,892.44","430,444"
0.59%,AMGN,AMGEN INC,--,"$71,690,334.84","217,362"
0.58%,SNDK,SANDISK CORP,--,"$70,051,992.00","59,016"
0.54%,GILD,GILEAD SCIENCES INC,--,"$65,903,200.10","500,594"
0.54%,ISRG,INTUITIVE SURGICAL INC,--,"$65,529,833.66","143,147"
0.53%,STX,SEAGATE TECHNOLOGY HOLDINGS,--,"$63,908,050.95","87,915"
0.52%,SHOP,SHOPIFY INC - CLASS A,--,"$63,123,750.43","494,429"
0.49%,PANW,PALO ALTO NETWORKS INC,--,"$59,555,039.04","328,888"
0.49%,WDC,WESTERN DIGITAL CORP,--,"$58,983,605.76","136,688"
0.48%,MRVL,MARVELL TECHNOLOGY INC,--,"$57,970,028.00","351,440"
0.47%,APP,APPLOVIN CORP-CLASS A,--,"$56,960,420.00","123,827"
0.45%,HON,HONEYWELL INTERNATIONAL INC,--,"$54,470,337.50","256,331"
