Direxion Daily Magnificent 7 Bull 2X ETF
QQQU
Shares Outstanding:1850001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","QQQU","GOOGL","ALPHABET INC-CL A","17315.0000","384.8000","6662812.0000","02079K305","6.5351406050"
"5/1/2026 12:00:00 AM","QQQU","AMZN","AMAZON.COM INC","24889.0000","265.0600","6597078.3400","023135106","6.4706665195"
"5/1/2026 12:00:00 AM","QQQU","AAPL","APPLE INC","20796.0000","271.3500","5642994.6000","037833100","5.5348647304"
"5/1/2026 12:00:00 AM","QQQU","","DREYFUS GOVT CASH MAN INS","48025346.9600","1.0000","48025346.9600","X9USDDGCM","47.1050954144"
"5/1/2026 12:00:00 AM","QQQU","","DREYFUS TRSRY SECURITIES CASH MGMT","11953090.7900","1.0000","11953090.7900","X9USDDTP3","11.7240481912"
"5/1/2026 12:00:00 AM","QQQU","","GOLDMAN FINL SQ TRSRY INST 506","1844279.1700","1.0000","1844279.1700","X9USDGSFC","1.8089394824"
"5/1/2026 12:00:00 AM","QQQU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","42822.8400","1.0000","42822.8400","X9USDGLDS","0.0420022778"
"5/1/2026 12:00:00 AM","QQQU","","INDXX FRONT OF THE Q INDEX SWAP","2523.0000","9552.4000","24100705.2000","IFOTQPML","23.6388925820"
"5/1/2026 12:00:00 AM","QQQU","","INDXX FRONT OF THE Q INDEX SWAP","5762.0000","9552.4000","55040928.8000","IFOTQPBC","53.9862461583"
"5/1/2026 12:00:00 AM","QQQU","","INDXX FRONT OF THE Q INDEX SWAP","8773.0000","9552.4000","83803205.2000","IFOTQPGS","82.1973858985"
"5/1/2026 12:00:00 AM","QQQU","META","META PLATFORMS INC-CLASS A","8659.0000","611.9100","5298528.6900","30303M102","5.1969994034"
"5/1/2026 12:00:00 AM","QQQU","MSFT","MICROSOFT CORP","13656.0000","407.7800","5568643.6800","594918104","5.4619385070"
"5/1/2026 12:00:00 AM","QQQU","NVDA","NVIDIA CORP","29777.0000","199.5700","5942595.8900","67066G104","5.8287251239"
"5/1/2026 12:00:00 AM","QQQU","TSLA","TESLA INC","13732.0000","381.6300","5240543.1600","88160R101","5.1401249799"
