Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
56.36%,--,NASDAQ 100 MEGA INDEX SWAP BARCLAYS CAPITAL,"19,629,671",--,"12,009"
40.09%,--,NASDAQ 100 MEGA INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"13,962,582",--,"8,542"
35.12%,--,NASDAQ 100 MEGA INDEX SWAP BNP PARIBAS,"12,231,562",--,"7,483"
15.92%,--,NASDAQ 100 MEGA INDEX SWAP BANK OF AMERICA NA,"5,546,130",--,"3,393"
11.36%,NVDA,NVIDIA CORP,--,"$3,956,882.40","18,387"
9.35%,AAPL,APPLE INC,--,"$3,255,492.45","11,109"
6.70%,MSFT,MICROSOFT CORP,--,"$2,332,559.28","5,619"
6.36%,AMZN,AMAZON.COM INC,--,"$2,214,979.64","8,123"
5.07%,GOOGL,ALPHABET INC-CL A,--,"$1,765,524.00","4,405"
4.69%,GOOG,ALPHABET INC-CL C,--,"$1,633,860.75","4,115"
4.65%,TSLA,TESLA INC,--,"$1,617,877.95","3,777"
4.43%,AVGO,BROADCOM INC,--,"$1,542,840.00","3,588"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$16,507,541.75","16,507,542"
