Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
11.91%,LLY,ELI LILLY & CO,--,"$8,410,854.60","8,868"
8.45%,JNJ,JOHNSON & JOHNSON,--,"$5,968,557.76","26,968"
5.64%,ABBV,ABBVIE INC,--,"$3,985,651.25","19,775"
5.45%,UNH,UNITEDHEALTH GROUP INC,--,"$3,852,997.20","10,140"
4.38%,MRK,MERCK & CO. INC.,--,"$3,093,468.12","27,774"
2.83%,AMGN,AMGEN INC,--,"$1,998,160.80","6,024"
2.77%,TMO,THERMO FISHER SCIENTIFIC INC,--,"$1,955,325.00","4,205"
2.58%,GILD,GILEAD SCIENCES INC,--,"$1,823,254.39","13,883"
2.53%,ISRG,INTUITIVE SURGICAL INC,--,"$1,788,088.38","3,973"
2.32%,ABT,ABBOTT LABORATORIES,--,"$1,640,867.20","19,460"
2.31%,PFE,PFIZER INC,--,"$1,633,787.28","63,621"
1.82%,CVS,CVS HEALTH CORP,--,"$1,288,979.25","14,235"
1.81%,BMY,BRISTOL-MYERS SQUIBB CO,--,"$1,279,717.92","22,787"
1.73%,VRTX,VERTEX PHARMACEUTICALS INC,--,"$1,221,548.44","2,842"
1.71%,DHR,DANAHER CORP,--,"$1,205,137.56","7,041"
1.56%,SYK,STRYKER CORP,--,"$1,099,915.91","3,853"
1.55%,MDT,MEDTRONIC PLC,--,"$1,092,295.60","14,344"
1.43%,MCK,MCKESSON CORP,--,"$1,007,707.21","1,369"
1.32%,ELV,ELEVANCE HEALTH INC,--,"$933,832.90","2,470"
1.27%,BSX,BOSTON SCIENTIFIC CORP,--,"$894,968.35","16,595"
1.20%,CI,THE CIGNA GROUP,--,"$848,912.82","2,947"
1.14%,REGN,REGENERON PHARMACEUTICALS,--,"$805,681.03","1,127"
1.08%,HCA,HCA HEALTHCARE INC,--,"$761,582.50","1,750"
0.80%,COR,CENCORA INC,--,"$568,110.08","2,176"
0.74%,EW,EDWARDS LIFESCIENCES CORP,--,"$519,340.20","6,495"
0.71%,IDXX,IDEXX LABORATORIES INC,--,"$500,178.23",893
0.68%,CAH,CARDINAL HEALTH INC,--,"$483,734.10","2,634"
0.67%,BDX,BECTON DICKINSON AND CO,--,"$475,934.55","3,185"
0.55%,ZTS,ZOETIS INC,--,"$391,371.75","4,725"
0.55%,WAT,WATERS CORP,--,"$390,643.00","1,100"
0.53%,HUM,HUMANA INC,--,"$371,470.96","1,351"
0.52%,A,AGILENT TECHNOLOGIES INC,--,"$366,052.92","3,166"
0.48%,IQV,IQVIA HOLDINGS INC,--,"$339,012.87","1,897"
0.48%,RMD,RESMED INC,--,"$336,812.04","1,629"
0.46%,GEHC,GE HEALTHCARE TECHNOLOGY,--,"$323,760.47","5,101"
0.45%,BIIB,BIOGEN INC,--,"$317,451.45","1,641"
0.41%,CNC,CENTENE CORP,--,"$292,838.68","5,233"
0.40%,VEEV,VEEVA SYSTEMS INC-CLASS A,--,"$280,116.56","1,684"
0.37%,WST,WEST PHARMACEUTICAL SERVICES,--,"$262,691.52",806
0.37%,DXCM,DEXCOM INC,--,"$261,047.27","4,307"
0.36%,MTD,METTLER-TOLEDO INTERNATIONAL,--,"$255,252.42",227
0.33%,LH,LABCORP HOLDINGS INC,--,"$235,823.36",928
0.33%,DGX,QUEST DIAGNOSTICS INC,--,"$230,302.31","1,229"
0.32%,STE,STERIS PLC,--,"$227,987.55","1,099"
0.31%,VTRS,VIATRIS INC,--,"$221,304.13","12,889"
0.30%,MRNA,MODERNA INC,--,"$211,475.85","3,891"
0.26%,INCY,INCYTE CORP,--,"$184,504.32","1,872"
0.26%,ZBH,ZIMMER BIOMET HOLDINGS INC,--,"$182,607.94","2,218"
0.19%,COO,COOPER COS INC/THE,--,"$131,580.00","2,193"
0.18%,RVTY,REVVITY INC,--,"$128,068.00","1,268"
0.18%,ALGN,ALIGN TECHNOLOGY INC,--,"$125,909.88",746
0.17%,PODD,INSULET CORP,--,"$121,323.92",787
0.17%,SOLV,SOLVENTUM CORP,--,"$121,003.62","1,649"
0.15%,UHS,UNIVERSAL HEALTH SERVICES-B,--,"$104,865.32",617
0.15%,BAX,BAXTER INTERNATIONAL INC,--,"$103,586.42","5,758"
0.14%,CRL,CHARLES RIVER LABORATORIES,--,"$97,868.62",551
0.12%,TECH,BIO-TECHNE CORP,--,"$84,581.64","1,749"
0.11%,HSIC,HENRY SCHEIN INC,--,"$79,247.58","1,119"
0.10%,DVA,DAVITA INC,--,"$74,096.45",373
51.16%,--,HEALTH CARE SELECT SECTOR INDEX SWAP UBS AG,"36,140,660",--,"24,927"
26.46%,--,HEALTH CARE SELECT SECTOR INDEX SWAP BNP PARIBAS,"18,695,075",--,"12,894"
13.58%,--,HEALTH CARE SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"9,590,824",--,"6,615"
11.95%,--,HEALTH CARE SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"8,439,635",--,"5,821"
11.55%,--,HEALTH CARE SELECT SECTOR INDEX SWAP CITIBANK NA,"8,159,812",--,"5,628"
2.95%,--,HEALTH CARE SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"2,080,549",--,"1,435"
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,"$8,510,200.00","85,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$4,141,142.20","4,141,142"
