Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.60%,SANM,SANMINA CORP,--,"$161,924.20",652
0.52%,VIAV,VIAVI SOLUTIONS INC,--,"$141,698.07","2,767"
0.51%,FORM,FORMFACTOR INC,--,"$137,075.49",927
0.50%,SMTC,SEMTECH CORP,--,"$134,965.48","1,108"
0.44%,ESI,ELEMENT SOLUTIONS INC,--,"$119,495.80","2,722"
0.42%,MOH,MOLINA HEALTHCARE INC,--,"$114,539.04",616
0.42%,AGX,ARGAN INC,--,"$114,283.68",168
0.42%,VSAT,VIASAT INC,--,"$113,766.25","1,625"
0.39%,POWL,POWELL INDUSTRIES INC,--,"$104,883.21",339
0.39%,MTCH,MATCH GROUP INC,--,"$104,412.00","2,825"
0.38%,SNEX,STONEX GROUP INC,--,"$102,168.96",838
0.37%,EMN,EASTMAN CHEMICAL CO,--,"$100,605.90","1,366"
0.37%,ECG,EVERUS CONSTRUCTION GROUP,--,"$99,576.40",610
0.36%,MXL,MAXLINEAR INC,--,"$97,034.76",972
0.35%,LUMN,LUMEN TECHNOLOGIES INC,--,"$95,739.20","11,290"
0.35%,JXN,JACKSON FINANCIAL INC-A,--,"$95,411.88",846
0.35%,KRYS,KRYSTAL BIOTECH INC,--,"$94,158.68",308
0.35%,ESE,ESCO TECHNOLOGIES INC,--,"$93,660.99",309
0.34%,GKOS,GLAUKOS CORP,--,"$91,861.76",688
0.34%,QRVO,QORVO INC,--,"$91,344.77","1,009"
0.34%,ZWS,ZURN ELKAY WATER SOLUTIONS C,--,"$90,964.63","1,777"
0.33%,LKQ,LKQ CORP,--,"$88,518.96","3,064"
0.32%,BTSG,BRIGHTSPRING HEALTH SERVICES,--,"$86,960.38","1,586"
0.32%,JBTM,JBT MAREL CORP,--,"$86,737.90",622
0.32%,FSS,FEDERAL SIGNAL CORP,--,"$86,144.24",728
0.32%,PLXS,PLEXUS CORP,--,"$85,296.00",320
0.31%,RHP,RYMAN HOSPITALITY PROPERTIES,--,"$83,465.25",755
0.31%,AWI,ARMSTRONG WORLD INDUSTRIES,--,"$83,131.82",515
0.31%,TRNO,TERRENO REALTY CORP,--,"$82,563.87","1,247"
0.30%,MYRG,MYR GROUP INC/DELAWARE,--,"$81,004.10",185
0.30%,PAYC,PAYCOM SOFTWARE INC,--,"$79,932.08",584
0.29%,SM,SM ENERGY CO,--,"$79,723.52","2,708"
0.29%,GTES,GATES INDUSTRIAL CORP PLC,--,"$79,235.33","3,037"
0.29%,EPRT,ESSENTIAL PROPERTIES REALTY,--,"$78,876.80","2,512"
0.29%,NPO,ENPRO INC,--,"$77,614.22",251
0.29%,AROC,ARCHROCK INC,--,"$77,542.08","2,098"
0.28%,ACA,ARCOSA INC,--,"$76,144.84",586
0.28%,ETSY,ETSY INC,--,"$76,097.16","1,182"
0.28%,NE,NOBLE CORP PLC,--,"$75,460.70","1,505"
0.28%,CE,CELANESE CORP,--,"$74,949.87","1,311"
0.27%,GVA,GRANITE CONSTRUCTION INC,--,"$73,777.60",520
0.27%,LNC,LINCOLN NATIONAL CORP,--,"$72,423.40","2,023"
0.27%,EAT,BRINKER INTERNATIONAL INC,--,"$72,252.28",521
0.26%,VSNT,VERSANT MEDIA GROUP INC,--,"$71,542.46","1,739"
0.26%,MSGS,MADISON SQUARE GARDEN SPORTS,--,"$71,308.08",216
0.26%,PTCT,PTC THERAPEUTICS INC,--,"$70,816.09",961
0.26%,TFX,TELEFLEX INC,--,"$70,388.74",529
0.26%,PTGX,PROTAGONIST THERAPEUTICS INC,--,"$70,048.80",705
0.26%,LW,LAMB WESTON HOLDINGS INC,--,"$69,820.62","1,662"
0.26%,TGTX,TG THERAPEUTICS INC,--,"$69,733.22","1,627"
0.26%,KGS,KODIAK GAS SERVICES INC,--,"$69,232.10",994
0.26%,ALKS,ALKERMES PLC,--,"$69,140.24","1,976"
0.25%,CZR,CAESARS ENTERTAINMENT INC,--,"$68,501.72","2,443"
0.25%,KMX,CARMAX INC,--,"$68,456.98","1,697"
0.25%,LYFT,LYFT INC-A,--,"$68,334.70","4,762"
0.25%,MATX,MATSON INC,--,"$67,971.84",372
0.25%,PRIM,PRIMORIS SERVICES CORP,--,"$67,700.80",646
0.25%,MAC,MACERICH CO/THE,--,"$67,031.55","3,065"
0.25%,VSEC,VSE CORP,--,"$66,795.30",346
0.25%,MKTX,MARKETAXESS HOLDINGS INC,--,"$66,683.56",452
0.25%,ABCB,AMERIS BANCORP,--,"$66,533.88",769
0.24%,PIPR,PIPER SANDLER COS,--,"$65,553.27",809
0.24%,REZI,RESIDEO TECHNOLOGIES INC,--,"$65,547.75","1,649"
0.24%,RITM,RITHM CAPITAL CORP,--,"$65,455.68","6,652"
0.24%,MHK,MOHAWK INDUSTRIES INC,--,"$64,582.26",622
0.24%,AUB,ATLANTIC UNION BANKSHARES CO,--,"$64,418.12","1,697"
0.24%,KLIC,KULICKE & SOFFA INDUSTRIES,--,"$64,367.82",627
0.24%,LBRT,LIBERTY ENERGY INC,--,"$64,200.29","1,939"
0.24%,CWST,CASELLA WASTE SYSTEMS INC-A,--,"$63,994.56",749
0.24%,RAL,RALLIANT CORP,--,"$63,713.27","1,349"
0.23%,HASI,HA SUSTAINABLE INFRASTRUCTUR,--,"$62,642.30","1,526"
0.23%,BCPC,BALCHEM CORP,--,"$62,295.39",387
0.23%,RDN,RADIAN GROUP INC,--,"$61,733.32","1,622"
0.23%,DIOD,DIODES INC,--,"$61,275.50",550
0.23%,WSC,WILLSCOT HOLDINGS CORP,--,"$61,201.80","2,178"
0.22%,YOU,CLEAR SECURE INC -CLASS A,--,"$60,218.60","1,060"
0.22%,MGY,MAGNOLIA OIL & GAS CORP - A,--,"$60,187.00","2,165"
0.22%,ACLS,AXCELIS TECHNOLOGIES INC,--,"$60,158.07",369
0.22%,PECO,PHILLIPS EDISON & COMPANY IN,--,"$59,778.60","1,505"
0.22%,SXT,SENSIENT TECHNOLOGIES CORP,--,"$59,719.53",507
0.22%,IBP,INSTALLED BUILDING PRODUCTS,--,"$59,617.29",271
0.22%,BOOT,BOOT BARN HOLDINGS INC,--,"$59,604.50",365
0.22%,AX,AXOS FINANCIAL INC,--,"$59,059.42",679
0.22%,INDV,INDIVIOR PHARMACEUTICALS INC,--,"$59,052.50","1,495"
0.22%,OUT,OUTFRONT MEDIA INC,--,"$58,986.00","1,740"
0.22%,MARA,MARA HOLDINGS INC,--,"$58,553.50","4,525"
0.22%,CORT,CORCEPT THERAPEUTICS INC,--,"$58,501.32","1,119"
0.21%,LTH,LIFE TIME GROUP HOLDINGS INC,--,"$58,112.60","1,820"
0.21%,ENPH,ENPHASE ENERGY INC,--,"$57,117.15","1,567"
0.21%,MRCY,MERCURY SYSTEMS INC,--,"$57,094.88",632
0.21%,MC,MOELIS & CO - CLASS A,--,"$57,084.98",886
0.21%,ACIW,ACI WORLDWIDE INC,--,"$56,204.85","1,235"
0.21%,FTDR,FRONTDOOR INC,--,"$55,702.44",862
0.21%,MIR,MIRION TECHNOLOGIES INC,--,"$55,583.73","2,927"
0.20%,CRC,CALIFORNIA RESOURCES CORP,--,"$55,384.80",940
0.20%,CVSA,COVISTA INC,--,"$55,096.76",412
0.20%,AIR,AAR CORP,--,"$55,003.26",467
0.20%,MDU,MDU RESOURCES GROUP INC,--,"$54,988.05","2,445"
0.20%,TDS,TELEPHONE AND DATA SYSTEMS,--,"$54,695.19","1,177"
0.20%,CWEN,CLEARWAY ENERGY INC-C,--,"$54,530.64","1,429"
0.20%,ATMU,ATMUS FILTRATION TECHNOLOGIE,--,"$54,478.20",980
0.20%,HCC,WARRIOR MET COAL INC,--,"$54,098.10",630
0.20%,CSW,CSW INDUSTRIALS INC,--,"$53,489.44",197
0.20%,AZZ,AZZ INC,--,"$52,840.80",358
0.19%,LAUR,LAUREATE EDUCATION INC,--,"$52,627.24","1,604"
0.19%,RUSHA,RUSH ENTERPRISES INC-CL A,--,"$52,497.06",726
0.19%,LGND,LIGAND PHARMACEUTICALS,--,"$52,252.76",236
0.19%,CNR,CORE NATURAL RESOURCES INC,--,"$52,134.74",614
0.19%,IRDM,IRIDIUM COMMUNICATIONS INC,--,"$52,073.76","1,256"
0.19%,MTH,MERITAGE HOMES CORP,--,"$52,062.84",799
0.19%,ENVA,ENOVA INTERNATIONAL INC,--,"$51,945.30",297
0.19%,GPI,GROUP 1 AUTOMOTIVE INC,--,"$50,811.86",142
0.19%,VSH,VISHAY INTERTECHNOLOGY INC,--,"$50,602.02","1,477"
0.19%,APLS,APELLIS PHARMACEUTICALS INC,--,"$50,302.78","1,226"
0.19%,SKT,TANGER INC,--,"$50,117.86","1,378"
0.18%,MRP,MILLROSE PROPERTIES,--,"$49,712.78","1,846"
0.18%,BGC,BGC GROUP INC-A,--,"$49,489.55","4,345"
0.18%,MTRN,MATERION CORP,--,"$49,443.76",248
0.18%,PI,IMPINJ INC,--,"$49,237.02",322
0.18%,MWA,MUELLER WATER PRODUCTS INC-A,--,"$49,181.00","1,870"
0.18%,FULT,FULTON FINANCIAL CORP,--,"$49,170.50","2,287"
0.18%,STEP,STEPSTONE GROUP INC-CLASS A,--,"$49,162.68",882
0.18%,VIRT,VIRTU FINANCIAL INC-CLASS A,--,"$49,052.36",956
0.18%,POWI,POWER INTEGRATIONS INC,--,"$48,657.92",664
0.18%,RDNT,RADNET INC,--,"$48,588.65",835
0.18%,VCTR,VICTORY CAPITAL HOLDING - A,--,"$48,552.77",569
0.18%,UCB,UNITED COMMUNITY BANKS/GA,--,"$48,171.84","1,444"
0.18%,OPLN,OPENLANE INC,--,"$48,158.19","1,271"
0.18%,SKY,CHAMPION HOMES INC,--,"$48,147.24",661
0.18%,PSMT,PRICESMART INC,--,"$47,952.78",303
0.18%,ADT,ADT INC,--,"$47,945.73","6,979"
0.18%,KAI,KADANT INC,--,"$47,773.62",141
0.18%,SFBS,SERVISFIRST BANCSHARES INC,--,"$47,767.48",601
0.18%,TPH,TRI POINTE HOMES INC,--,"$47,466.45","1,011"
0.17%,UCTT,ULTRA CLEAN HOLDINGS INC,--,"$47,208.20",542
0.17%,PTEN,PATTERSON-UTI ENERGY INC,--,"$47,176.02","4,131"
0.17%,ABG,ASBURY AUTOMOTIVE GROUP,--,"$46,690.87",233
0.17%,DAN,DANA INC,--,"$46,636.80","1,344"
0.17%,INDB,INDEPENDENT BANK CORP/MA,--,"$46,294.40",592
0.17%,CATY,CATHAY GENERAL BANCORP,--,"$46,247.25",805
0.17%,VSCO,VICTORIA'S SECRET & CO,--,"$46,166.44",961
0.17%,BFH,BREAD FINANCIAL HOLDINGS INC,--,"$46,115.52",528
0.17%,URBN,URBAN OUTFITTERS INC,--,"$45,903.00",642
0.17%,WSFS,WSFS FINANCIAL CORP,--,"$45,888.00",640
0.17%,CVCO,CAVCO INDUSTRIES INC,--,"$45,546.76",94
0.17%,FELE,FRANKLIN ELECTRIC CO INC,--,"$45,497.72",458
0.17%,RNST,RENASANT CORP,--,"$45,495.08","1,132"
0.17%,AMTM,AMENTUM HOLDINGS INC,--,"$45,110.67","1,839"
0.17%,HP,HELMERICH & PAYNE,--,"$45,109.32","1,194"
0.17%,KTB,KONTOOR BRANDS INC,--,"$45,073.80",612
0.17%,PJT,PJT PARTNERS INC - A,--,"$45,000.24",291
0.17%,ITRI,ITRON INC,--,"$44,946.63",549
0.17%,BNL,BROADSTONE NET LEASE INC,--,"$44,824.02","2,257"
0.17%,TDW,TIDEWATER INC,--,"$44,800.32",552
0.17%,FBP,FIRST BANCORP PUERTO RICO,--,"$44,781.10","1,862"
0.17%,WHD,CACTUS INC - A,--,"$44,665.50",825
0.16%,INSW,INTERNATIONAL SEAWAYS INC,--,"$44,435.70",485
0.16%,LRN,STRIDE INC,--,"$44,228.79",503
0.16%,OTTR,OTTER TAIL CORP,--,"$44,191.06",502
0.16%,BOX,BOX INC - CLASS A,--,"$44,109.80","1,715"
0.16%,UNF,UNIFIRST CORP/MA,--,"$43,666.93",173
0.16%,GNW,GENWORTH FINANCIAL INC,--,"$43,614.01","4,777"
0.16%,OII,OCEANEERING INTL INC,--,"$43,592.22","1,193"
0.16%,MMSI,MERIT MEDICAL SYSTEMS INC,--,"$43,440.43",709
0.16%,CLSK,CLEANSPARK INC,--,"$43,437.80","3,059"
0.16%,ASO,ACADEMY SPORTS & OUTDOORS IN,--,"$43,125.67",797
0.16%,CPRX,CATALYST PHARMACEUTICALS INC,--,"$43,111.60","1,384"
0.16%,VECO,VEECO INSTRUMENTS INC,--,"$42,782.40",720
0.16%,RXO,RXO INC,--,"$42,717.00","1,964"
0.16%,OSIS,OSI SYSTEMS INC,--,"$42,703.55",185
0.16%,SPHR,SPHERE ENTERTAINMENT CO,--,"$42,532.27",319
0.16%,SIG,SIGNET JEWELERS LTD,--,"$42,515.10",487
0.16%,KFY,KORN FERRY,--,"$42,430.28",626
0.16%,SKYW,SKYWEST INC,--,"$42,350.40",480
0.16%,BKU,BANKUNITED INC,--,"$42,132.50",887
0.15%,BMI,BADGER METER INC,--,"$41,837.56",353
0.15%,HWKN,HAWKINS INC,--,"$41,790.00",250
0.15%,RNG,RINGCENTRAL INC-CLASS A,--,"$41,477.67",909
0.15%,OGN,ORGANON & CO,--,"$41,469.63","3,111"
0.15%,LIF,LIFE360 INC,--,"$41,318.90",938
0.15%,CC,CHEMOURS CO/THE,--,"$41,241.60","1,790"
0.15%,DORM,DORMAN PRODUCTS INC,--,"$41,211.16",332
0.15%,GFF,GRIFFON CORP,--,"$41,193.36",468
0.15%,MHO,M/I HOMES INC,--,"$41,011.57",311
0.15%,BRC,BRADY CORPORATION - CL A,--,"$40,888.26",522
0.15%,CALM,CAL-MAINE FOODS INC,--,"$40,784.24",536
0.15%,CVBF,CVB FINANCIAL CORP,--,"$40,599.01","1,997"
0.15%,RUN,SUNRUN INC,--,"$40,557.36","2,776"
0.15%,CBU,COMMUNITY FINANCIAL SYSTEM I,--,"$40,358.76",631
0.15%,AAP,ADVANCE AUTO PARTS INC,--,"$40,259.55",717
0.15%,FHB,FIRST HAWAIIAN INC,--,"$40,135.12","1,468"
0.15%,AVA,AVISTA CORP,--,"$39,799.50",975
0.15%,FUL,H.B. FULLER CO.,--,"$39,751.25",649
0.15%,CWK,CUSHMAN & WAKEFIELD LTD,--,"$39,320.49","2,771"
0.14%,NATL,NCR ATLEOS CORP,--,"$39,178.95",885
0.14%,SLG,SL GREEN REALTY CORP,--,"$38,933.25",851
0.14%,AGO,ASSURED GUARANTY LTD,--,"$38,800.85",517
0.14%,PARR,PAR PACIFIC HOLDINGS INC,--,"$38,750.74",602
0.14%,ADEA,ADEIA INC,--,"$38,713.83","1,311"
0.14%,EXTR,EXTREME NETWORKS INC,--,"$38,608.24","1,606"
0.14%,BOH,BANK OF HAWAII CORP,--,"$38,379.42",477
0.14%,VCYT,VERACYTE INC,--,"$38,237.32",946
0.14%,ACMR,ACM RESEARCH INC-CLASS A,--,"$38,184.30",638
0.14%,SXI,STANDEX INTERNATIONAL CORP,--,"$38,167.32",146
0.14%,UNFI,UNITED NATURAL FOODS INC,--,"$38,141.28",729
0.14%,PLAB,PHOTRONICS INC,--,"$37,977.12",708
0.14%,FFBC,FIRST FINANCIAL BANCORP,--,"$37,913.40","1,239"
0.14%,PATK,PATRICK INDUSTRIES INC,--,"$37,877.66",398
0.14%,FIBK,FIRST INTERSTATE BANCSYS-A,--,"$37,819.40","1,052"
0.14%,COCO,VITA COCO CO INC/THE,--,"$37,590.00",525
0.14%,CENX,CENTURY ALUMINUM COMPANY,--,"$37,584.58",638
0.14%,ICUI,ICU MEDICAL INC,--,"$37,549.71",297
0.14%,QTWO,Q2 HOLDINGS INC,--,"$37,497.24",748
0.14%,APLE,APPLE HOSPITALITY REIT INC,--,"$37,190.16","2,632"
0.14%,LXP,LXP INDUSTRIAL TRUST,--,"$37,099.20",708
0.14%,ITGR,INTEGER HOLDINGS CORP,--,"$37,010.40",420
0.14%,SFNC,SIMMONS FIRST NATL CORP-CL A,--,"$36,839.64","1,732"
0.14%,BHE,BENCHMARK ELECTRONICS INC,--,"$36,598.28",428
0.13%,BXMT,BLACKSTONE MORTGAGE TRU-CL A,--,"$36,308.74","1,898"
0.13%,PHIN,PHINIA INC,--,"$36,181.11",453
0.13%,CRGY,CRESCENT ENERGY INC-A,--,"$36,059.20","2,908"
0.13%,SBCF,SEACOAST BANKING CORP/FL,--,"$36,033.31","1,159"
0.13%,PLMR,PALOMAR HOLDINGS INC,--,"$35,935.12",317
0.13%,KN,KNOWLES CORP,--,"$35,844.48","1,016"
0.13%,CPK,CHESAPEAKE UTILITIES CORP,--,"$35,776.86",283
0.13%,AWR,AMERICAN STATES WATER CO,--,"$35,666.40",462
0.13%,GEO,GEO GROUP INC/THE,--,"$35,599.36","1,636"
0.13%,CHEF,CHEFS' WAREHOUSE INC/THE,--,"$35,543.85",435
0.13%,NMIH,NMI HOLDINGS INC,--,"$35,410.57",911
0.13%,SUPN,SUPERNUS PHARMACEUTICALS INC,--,"$35,401.11",687
0.13%,VGNT,VERSIGENT PLC,--,"$35,388.18",846
0.13%,SHOO,STEVEN MADDEN LTD,--,"$35,290.09",869
0.13%,TDC,TERADATA CORP,--,"$35,222.85","1,115"
0.13%,TRN,TRINITY INDUSTRIES INC,--,"$35,164.80",960
0.13%,PFS,PROVIDENT FINANCIAL SERVICES,--,"$35,011.20","1,563"
0.13%,HAYW,HAYWARD HOLDINGS INC,--,"$34,802.46","2,387"
0.13%,KALU,KAISER ALUMINUM CORP,--,"$34,623.36",192
0.13%,WU,WESTERN UNION CO,--,"$34,484.14","3,802"
0.13%,CON,CONCENTRA GROUP HOLDINGS PAR,--,"$34,476.32","1,427"
0.13%,LCII,LCI INDUSTRIES,--,"$34,457.80",290
0.13%,BTU,PEABODY ENERGY CORP,--,"$34,323.45","1,455"
0.13%,IAC,IAC INC,--,"$34,322.74",779
0.13%,AKR,ACADIA REALTY TRUST,--,"$34,135.36","1,568"
0.13%,CAKE,CHEESECAKE FACTORY INC/THE,--,"$33,845.85",549
0.13%,SHAK,SHAKE SHACK INC - CLASS A,--,"$33,807.48",482
0.12%,CARG,CARGURUS INC,--,"$33,772.14",972
0.12%,WDFC,WD-40 CO,--,"$33,704.10",162
0.12%,ACAD,ACADIA PHARMACEUTICALS INC,--,"$33,555.20","1,498"
0.12%,HIW,HIGHWOODS PROPERTIES INC,--,"$33,478.14","1,317"
0.12%,CNK,CINEMARK HOLDINGS INC,--,"$33,446.16","1,236"
0.12%,PRK,PARK NATIONAL CORP,--,"$33,262.08",192
0.12%,FCPT,FOUR CORNERS PROPERTY TRUST,--,"$33,073.38","1,314"
0.12%,KMT,KENNAMETAL INC,--,"$32,923.20",912
0.12%,DBD,DIEBOLD NIXDORF INC,--,"$32,764.20",420
0.12%,NGVT,INGEVITY CORP,--,"$32,596.53",431
0.12%,UE,URBAN EDGE PROPERTIES,--,"$32,566.27","1,507"
0.12%,ARCB,ARCBEST CORP,--,"$32,419.96",268
0.12%,WAFD,WAFD INC,--,"$32,314.95",909
0.12%,CURB,CURBLINE PROPERTIES CORP,--,"$32,312.92","1,159"
0.12%,MGEE,MGE ENERGY INC,--,"$32,258.70",438
0.12%,RHI,ROBERT HALF INC,--,"$32,138.67","1,189"
0.12%,NTCT,NETSCOUT SYSTEMS INC,--,"$32,092.89",821
0.12%,APAM,ARTISAN PARTNERS ASSET MA -A,--,"$32,088.88",844
0.12%,PRVA,PRIVIA HEALTH GROUP INC,--,"$31,915.04","1,384"
0.12%,MCY,MERCURY GENERAL CORP,--,"$31,695.06",318
0.12%,TRMK,TRUSTMARK CORP,--,"$31,624.11",707
0.12%,RRR,RED ROCK RESORTS INC-CLASS A,--,"$31,598.40",580
0.12%,AEO,AMERICAN EAGLE OUTFITTERS,--,"$31,458.48","1,886"
0.12%,JOE,ST JOE CO/THE,--,"$31,381.83",477
0.12%,BCC,BOISE CASCADE CO,--,"$31,165.47",441
0.12%,CALX,CALIX INC,--,"$31,132.80",720
0.12%,HUBG,HUB GROUP INC-CL A,--,"$31,088.00",725
0.11%,NSIT,INSIGHT ENTERPRISES INC,--,"$31,086.09",371
0.11%,FRPT,FRESHPET INC,--,"$30,998.72",584
0.11%,CWT,CALIFORNIA WATER SERVICE GRP,--,"$30,712.12",712
0.11%,ICHR,ICHOR HOLDINGS LTD,--,"$30,661.04",412
0.11%,HE,HAWAIIAN ELECTRIC INDS,--,"$30,623.95","2,065"
0.11%,BANC,BANC OF CALIFORNIA INC,--,"$30,578.24","1,606"
0.11%,MPT,MEDICAL PROPERTIES TRUST INC,--,"$30,508.17","5,901"
0.11%,OSW,ONESPAWORLD HOLDINGS LTD,--,"$30,280.40","1,220"
0.11%,GOLF,ACUSHNET HOLDINGS CORP,--,"$30,211.50",330
0.11%,PBH,PRESTIGE CONSUMER HEALTHCARE,--,"$29,790.18",567
0.11%,MTX,MINERALS TECHNOLOGIES INC,--,"$29,657.23",373
0.11%,DGII,DIGI INTERNATIONAL INC,--,"$29,601.00",450
0.11%,SEDG,SOLAREDGE TECHNOLOGIES INC,--,"$29,529.50",715
0.11%,WAY,WAYSTAR HOLDING CORP,--,"$29,376.12","1,374"
0.11%,CUBI,CUSTOMERS BANCORP INC,--,"$29,358.80",380
0.11%,FBNC,FIRST BANCORP/NC,--,"$29,312.28",498
0.11%,CALY,CALLAWAY GOLF COMPANY,--,"$29,275.92","1,671"
0.11%,NOG,NORTHERN OIL AND GAS INC,--,"$29,226.60","1,249"
0.11%,SPNT,SIRIUSPOINT LTD,--,"$29,195.25","1,245"
0.11%,BBT,BEACON FINANCIAL CORP,--,"$29,045.72","1,004"
0.11%,DNOW,DNOW INC,--,"$29,028.47","2,221"
0.11%,TBBK,BANCORP INC/THE,--,"$28,899.00",507
0.11%,ANDE,ANDERSONS INC/THE,--,"$28,722.90",402
0.11%,NBTB,N B T BANCORP INC,--,"$28,584.93",627
0.11%,ALRM,ALARM.COM HOLDINGS INC,--,"$28,417.20",597
0.10%,ABM,ABM INDUSTRIES INC,--,"$28,220.40",702
0.10%,NHC,NATIONAL HEALTHCARE CORP,--,"$28,134.18",149
0.10%,ROG,ROGERS CORP,--,"$28,132.00",200
0.10%,PLUS,EPLUS INC,--,"$28,086.41",311
0.10%,BANF,BANCFIRST CORP,--,"$28,011.60",248
0.10%,HNI,HNI CORP,--,"$27,929.91",831
0.10%,PBI,PITNEY BOWES INC,--,"$27,820.40","1,772"
0.10%,ACHC,ACADIA HEALTHCARE CO INC,--,"$27,798.72","1,104"
0.10%,TMDX,TRANSMEDICS GROUP INC,--,"$27,746.56",409
0.10%,COHU,COHU INC,--,"$27,692.86",559
0.10%,VRRM,VERRA MOBILITY CORP,--,"$27,284.40","1,908"
0.10%,LMAT,LEMAITRE VASCULAR INC,--,"$26,877.06",249
0.10%,AMRX,AMNEAL PHARMACEUTICALS INC,--,"$26,822.40","2,032"
0.10%,BANR,BANNER CORPORATION,--,"$26,793.36",408
0.10%,FUN,SIX FLAGS ENTERTAINMENT CORP,--,"$26,742.15","1,215"
0.10%,DRH,DIAMONDROCK HOSPITALITY CO,--,"$26,273.65","2,435"
0.10%,WT,WISDOMTREE INC,--,"$26,262.50","1,375"
0.10%,FBK,FB FINANCIAL CORP,--,"$26,139.96",483
0.10%,WERN,WERNER ENTERPRISES INC,--,"$26,076.72",716
0.10%,PRDO,PERDOCEO EDUCATION CORP,--,"$26,056.92",723
0.10%,CSGS,CSG SYSTEMS INTL INC,--,"$25,962.74",323
0.10%,KNTK,KINETIK HOLDINGS INC,--,"$25,861.76",544
0.10%,RCUS,ARCUS BIOSCIENCES INC,--,"$25,740.40","1,015"
0.10%,HTO,H2O AMERICA,--,"$25,715.91",447
0.09%,VAC,MARRIOTT VACATIONS WORLD,--,"$25,526.72",331
0.09%,PENN,PENN ENTERTAINMENT INC,--,"$25,511.76","1,524"
0.09%,SPSC,SPS COMMERCE INC,--,"$25,467.97",451
0.09%,PENG,PENGUIN SOLUTIONS INC,--,"$25,343.79",573
0.09%,STC,STEWART INFORMATION SERVICES,--,"$25,242.26",362
0.09%,NWN,NORTHWEST NATURAL HOLDING CO,--,"$25,119.12",498
0.09%,SRPT,SAREPTA THERAPEUTICS INC,--,"$25,003.62","1,253"
0.09%,DEI,DOUGLAS EMMETT INC,--,"$24,764.74","2,002"
0.09%,CXW,CORECIVIC INC,--,"$24,314.68","1,196"
0.09%,NWBI,NORTHWEST BANCSHARES INC,--,"$24,265.83","1,747"
0.09%,KWR,QUAKER CHEMICAL CORPORATION,--,"$24,196.56",164
0.09%,GRBK,GREEN BRICK PARTNERS INC,--,"$24,188.94",366
0.09%,UNIT,UNITI GROUP INC,--,"$24,184.32","2,144"
0.09%,IOSP,INNOSPEC INC,--,"$24,003.90",298
0.09%,SHO,SUNSTONE HOTEL INVESTORS INC,--,"$23,822.79","2,271"
0.09%,OFG,OFG BANCORP,--,"$23,782.00",517
0.09%,ATEN,A10 NETWORKS INC,--,"$23,769.00",855
0.09%,AMR,ALPHA METALLURGICAL RESOURCE,--,"$23,750.19",129
0.09%,DXPE,DXP ENTERPRISES INC,--,"$23,739.36",152
0.09%,CNS,COHEN & STEERS INC,--,"$23,717.61",329
0.09%,MD,PEDIATRIX MEDICAL GROUP INC,--,"$23,651.06","1,006"
0.09%,ARR,ARMOUR RESIDENTIAL REIT INC,--,"$23,588.94","1,338"
0.09%,EZPW,EZCORP INC-CL A,--,"$23,578.62",703
0.09%,NEOG,NEOGEN CORP,--,"$23,548.10","2,602"
0.09%,OMCL,OMNICELL INC,--,"$23,531.34",537
0.09%,ADMA,ADMA BIOLOGICS INC,--,"$23,251.82","2,846"
0.09%,NBHC,NATIONAL BANK HOLD-CL A,--,"$23,096.15",539
0.08%,RAMP,LIVERAMP HOLDINGS INC,--,"$22,967.28",756
0.08%,NWL,NEWELL BRANDS INC,--,"$22,777.18","5,017"
0.08%,FCF,FIRST COMMONWEALTH FINL CORP,--,"$22,773.12","1,227"
0.08%,PGNY,PROGYNY INC,--,"$22,771.20",960
0.08%,TALO,TALOS ENERGY INC,--,"$22,559.95","1,505"
0.08%,ECPG,ENCORE CAPITAL GROUP INC,--,"$22,479.84",268
0.08%,EPAC,ENERPAC TOOL GROUP CORP,--,"$22,448.64",632
0.08%,CASH,PATHWARD FINANCIAL INC,--,"$22,443.20",260
0.08%,STRA,STRATEGIC EDUCATION INC,--,"$22,370.22",279
0.08%,WD,WALKER & DUNLOP INC,--,"$22,280.88",408
0.08%,LTC,LTC PROPERTIES INC,--,"$22,259.28",569
0.08%,AGYS,AGILYSYS INC,--,"$21,834.95",305
0.08%,ADUS,ADDUS HOMECARE CORP,--,"$21,805.83",219
0.08%,EYE,NATIONAL VISION HOLDINGS INC,--,"$21,789.04",949
0.08%,CRVL,CORVEL CORP,--,"$21,769.44",372
0.08%,SONO,SONOS INC,--,"$21,761.70","1,445"
0.08%,GNL,GLOBAL NET LEASE INC,--,"$21,755.11","2,357"
