Direxion Daily SHOP Bull 2X ETF
SHPU
Shares Outstanding:1850001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","SHPU","","DREYFUS GOVT CASH MAN INS","2512965.9000","1.0000","2512965.9000","X9USDDGCM","15.8817357935"
"5/15/2026 12:00:00 AM","SHPU","","DREYFUS TRSRY SECURITIES CASH MGMT","5390086.6700","1.0000","5390086.6700","X9USDDTP3","34.0649001234"
"5/15/2026 12:00:00 AM","SHPU","","GOLDMAN FINL SQ TRSRY INST 506","6515507.8100","1.0000","6515507.8100","X9USDGSFC","41.1774682652"
"5/15/2026 12:00:00 AM","SHPU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","3860000.5100","1.0000","3860000.5100","X9USDGLDS","24.3948826614"
"5/15/2026 12:00:00 AM","SHPU","SHOP","SHOPIFY INC - CLASS A","17772.0000","97.4200","1731348.2400","82509L107","10.9419770934"
"5/15/2026 12:00:00 AM","SHPU","","SHOPIFY INC SWAP","9955.0000","97.4200","969816.1000","SHOPNM","6.1291572116"
"5/15/2026 12:00:00 AM","SHPU","","SHOPIFY INC SWAP","45946.0000","97.4200","4476059.3200","SHOPCT","28.2883231787"
"5/15/2026 12:00:00 AM","SHPU","","SHOPIFY INC SWAP","74814.0000","97.4200","7288379.8800","SHOPBC","46.0619555628"
"5/15/2026 12:00:00 AM","SHPU","","SHOPIFY INC SWAP","86244.0000","97.4200","8401890.4800","SHOPGS","53.0992500810"
"5/15/2026 12:00:00 AM","SHPU","","SHOPIFY INC SWAP","90111.0000","97.4200","8778613.6200","SHOPML","55.4801090400"
