Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
2.76%,ANET,ARISTA NETWORKS INC,--,"$74,433.70",431
2.72%,AMZN,AMAZON.COM INC,--,"$73,503.24",274
2.66%,CRWV,COREWEAVE INC-CL A,--,"$71,882.04",604
2.65%,DOCN,DIGITALOCEAN HOLDINGS INC,--,"$71,562.72",696
2.64%,GOOGL,ALPHABET INC-CL A,--,"$71,352.65",185
2.51%,ORCL,ORACLE CORP,--,"$67,872.85",395
2.38%,P,EVERPURE INC-A,--,"$64,243.14",897
2.38%,NTNX,NUTANIX INC - A,--,"$64,113.00","1,505"
2.33%,LUMN,LUMEN TECHNOLOGIES INC,--,"$62,910.00","6,750"
2.24%,MSFT,MICROSOFT CORP,--,"$60,508.24",146
2.06%,IBM,INTL BUSINESS MACHINES CORP,--,"$55,728.00",240
1.80%,NET,CLOUDFLARE INC - CLASS A,--,"$48,502.50",223
1.64%,CSCO,CISCO SYSTEMS INC,--,"$44,363.55",483
1.62%,TWLO,TWILIO INC - A,--,"$43,634.92",238
1.57%,FSLY,FASTLY INC - CLASS A,--,"$42,273.42","1,506"
1.51%,DELL,DELL TECHNOLOGIES -C,--,"$40,772.98",194
1.50%,AKAM,AKAMAI TECHNOLOGIES INC,--,"$40,509.30",390
1.43%,MDB,MONGODB INC,--,"$38,465.16",146
1.42%,HPE,HEWLETT PACKARD ENTERPRISE,--,"$38,340.94","1,342"
1.26%,TEAM,ATLASSIAN CORP-CL A,--,"$34,041.04",383
1.21%,NTAP,NETAPP INC,--,"$32,615.28",291
1.13%,SHOP,SHOPIFY INC - CLASS A,--,"$30,513.13",239
1.13%,RBRK,RUBRIK INC-A,--,"$30,508.78",554
1.12%,APP,APPLOVIN CORP-CLASS A,--,"$30,360.00",66
1.06%,RNG,RINGCENTRAL INC-CLASS A,--,"$28,490.56",632
1.02%,ADBE,ADOBE INC,--,"$27,578.10",110
1.00%,CRM,SALESFORCE INC,--,"$27,021.54",147
0.97%,GTLB,GITLAB INC-CL A,--,"$26,310.70","1,094"
0.97%,HUBS,HUBSPOT INC,--,"$26,148.01",109
0.95%,WK,WORKIVA INC,--,"$25,627.68",468
0.91%,TTAN,SERVICETITAN INC-A,--,"$24,564.56",398
0.90%,NOW,SERVICENOW INC,--,"$24,248.56",266
0.81%,WIX,WIX.COM LTD,--,"$21,923.20",272
0.67%,FIVN,FIVE9 INC,--,"$18,170.08",817
0.60%,SAP,SAP SE-SPONSORED ADR,--,"$16,222.20",95
0.49%,ZM,ZOOM COMMUNICATIONS INC,--,"$13,343.76",129
0.45%,KVYO,KLAVIYO INC-A,--,"$12,254.40",552
0.45%,DDOG,DATADOG INC - CLASS A,--,"$12,085.58",86
0.44%,PANW,PALO ALTO NETWORKS INC,--,"$11,770.20",65
0.42%,CRWD,CROWDSTRIKE HOLDINGS INC - A,--,"$11,391.00",25
0.38%,APPN,APPIAN CORP-A,--,"$10,323.32",458
0.38%,TOST,TOAST INC-CLASS A,--,"$10,246.72",352
0.38%,QTWO,Q2 HOLDINGS INC,--,"$10,246.00",200
0.38%,DOCU,DOCUSIGN INC,--,"$10,215.48",213
0.38%,BOX,BOX INC - CLASS A,--,"$10,179.07",407
0.38%,PAYC,PAYCOM SOFTWARE INC,--,"$10,160.92",77
0.37%,PCTY,PAYLOCITY HOLDING CORP,--,"$9,864.00",90
0.36%,TTD,TRADE DESK INC/THE -CLASS A,--,"$9,792.96",404
0.35%,INTU,INTUIT INC,--,"$9,576.96",24
0.35%,DBX,DROPBOX INC-CLASS A,--,"$9,573.12",384
0.35%,APPF,APPFOLIO INC - A,--,"$9,347.40",54
0.34%,BL,BLACKLINE INC,--,"$9,223.52",272
0.34%,QLYS,QUALYS INC,--,"$9,207.12",104
0.34%,WDAY,WORKDAY INC-CLASS A,--,"$9,141.12",72
0.34%,VEEV,VEEVA SYSTEMS INC-CLASS A,--,"$9,094.80",53
0.34%,ZS,ZSCALER INC,--,"$9,087.65",65
0.33%,OTEX,OPEN TEXT CORP,--,"$9,001.60",388
0.33%,ESTC,ELASTIC NV,--,"$8,944.24",184
0.30%,SNOW,SNOWFLAKE INC,--,"$8,037.00",57
0.29%,ASAN,ASANA INC - CL A,--,"$7,737.93","1,107"
0.28%,BLKB,BLACKBAUD INC,--,"$7,432.92",198
0.23%,FIG,FIGMA INC-CL A,--,"$6,127.98",327
61.07%,--,ISE CLOUD COMPUTING INDEX SWAP BNP PARIBAS,"1,648,186",--,"1,190"
49.67%,--,ISE CLOUD COMPUTING INDEX SWAP BANK OF AMERICA NA,"1,340,709",--,968
13.80%,--,ISE CLOUD COMPUTING INDEX SWAP UBS AG,"372,573",--,269
10.42%,--,ISE CLOUD COMPUTING INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"281,161",--,203
--,--,NET OTHER ASSETS (LIABILITIES),--,"$936,336.92","936,337"
