Direxion Daily Semiconductor Bull 3X ETF
SOXL
Shares Outstanding:126600060


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/8/2026 12:00:00 AM","SOXL","AMD","ADVANCED MICRO DEVICES","2724464.0000","408.4600","1112834565.4400","007903107","5.7840695737"
"5/8/2026 12:00:00 AM","SOXL","ADI","ANALOG DEVICES INC","1028637.0000","408.5200","420218787.2400","032654105","2.1841294088"
"5/8/2026 12:00:00 AM","SOXL","AMAT","APPLIED MATERIALS INC","1465414.0000","410.6400","601757604.9600","038222105","3.1276956716"
"5/8/2026 12:00:00 AM","SOXL","ARM","ARM HOLDINGS PLC-ADR","321485.0000","213.3100","68575965.3500","042068205","0.3564304767"
"5/8/2026 12:00:00 AM","SOXL","ASX","ASE TECHNOLOGY HOLDING -ADR","3891691.0000","33.3400","129748977.9400","00215W100","0.6743833619"
"5/8/2026 12:00:00 AM","SOXL","ASML","ASML HOLDING NV-NY REG SHS","231579.0000","1516.6000","351212711.4000","N07059210","1.8254633896"
"5/8/2026 12:00:00 AM","SOXL","ALAB","ASTERA LABS INC","1027607.0000","195.6500","201051309.5500","04626A103","1.0449844015"
"5/8/2026 12:00:00 AM","SOXL","AVGO","BROADCOM INC","2289027.0000","412.5600","944360979.1200","11135F101","4.9084111651"
"5/8/2026 12:00:00 AM","SOXL","CRDO","CREDO TECHNOLOGY GROUP HOLDI","1222261.0000","188.2900","230139523.6900","G25457105","1.1961733199"
"5/8/2026 12:00:00 AM","SOXL","","DREYFUS GOVT CASH MAN INS","2984280744.5900","1.0000","2984280744.5900","X9USDDGCM","15.5110993045"
"5/8/2026 12:00:00 AM","SOXL","","DREYFUS TRSRY SECURITIES CASH MGMT","3862310000.2000","1.0000","3862310000.2000","X9USDDTP3","20.0747446655"
"5/8/2026 12:00:00 AM","SOXL","ENTG","ENTEGRIS INC","1140265.0000","147.6600","168371529.9000","29362U104","0.8751279601"
"5/8/2026 12:00:00 AM","SOXL","","GOLDMAN FINL SQ TRSRY INST 506","922845836.8600","1.0000","922845836.8600","X9USDGSFC","4.7965840494"
"5/8/2026 12:00:00 AM","SOXL","","ICE SEMICONDUCTOR INDEX SWAP","100000.0000","2516.2200","251622000.0000","ICESEMISG","1.3078306511"
"5/8/2026 12:00:00 AM","SOXL","","ICE SEMICONDUCTOR INDEX SWAP","1020015.0000","2516.2200","2566582143.3000","ICESEMIBP","13.3400688156"
"5/8/2026 12:00:00 AM","SOXL","","ICE SEMICONDUCTOR INDEX SWAP","1103745.0000","2516.2200","2777265243.9000","ICESEMIJP","14.4351154197"
"5/8/2026 12:00:00 AM","SOXL","","ICE SEMICONDUCTOR INDEX SWAP","1377148.0000","2516.2200","3465207340.5600","ICESEMIU","18.0107636547"
