Direxion Daily Semiconductor Bear 3X ETF
SOXS
Shares Outstanding:139095800


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","SOXS","","DREYFUS GOVT CASH MAN INS","890322287.3700","1.0000","890322287.3700","X9USDDGCM","48.0882081030"
"5/1/2026 12:00:00 AM","SOXS","","DREYFUS TRSRY SECURITIES CASH MGMT","247535283.2100","1.0000","247535283.2100","X9USDDTP3","13.3699092797"
"5/1/2026 12:00:00 AM","SOXS","","GOLDMAN FINL SQ TRSRY INST 506","1718165250.4600","1.0000","1718165250.4600","X9USDGSFC","92.8017744715"
"5/1/2026 12:00:00 AM","SOXS","","GOLDMAN SACHS FIN GOV 465 INSTITUT","257485261.8700","1.0000","257485261.8700","X9USDGLDS","13.9073288762"
"5/1/2026 12:00:00 AM","SOXS","","ICE SEMICONDUCTOR INDEX SWAP","-1019633.0000","2358.5900","-2404896197.4700","ICESEMIML","-129.8935794943"
"5/1/2026 12:00:00 AM","SOXS","","ICE SEMICONDUCTOR INDEX SWAP","-250365.0000","2358.5900","-590508385.3500","ICESEMICT","-31.8946189757"
"5/1/2026 12:00:00 AM","SOXS","","ICE SEMICONDUCTOR INDEX SWAP","-237227.0000","2358.5900","-559521229.9300","ICESEMIJP","-30.2209365357"
"5/1/2026 12:00:00 AM","SOXS","","ICE SEMICONDUCTOR INDEX SWAP","-216917.0000","2358.5900","-511618267.0300","ICESEMIBC","-27.6335952084"
"5/1/2026 12:00:00 AM","SOXS","","ICE SEMICONDUCTOR INDEX SWAP","-198588.0000","2358.5900","-468387670.9200","ICESEMIGS","-25.2986183898"
"5/1/2026 12:00:00 AM","SOXS","","ICE SEMICONDUCTOR INDEX SWAP","-169919.0000","2358.5900","-400769254.2100","ICESEMIU","-21.6464032981"
"5/1/2026 12:00:00 AM","SOXS","","ICE SEMICONDUCTOR INDEX SWAP","-162273.0000","2358.5900","-382735475.0700","ICESEMIBP","-20.6723603740"
"5/1/2026 12:00:00 AM","SOXS","","ICE SEMICONDUCTOR INDEX SWAP","-100000.0000","2358.5900","-235859000.0000","ICESEMISG","-12.7392482878"
