Direxion Daily S&P 500 Bear 3X ETF
SPXS
Shares Outstanding:13617252


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/8/2026 12:00:00 AM","SPXS","","DREYFUS GOVT CASH MAN INS","175146450.0300","1.0000","175146450.0300","X9USDDGCM","45.1097164409"
"5/8/2026 12:00:00 AM","SPXS","","DREYFUS TRSRY SECURITIES CASH MGMT","75080415.7300","1.0000","75080415.7300","X9USDDTP3","19.3372818191"
"5/8/2026 12:00:00 AM","SPXS","","GOLDMAN FINL SQ TRSRY INST 506","163921298.3700","1.0000","163921298.3700","X9USDGSFC","42.2186306764"
"5/8/2026 12:00:00 AM","SPXS","","GOLDMAN SACHS FIN GOV 465 INSTITUT","33297974.9700","1.0000","33297974.9700","X9USDGLDS","8.5760357044"
"5/8/2026 12:00:00 AM","SPXS","","S&P 500 INDEX SWAP","-47086.0000","7337.1100","-345475161.4600","SPXML","-88.9786037237"
"5/8/2026 12:00:00 AM","SPXS","","S&P 500 INDEX SWAP","-38635.0000","7337.1100","-283469244.8500","SPXGS","-73.0087150080"
"5/8/2026 12:00:00 AM","SPXS","","S&P 500 INDEX SWAP","-21290.0000","7337.1100","-156207071.9000","SPXBC","-40.2317986934"
"5/8/2026 12:00:00 AM","SPXS","","S&P 500 INDEX SWAP","-16927.0000","7337.1100","-124195260.9700","SPXCT","-31.9870200321"
"5/8/2026 12:00:00 AM","SPXS","","S&P 500 INDEX SWAP","-15522.0000","7337.1100","-113886621.4200","SPXU","-29.3319858769"
"5/8/2026 12:00:00 AM","SPXS","","S&P 500 INDEX SWAP","-12547.0000","7337.1100","-92058719.1700","SPXJP","-23.7101164024"
"5/8/2026 12:00:00 AM","SPXS","","S&P 500 INDEX SWAP","-6748.0000","7337.1100","-49510818.2800","SPXBP","-12.7517227611"
