Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-33.04%,--,NASDAQ 100 INDEX SWAP BANK OF AMERICA NA,"-870,501,062",--,"-29,776"
-33.02%,--,NASDAQ 100 INDEX SWAP BNP PARIBAS,"-870,091,772",--,"-29,762"
-32.48%,--,NASDAQ 100 INDEX SWAP BARCLAYS CAPITAL,"-855,942,037",--,"-29,278"
-32.20%,--,NASDAQ 100 INDEX SWAP UBS AG,"-848,449,226",--,"-29,022"
-31.37%,--,NASDAQ 100 INDEX SWAP CITIBANK NA,"-826,502,402",--,"-28,271"
-28.79%,--,NASDAQ 100 INDEX SWAP JPMORGAN CHASE BANK NA,"-758,735,695",--,"-25,953"
-28.45%,--,NASDAQ 100 INDEX SWAP NOMURA CAPITAL,"-749,614,379",--,"-25,641"
-25.35%,--,NASDAQ 100 INDEX SWAP SOCIETE GENERALE,"-667,873,347",--,"-22,845"
-25.04%,--,NASDAQ 100 INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-659,687,549",--,"-22,565"
-22.77%,--,NASDAQ 100 INDEX SWAP MORGAN STANLEY & CO. INTERNATIONAL PLC,"-600,106,640",--,"-20,527"
-7.53%,--,NASDAQ 100 E-MINI EQUITY INDEX 18/JUN/2026 NQM6 INDEX,"-198,287,700",--,-338
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,"$2,428,911,200.00","24,260,000"
--,--,TREASURY BILL,--,"$447,046,501.50","450,000,000"
--,--,TREASURY BILL,--,"$398,207,500.00","400,000,000"
--,--,TREASURY BILL,--,"$394,057,265.40","395,000,000"
--,--,TREASURY BILL,--,"$299,970,291.00","300,000,000"
--,--,TREASURY BILL,--,"$299,132,418.00","300,000,000"
--,--,TREASURY BILL,--,"$199,383,832.00","200,000,000"
--,--,TREASURY BILL,--,"$198,260,242.00","200,000,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$-2,029,975,681.90","-2,029,975,682"
