Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-38.36%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP BNP PARIBAS,"-11,539,623",--,-293
-32.08%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP BANK OF AMERICA NA,"-9,649,173",--,-245
-30.37%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP UBS AG,"-9,137,176",--,-232
-23.57%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP BARCLAYS CAPITAL,"-7,089,188",--,-180
-19.77%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP SOCIETE GENERALE,"-5,947,041",--,-151
-18.98%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP CITIBANK NA,"-5,710,735",--,-145
-13.62%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP JPMORGAN CHASE BANK NA,"-4,095,976",--,-104
-12.70%,--,DJUSSC SWAP GOLDMAN SACHS INTERNATIONAL,"-3,820,285",--,-97
-10.47%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP MORGAN STANLEY & CO. INTERNATIONAL PLC,"-3,150,750",--,-80
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,"$10,012,000.00","100,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$20,070,820.77","20,070,821"
