Direxion Daily Biotech Top 5 Bull 2X ETF
TBXU
Shares Outstanding:100001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","TBXU","AMGN","AMGEN INC","728.0000","336.2300","244775.4400","031162100","8.0003019502"
"5/15/2026 12:00:00 AM","TBXU","ARGX","ARGENX SE - ADR","381.0000","822.1300","313231.5300","04016X101","10.2377379868"
"5/15/2026 12:00:00 AM","TBXU","","DREYFUS GOVT CASH MAN INS","883488.8900","1.0000","883488.8900","X9USDDGCM","28.8761727469"
"5/15/2026 12:00:00 AM","TBXU","","DX D BIOTECH T 5 BULL 2X ETF  SWAP","5591.0000","243.1900","1359675.2900","BIOEW5BC","44.4399686268"
"5/15/2026 12:00:00 AM","TBXU","","DX D BIOTECH T 5 BULL 2X ETF  SWAP","14180.0000","243.1900","3448434.2000","BIOEW5CT","112.7094893807"
"5/15/2026 12:00:00 AM","TBXU","GILD","GILEAD SCIENCES INC","1837.0000","132.0600","242594.2200","375558103","7.9290104079"
"5/15/2026 12:00:00 AM","TBXU","","GOLDMAN FINL SQ TRSRY INST 506","754078.6700","1.0000","754078.6700","X9USDGSFC","24.6464966183"
"5/15/2026 12:00:00 AM","TBXU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","160000.2800","1.0000","160000.2800","X9USDGLDS","5.2294893316"
"5/15/2026 12:00:00 AM","TBXU","REGN","REGENERON PHARMACEUTICALS","357.0000","712.8700","254494.5900","75886F107","8.3179650895"
"5/15/2026 12:00:00 AM","TBXU","VRTX","VERTEX PHARMACEUTICALS INC","568.0000","450.4100","255832.8800","92532F100","8.3617060959"
