Direxion Daily Technology Bear 3X ETF
TECS
Shares Outstanding:7239102


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","TECS","","DREYFUS GOVT CASH MAN INS","57331183.7700","1.0000","57331183.7700","X9USDDGCM","67.3866237357"
"5/1/2026 12:00:00 AM","TECS","","DREYFUS TRSRY SECURITIES CASH MGMT","7042734.3000","1.0000","7042734.3000","X9USDDTP3","8.2779746577"
"5/1/2026 12:00:00 AM","TECS","","GOLDMAN FINL SQ TRSRY INST 506","28088226.4400","1.0000","28088226.4400","X9USDGSFC","33.0146810523"
"5/1/2026 12:00:00 AM","TECS","","GOLDMAN SACHS FIN GOV 465 INSTITUT","3688704.0800","1.0000","3688704.0800","X9USDGLDS","4.3356738439"
"5/1/2026 12:00:00 AM","TECS","","TECHNOLOGY SELECT SECTOR INDEX SWAP","-25763.0000","3211.8300","-82746376.2900","IXTBP","-97.2594416839"
"5/1/2026 12:00:00 AM","TECS","","TECHNOLOGY SELECT SECTOR INDEX SWAP","-22327.0000","3211.8300","-71710528.4100","IXTCT","-84.2879926435"
"5/1/2026 12:00:00 AM","TECS","","TECHNOLOGY SELECT SECTOR INDEX SWAP","-7163.0000","3211.8300","-23006338.2900","IXTML","-27.0414695797"
"5/1/2026 12:00:00 AM","TECS","","TECHNOLOGY SELECT SECTOR INDEX SWAP","-5973.0000","3211.8300","-19184260.5900","IXTU","-22.5490294289"
"5/1/2026 12:00:00 AM","TECS","","TECHNOLOGY SELECT SECTOR INDEX SWAP","-5000.0000","3211.8300","-16059150.0000","IXTSG","-18.8757989527"
"5/1/2026 12:00:00 AM","TECS","","TECHNOLOGY SELECT SECTOR INDEX SWAP","-4462.0000","3211.8300","-14331185.4600","IXTGS","-16.8447629854"
"5/1/2026 12:00:00 AM","TECS","","TECHNOLOGY SELECT SECTOR INDEX SWAP","-4397.0000","3211.8300","-14122416.5100","IXTJP","-16.5993775990"
"5/1/2026 12:00:00 AM","TECS","","TECHNOLOGY SELECT SECTOR INDEX SWAP","-4382.0000","3211.8300","-14074239.0600","IXTBC","-16.5427502022"
