Direxion Daily Energy Top 5 Bull 2X ETF
TEXU
Shares Outstanding:125001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","TEXU","CVX","CHEVRON CORP","2550.0000","186.6400","475932.0000","166764100","9.2897499803"
"5/15/2026 12:00:00 AM","TEXU","COP","CONOCOPHILLIPS","4178.0000","118.9700","497056.6600","20825C104","9.7020836957"
"5/15/2026 12:00:00 AM","TEXU","","DIREXION DLY ET5 BULL 2X ETF  SWAP","1716.0000","899.2200","1543061.5200","SPXTE5UBC","30.1191256839"
"5/15/2026 12:00:00 AM","TEXU","","DIREXION DLY ET5 BULL 2X ETF  SWAP","1740.0000","899.2200","1564642.8000","SPXTE5UML","30.5403721970"
"5/15/2026 12:00:00 AM","TEXU","","DIREXION DLY ET5 BULL 2X ETF  SWAP","5111.0000","899.2200","4595913.4200","SPXTE5UCT","89.7079553442"
"5/15/2026 12:00:00 AM","TEXU","","DREYFUS GOVT CASH MAN INS","820290.1700","1.0000","820290.1700","X9USDDGCM","16.0113011745"
"5/15/2026 12:00:00 AM","TEXU","XOM","EXXON MOBIL CORP","3227.0000","152.7800","493021.0600","30231G102","9.6233125371"
"5/15/2026 12:00:00 AM","TEXU","","GOLDMAN FINL SQ TRSRY INST 506","1362246.1900","1.0000","1362246.1900","X9USDGSFC","26.5897786169"
"5/15/2026 12:00:00 AM","TEXU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","450000.2700","1.0000","450000.2700","X9USDGLDS","8.7835867295"
"5/15/2026 12:00:00 AM","TEXU","SLB","SLB LTD","10151.0000","55.7500","565918.2500","806857108","11.0461978850"
"5/15/2026 12:00:00 AM","TEXU","WMB","WILLIAMS COS INC","6572.0000","77.6900","510578.6800","969457100","9.9660209494"
