Direxion Daily Small Cap Bull 3X ETF
TNA
Shares Outstanding:24050000


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/8/2026 12:00:00 AM","TNA","","DREYFUS GOVT CASH MAN INS","223886560.1000","1.0000","223886560.1000","X9USDDGCM","14.5878546809"
"5/8/2026 12:00:00 AM","TNA","","DREYFUS TRSRY SECURITIES CASH MGMT","21050000.0000","1.0000","21050000.0000","X9USDDTP3","1.3715621916"
"5/8/2026 12:00:00 AM","TNA","","GOLDMAN FINL SQ TRSRY INST 506","237352690.7000","1.0000","237352690.7000","X9USDGSFC","15.4652720489"
"5/8/2026 12:00:00 AM","TNA","","GOLDMAN SACHS FIN GOV 465 INSTITUT","0.1200","1.0000","0.1200","X9USDGLDS","0.0000000078"
"5/8/2026 12:00:00 AM","TNA","IWM","ISHARES RUSSELL 2000 ETF","3790174.0000","282.2600","1069814513.2400","464287655","69.7062773562"
"5/8/2026 12:00:00 AM","TNA","","RUSS 2000 INDX SMALL SWAP","99895.0000","2839.6260","283664439.2700","RTYBP","18.4828228026"
"5/8/2026 12:00:00 AM","TNA","","RUSS 2000 INDX SMALL SWAP","116599.0000","2839.6260","331097551.9700","RTYU","21.5734386699"
"5/8/2026 12:00:00 AM","TNA","","RUSS 2000 INDX SMALL SWAP","222552.0000","2839.6260","631964445.5500","RTYJP","41.1771277876"
"5/8/2026 12:00:00 AM","TNA","","RUSS 2000 INDX SMALL SWAP","224828.0000","2839.6260","638427434.3300","RTYML","41.5982390017"
"5/8/2026 12:00:00 AM","TNA","","RUSS 2000 INDX SMALL SWAP","243257.0000","2839.6260","690758901.8800","RTYCT","45.0080186844"
"5/8/2026 12:00:00 AM","TNA","","RUSS 2000 INDX SMALL SWAP","282543.0000","2839.6260","802316448.9200","RTYBC","52.2768126845"
"5/8/2026 12:00:00 AM","TNA","","RUSSELL 2000 INDEX SWAP","55000.0000","2839.6260","156179430.0000","RTYSG","10.1762375909"
