Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
2.86%,NVDA,NVIDIA CORP,--,"$1,008,876,753.00","4,688,089"
2.36%,AAPL,APPLE INC,--,"$830,008,445.50","2,832,310"
1.69%,MSFT,MICROSOFT CORP,--,"$594,735,782.10","1,432,684"
1.60%,AMZN,AMAZON.COM INC,--,"$564,845,985.50","2,071,461"
1.28%,GOOGL,ALPHABET INC-CL A,--,"$450,222,247.20","1,123,309"
1.27%,MU,MICRON TECHNOLOGY INC,--,"$447,935,144.40","599,798"
1.18%,GOOG,ALPHABET INC-CL C,--,"$416,319,630.60","1,048,532"
1.17%,TSLA,TESLA INC,--,"$412,733,644.10","963,543"
1.12%,AMD,ADVANCED MICRO DEVICES,--,"$395,526,425.90","868,926"
1.12%,AVGO,BROADCOM INC,--,"$393,081,920.00","914,144"
0.99%,META,META PLATFORMS INC-CLASS A,--,"$347,131,247.20","569,413"
0.96%,WMT,WALMART INC,--,"$339,563,679.30","2,603,417"
0.94%,INTC,INTEL CORP,--,"$332,406,873.40","2,660,958"
0.68%,COST,COSTCO WHOLESALE CORP,--,"$238,446,683.50","236,369"
0.58%,CSCO,CISCO SYSTEMS INC,--,"$203,182,507.40","2,103,992"
0.56%,NFLX,NETFLIX INC,--,"$196,772,446.70","2,249,085"
0.56%,LRCX,LAM RESEARCH CORP,--,"$195,670,573.70","665,433"
0.52%,AMAT,APPLIED MATERIALS INC,--,"$183,786,596.20","422,071"
0.48%,PLTR,PALANTIR TECHNOLOGIES INC-A,--,"$168,130,882.40","1,220,108"
0.39%,TXN,TEXAS INSTRUMENTS INC,--,"$139,124,246.80","483,406"
0.37%,KLAC,KLA CORP,--,"$129,753,562.20","69,417"
0.35%,QCOM,QUALCOMM INC,--,"$124,463,057.20","568,091"
0.35%,LIN,LINDE PLC,--,"$121,777,478.30","246,933"
0.34%,SNDK,SANDISK CORP,--,"$121,045,416.20","77,477"
0.32%,TMUS,T-MOBILE US INC,--,"$113,558,379.70","586,471"
0.32%,PEP,PEPSICO INC,--,"$112,447,395.00","727,250"
0.31%,ADI,ANALOG DEVICES INC,--,"$108,178,990.90","259,721"
0.27%,AMGN,AMGEN INC,--,"$95,390,286.00","287,580"
0.26%,STX,SEAGATE TECHNOLOGY HOLDINGS,--,"$91,172,864.16","116,494"
0.26%,PANW,PALO ALTO NETWORKS INC,--,"$90,244,241.96","434,117"
0.25%,GILD,GILEAD SCIENCES INC,--,"$86,816,615.81","661,057"
0.25%,WDC,WESTERN DIGITAL CORP,--,"$86,377,440.00","179,953"
0.24%,ISRG,INTUITIVE SURGICAL INC,--,"$84,934,423.08","188,718"
0.22%,MRVL,MARVELL TECHNOLOGY INC,--,"$79,008,882.39","464,403"
0.22%,APP,APPLOVIN CORP-CLASS A,--,"$76,674,927.65","163,643"
0.21%,ASML,ASML HOLDING NV-NY REG SHS,--,"$73,801,271.14","46,357"
0.20%,HON,HONEYWELL INTERNATIONAL INC,--,"$72,202,072.32","338,786"
0.20%,SHOP,SHOPIFY INC - CLASS A,--,"$72,012,935.12","652,232"
0.20%,CRWD,CROWDSTRIKE HOLDINGS INC - A,--,"$70,910,121.66","134,358"
0.20%,BKNG,BOOKING HOLDINGS INC,--,"$69,344,470.02","417,914"
0.18%,SBUX,STARBUCKS CORP,--,"$63,774,880.05","607,785"
0.17%,CEG,CONSTELLATION ENERGY,--,"$58,546,543.86","192,822"
0.17%,VRTX,VERTEX PHARMACEUTICALS INC,--,"$58,286,600.74","135,607"
0.17%,INTU,INTUIT INC,--,"$58,261,929.41","147,011"
0.16%,ADBE,ADOBE INC,--,"$54,782,906.96","216,499"
0.15%,CDNS,CADENCE DESIGN SYS INC,--,"$53,206,639.20","146,696"
0.15%,SNPS,SYNOPSYS INC,--,"$52,698,520.32","102,034"
0.14%,MAR,MARRIOTT INTERNATIONAL -CL A,--,"$49,670,528.84","140,638"
0.14%,CMCSA,COMCAST CORP-CLASS A,--,"$48,532,694.40","1,910,736"
0.13%,ADP,AUTOMATIC DATA PROCESSING,--,"$45,738,333.31","214,739"
0.13%,MNST,MONSTER BEVERAGE CORP,--,"$44,998,164.04","521,476"
0.13%,FTNT,FORTINET INC,--,"$44,897,609.79","393,597"
0.13%,CSX,CSX CORP,--,"$44,395,821.45","990,315"
0.13%,MELI,MERCADOLIBRE INC,--,"$44,380,056.20","27,185"
0.12%,MDLZ,MONDELEZ INTERNATIONAL INC-A,--,"$42,049,482.80","683,176"
0.12%,ORLY,O'REILLY AUTOMOTIVE INC,--,"$41,552,097.44","446,989"
0.12%,MPWR,MONOLITHIC POWER SYSTEMS INC,--,"$41,360,903.08","25,837"
0.11%,REGN,REGENERON PHARMACEUTICALS,--,"$40,035,269.78","56,002"
0.11%,NXPI,NXP SEMICONDUCTORS NV,--,"$39,623,537.25","134,431"
0.11%,ROST,ROSS STORES INC,--,"$39,016,806.66","172,786"
0.11%,AEP,AMERICAN ELECTRIC POWER,--,"$37,483,346.64","287,979"
0.10%,DASH,DOORDASH INC - A,--,"$35,896,735.68","218,976"
0.10%,WBD,WARNER BROS DISCOVERY INC,--,"$35,800,950.91","1,320,581"
0.10%,CTAS,CINTAS CORP,--,"$35,437,211.89","212,237"
0.10%,DDOG,DATADOG INC - CLASS A,--,"$35,159,905.44","175,659"
0.10%,PDD,PDD HOLDINGS INC,--,"$35,084,581.62","355,179"
0.10%,BKR,BAKER HUGHES CO,--,"$33,620,387.47","526,223"
0.09%,PCAR,PACCAR INC,--,"$32,035,263.19","280,249"
0.09%,ABNB,AIRBNB INC-CLASS A,--,"$31,920,002.51","225,599"
0.09%,MSTR,STRATEGY INC,--,"$31,408,568.88","167,432"
0.08%,MCHP,MICROCHIP TECHNOLOGY INC,--,"$28,559,719.80","288,220"
0.08%,FANG,DIAMONDBACK ENERGY INC,--,"$28,433,882.10","150,683"
0.08%,ADSK,AUTODESK INC,--,"$27,753,195.00","113,510"
0.08%,FAST,FASTENAL CO,--,"$27,015,167.06","611,618"
0.08%,FER,FERROVIAL NV,--,"$26,944,170.82","382,621"
0.08%,EA,ELECTRONIC ARTS INC,--,"$26,623,443.00","132,825"
0.07%,XEL,XCEL ENERGY INC,--,"$26,305,717.72","331,348"
0.07%,EXC,EXELON CORP,--,"$23,948,074.90","545,390"
0.07%,IDXX,IDEXX LABORATORIES INC,--,"$23,534,141.87","42,017"
0.07%,CCEP,COCA-COLA EUROPACIFIC PARTNE,--,"$23,073,945.16","243,988"
0.06%,PYPL,PAYPAL HOLDINGS INC,--,"$22,256,480.35","490,555"
0.06%,ODFL,OLD DOMINION FREIGHT LINE,--,"$21,916,654.98","110,506"
0.06%,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,--,"$21,795,891.50","98,870"
0.06%,--,THOMSON REUTERS CORP COMMON STOCK CAD 0,--,"$21,699,724.14","233,481"
0.06%,KDP,KEURIG DR PEPPER INC,--,"$20,881,136.55","724,285"
0.06%,ALNY,ALNYLAM PHARMACEUTICALS INC,--,"$20,809,876.50","70,530"
0.05%,ROP,ROPER TECHNOLOGIES INC,--,"$18,978,386.28","55,279"
0.05%,PAYX,PAYCHEX INC,--,"$17,951,525.88","191,116"
