Direxion Daily TSLA Bull 2X ETF
TSLL
Shares Outstanding:402650001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","TSLL","","DREYFUS GOVT CASH MAN INS","1158101763.5400","1.0000","1158101763.5400","X9USDDGCM","23.0287004020"
"5/1/2026 12:00:00 AM","TSLL","","DREYFUS TRSRY SECURITIES CASH MGMT","1316603825.2000","1.0000","1316603825.2000","X9USDDTP3","26.1804929353"
"5/1/2026 12:00:00 AM","TSLL","","GOLDMAN FINL SQ TRSRY INST 506","1765661422.2500","1.0000","1765661422.2500","X9USDGSFC","35.1099438620"
"5/1/2026 12:00:00 AM","TSLL","","GOLDMAN SACHS FIN GOV 465 INSTITUT","117870000.0000","1.0000","117870000.0000","X9USDGLDS","2.3438293610"
"5/1/2026 12:00:00 AM","TSLL","","JP MORGAN 100 US TRSY CAPITAL 3163","1170000000.0000","1.0000","1170000000.0000","X9USDJPMN","23.2652952604"
"5/1/2026 12:00:00 AM","TSLL","TSLA","TESLA INC","1679200.0000","381.6300","640833096.0000","88160R101","12.7428813599"
"5/1/2026 12:00:00 AM","TSLL","","TESLA INC SWAP","2919189.0000","381.6300","1114050098.0700","TSLANM","22.1527388603"
"5/1/2026 12:00:00 AM","TSLL","","TESLA INC SWAP","3113543.0000","381.6300","1188221415.0900","TSLAGS","23.6276256896"
"5/1/2026 12:00:00 AM","TSLL","","TESLA INC SWAP","3528609.0000","381.6300","1346623052.6700","TSLABC","26.7774213033"
"5/1/2026 12:00:00 AM","TSLL","","TESLA INC SWAP","3535956.0000","381.6300","1349426888.2800","TSLABP","26.8331752036"
"5/1/2026 12:00:00 AM","TSLL","","TESLA INC SWAP","3637295.0000","381.6300","1388100890.8500","TSLAML","27.6022026298"
"5/1/2026 12:00:00 AM","TSLL","","TESLA INC SWAP","3942510.0000","381.6300","1504580091.3000","TSLACT","29.9183761257"
"5/1/2026 12:00:00 AM","TSLL","","TESLA INC SWAP","3998652.0000","381.6300","1526005562.7600","TSLAJP","30.3444187920"
