Direxion Daily Semiconductors Top 5 Bull 2X ETF
TSXU
Shares Outstanding:200001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/8/2026 12:00:00 AM","TSXU","ASML","ASML HOLDING NV-NY REG SHS","192.0000","1516.6000","291187.2000","N07059210","3.1166754810"
"5/8/2026 12:00:00 AM","TSXU","AVGO","BROADCOM INC","803.0000","412.5600","331285.6800","11135F101","3.5458631288"
"5/8/2026 12:00:00 AM","TSXU","","DREYFUS GOVT CASH MAN INS","4908001.8100","1.0000","4908001.8100","X9USDDGCM","52.5320099987"
"5/8/2026 12:00:00 AM","TSXU","","DREYFUS TRSRY SECURITIES CASH MGMT","1040084.0000","1.0000","1040084.0000","X9USDDTP3","11.1323722367"
"5/8/2026 12:00:00 AM","TSXU","","DX D SMICO TOP 5 BULL 2X ETF  SWAP","957.0000","2355.3700","2254089.0900","SEMIEW5BC","24.1262809587"
"5/8/2026 12:00:00 AM","TSXU","","DX D SMICO TOP 5 BULL 2X ETF  SWAP","957.0000","2355.3700","2254089.0900","SEMIEW5GS","24.1262809587"
"5/8/2026 12:00:00 AM","TSXU","","DX D SMICO TOP 5 BULL 2X ETF  SWAP","2530.0000","2355.3700","5959086.1000","SEMIEW5BP","63.7821220747"
"5/8/2026 12:00:00 AM","TSXU","","DX D SMICO TOP 5 BULL 2X ETF  SWAP","2795.0000","2355.3700","6583259.1500","SEMIEW5ML","70.4628581813"
"5/8/2026 12:00:00 AM","TSXU","","GOLDMAN FINL SQ TRSRY INST 506","1899211.9300","1.0000","1899211.9300","X9USDGSFC","20.3279102084"
"5/8/2026 12:00:00 AM","TSXU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","30000.0000","1.0000","30000.0000","X9USDGLDS","0.3211001872"
"5/8/2026 12:00:00 AM","TSXU","MU","MICRON TECHNOLOGY INC","607.0000","646.6300","392504.4100","595112103","4.2011079842"
"5/8/2026 12:00:00 AM","TSXU","NVDA","NVIDIA CORP","1435.0000","211.5000","303502.5000","67066G104","3.2484903188"
"5/8/2026 12:00:00 AM","TSXU","TSM","TAIWAN SEMICONDUCTOR-SP ADR","765.0000","414.1500","316824.7500","874039100","3.3910828845"
