Direxion Daily Technology Top 5 Bull 2X ETF
TTXU
Shares Outstanding:175001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/8/2026 12:00:00 AM","TTXU","AAPL","APPLE INC","692.0000","287.4400","198908.4800","037833100","4.5211550395"
"5/8/2026 12:00:00 AM","TTXU","AVGO","BROADCOM INC","529.0000","412.5600","218244.2400","11135F101","4.9606534901"
"5/8/2026 12:00:00 AM","TTXU","","DIREXION TECH T5 BULL 2X ETF  SWAP","152.0000","12228.0100","1858657.5200","SPXTT5UCT","42.2469610814"
"5/8/2026 12:00:00 AM","TTXU","","DIREXION TECH T5 BULL 2X ETF  SWAP","188.0000","12228.0100","2298865.8800","SPXTT5UBC","52.2528202849"
"5/8/2026 12:00:00 AM","TTXU","","DIREXION TECH T5 BULL 2X ETF  SWAP","291.0000","12228.0100","3558350.9100","SPXTT5UML","80.8806952283"
"5/8/2026 12:00:00 AM","TTXU","","DREYFUS GOVT CASH MAN INS","1506077.7100","1.0000","1506077.7100","X9USDDGCM","34.2328835277"
"5/8/2026 12:00:00 AM","TTXU","","GOLDMAN FINL SQ TRSRY INST 506","1337799.3700","1.0000","1337799.3700","X9USDGSFC","30.4079462252"
"5/8/2026 12:00:00 AM","TTXU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","90000.0500","1.0000","90000.0500","X9USDGLDS","2.0456854309"
"5/8/2026 12:00:00 AM","TTXU","MU","MICRON TECHNOLOGY INC","431.0000","646.6300","278697.5300","595112103","6.3347462223"
"5/8/2026 12:00:00 AM","TTXU","MSFT","MICROSOFT CORP","446.0000","420.7700","187663.4200","594918104","4.2655567881"
"5/8/2026 12:00:00 AM","TTXU","NVDA","NVIDIA CORP","971.0000","211.5000","205366.5000","67066G104","4.6679447072"
