Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
20.05%,AMZN,AMAZON.COM INC,--,"$2,748,055.44","10,244"
13.19%,TSLA,TESLA INC,--,"$1,807,933.32","4,626"
3.87%,HD,HOME DEPOT INC,--,"$530,515.44","1,638"
2.87%,TJX,TJX COMPANIES INC,--,"$393,172.81","2,507"
2.74%,MCD,MCDONALD'S CORP,--,"$375,498.40","1,310"
2.26%,BKNG,BOOKING HOLDINGS INC,--,"$309,574.75","1,825"
2.16%,LOW,LOWE'S COS INC,--,"$295,395.78","1,266"
1.99%,SBUX,STARBUCKS CORP,--,"$272,163.00","2,570"
1.34%,ORLY,O'REILLY AUTOMOTIVE INC,--,"$183,673.00","1,900"
1.28%,MAR,MARRIOTT INTERNATIONAL -CL A,--,"$176,065.12",496
1.22%,ROST,ROSS STORES INC,--,"$167,053.20",730
1.20%,HLT,HILTON WORLDWIDE HOLDINGS IN,--,"$164,721.37",517
1.13%,GM,GENERAL MOTORS CO,--,"$154,570.80","2,040"
1.10%,RCL,ROYAL CARIBBEAN CRUISES LTD,--,"$150,832.40",568
1.08%,DASH,DOORDASH INC - A,--,"$148,408.96",844
0.99%,ABNB,AIRBNB INC-CLASS A,--,"$135,426.96",956
0.97%,AZO,AUTOZONE INC,--,"$132,980.96",37
0.89%,CVNA,CARVANA CO,--,"$122,049.40",319
0.87%,NKE,NIKE INC -CL B,--,"$119,436.00","2,690"
0.77%,EBAY,EBAY INC,--,"$106,151.40","1,020"
0.77%,F,FORD MOTOR CO,--,"$105,054.84","8,843"
0.72%,YUM,YUM! BRANDS INC,--,"$99,291.72",627
0.71%,CMG,CHIPOTLE MEXICAN GRILL INC,--,"$96,928.22","2,939"
0.67%,DHI,DR HORTON INC,--,"$91,187.84",608
0.65%,GRMN,GARMIN LTD,--,"$89,452.98",369
0.50%,CCL,CARNIVAL CORP,--,"$69,182.70","2,595"
0.49%,EXPE,EXPEDIA GROUP INC,--,"$66,485.76",264
0.48%,TPR,TAPESTRY INC,--,"$65,232.18",457
0.39%,ULTA,ULTA BEAUTY INC,--,"$53,195.00",100
0.38%,PHM,PULTEGROUP INC,--,"$51,737.14",434
0.37%,DRI,DARDEN RESTAURANTS INC,--,"$50,637.60",260
0.35%,WSM,WILLIAMS-SONOMA INC,--,"$48,417.31",269
0.31%,NVR,NVR INC,--,"$43,078.98",07
0.31%,LEN,LENNAR CORP-A,--,"$43,075.15",487
0.29%,TSCO,TRACTOR SUPPLY COMPANY,--,"$40,359.19","1,193"
0.27%,LVS,LAS VEGAS SANDS CORP,--,"$36,684.78",682
0.24%,GPC,GENUINE PARTS CO,--,"$32,966.86",314
0.24%,DECK,DECKERS OUTDOOR CORP,--,"$32,281.60",320
0.23%,LULU,LULULEMON ATHLETICA INC,--,"$32,192.78",241
0.23%,RL,RALPH LAUREN CORP,--,"$31,512.27",87
0.21%,APTV,APTIV PLC,--,"$29,035.20",480
0.21%,HAS,HASBRO INC,--,"$28,676.27",301
0.19%,BBY,BEST BUY CO INC,--,"$26,422.00",440
0.17%,DPZ,DOMINO'S PIZZA INC,--,"$23,643.90",70
0.15%,WYNN,WYNN RESORTS LTD,--,"$20,136.20",190
0.14%,NCLH,NORWEGIAN CRUISE LINE HOLDIN,--,"$19,317.87","1,027"
0.12%,MGM,MGM RESORTS INTERNATIONAL,--,"$16,670.50",433
0.11%,POOL,POOL CORP,--,"$15,398.66",74
39.76%,--,CONSUMER DISCRETIONARY SELECT SECTOR INDEX SWAP UBS AG,"5,449,518",--,"2,273"
35.21%,--,CONSUMER DISCRETIONARY SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"4,826,168",--,"2,013"
27.27%,--,CONSUMER DISCRETIONARY SELECT SECTOR INDEX SWAP BNP PARIBAS,"3,737,703",--,"1,559"
26.19%,--,CONSUMER DISCRETIONARY SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"3,589,058",--,"1,497"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$3,854,598.79","3,854,599"
