Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
6.37%,GS,GOLDMAN SACHS GROUP INC,--,"$50,067,030.24","53,463"
6.10%,CAT,CATERPILLAR INC,--,"$47,980,369.35","53,463"
2.82%,MSFT,MICROSOFT CORP,--,"$22,193,560.56","53,463"
2.58%,UNH,UNITEDHEALTH GROUP INC,--,"$20,314,870.74","53,463"
2.26%,AMGN,AMGEN INC,--,"$17,733,677.10","53,463"
2.17%,V,VISA INC-CLASS A SHARES,--,"$17,043,788.56","53,464"
2.16%,HD,HOME DEPOT INC,--,"$16,971,829.35","53,463"
2.15%,SHW,SHERWIN-WILLIAMS CO/THE,--,"$16,938,147.66","53,463"
2.15%,AXP,AMERICAN EXPRESS CO,--,"$16,895,911.89","53,463"
2.05%,JPM,JPMORGAN CHASE & CO,--,"$16,148,755.50","53,455"
2.03%,TRV,TRAVELERS COS INC/THE,--,"$15,929,641.92","53,448"
1.99%,AAPL,APPLE INC,--,"$15,662,350.30","53,446"
1.87%,MCD,MCDONALD'S CORP,--,"$14,742,698.00","53,464"
1.85%,AMZN,AMAZON.COM INC,--,"$14,572,564.56","53,442"
1.61%,BA,BOEING CO/THE,--,"$12,684,993.12","53,442"
1.56%,IBM,INTL BUSINESS MACHINES CORP,--,"$12,280,901.76","53,451"
1.50%,JNJ,JOHNSON & JOHNSON,--,"$11,828,004.76","53,443"
1.46%,NVDA,NVIDIA CORP,--,"$11,499,212.00","53,435"
1.45%,HON,HONEYWELL INTERNATIONAL INC,--,"$11,391,264.00","53,450"
1.24%,CRM,SALESFORCE INC,--,"$9,721,188.12","53,466"
1.23%,CVX,CHEVRON CORP,--,"$9,706,317.66","53,443"
1.00%,PG,PROCTER & GAMBLE CO/THE,--,"$7,824,684.80","53,440"
0.97%,MMM,3M CO,--,"$7,656,127.99","53,431"
0.89%,WMT,WALMART INC,--,"$6,968,483.61","53,427"
0.76%,MRK,MERCK & CO. INC.,--,"$5,950,810.64","53,428"
0.73%,DIS,WALT DISNEY CO/THE,--,"$5,772,048.70","53,435"
0.66%,CSCO,CISCO SYSTEMS INC,--,"$5,159,735.10","53,430"
0.53%,KO,COCA-COLA CO/THE,--,"$4,190,372.70","53,435"
0.32%,VZ,VERIZON COMMUNICATIONS INC,--,"$2,523,578.46","53,443"
0.30%,NKE,NIKE INC -CL B,--,"$2,358,356.06","53,429"
56.78%,--,DJ INDUSTRIAL AVERAGE SWAP BARCLAYS CAPITAL,"446,482,440",--,"9,000"
39.10%,--,DJ INDUSTRIAL AVERAGE SWAP BANK OF AMERICA NA,"307,427,965",--,"6,197"
38.74%,--,DJ INDUSTRIAL AVERAGE INDEX SWAP BNP PARIBAS,"304,649,852",--,"6,141"
36.70%,--,DJ INDUSTRIAL AVERAGE SWAP SOCIETE GENERALE,"288,576,484",--,"5,817"
34.30%,--,DJ INDUSTRIAL AVERAGE SWAP UBS AG,"269,725,003",--,"5,437"
31.45%,--,DJ INDUSTRIAL AVERAGE SWAP CITIBANK NA,"247,301,663",--,"4,985"
8.12%,--,DJIA MINI E-CBOT EQUITY INDEX 18/JUN/2026 DMM6 INDEX,"63,852,935",--,257
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,"$140,168,000.00","1,400,000"
--,--,TREASURY BILL,--,"$50,379,473.17","50,500,000"
--,--,TREASURY BILL,--,"$24,887,968.75","25,000,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$140,204,529.87","140,204,530"
