Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
6.77%,WMT,WALMART INC,--,"$860,400.80","6,538"
5.27%,COST,COSTCO WHOLESALE CORP,--,"$669,745.40",662
4.02%,PG,PROCTER & GAMBLE CO/THE,--,"$510,403.16","3,466"
3.57%,KO,COCA-COLA CO/THE,--,"$453,799.50","5,775"
3.04%,PM,PHILIP MORRIS INTERNATIONAL,--,"$386,334.36","2,322"
2.79%,MO,ALTRIA GROUP INC,--,"$354,858.00","4,760"
2.76%,MDLZ,MONDELEZ INTERNATIONAL INC-A,--,"$350,054.48","5,704"
2.53%,PEP,PEPSICO INC,--,"$320,801.58","2,038"
2.42%,CL,COLGATE-PALMOLIVE CO,--,"$307,504.24","3,524"
2.13%,TGT,TARGET CORP,--,"$270,282.33","2,097"
2.01%,MNST,MONSTER BEVERAGE CORP,--,"$254,727.36","3,303"
1.44%,KDP,KEURIG DR PEPPER INC,--,"$183,034.28","6,292"
1.44%,KR,KROGER CO,--,"$182,707.92","2,696"
1.31%,ADM,ARCHER-DANIELS-MIDLAND CO,--,"$166,816.44","2,226"
1.29%,SYY,SYSCO CORP,--,"$164,242.90","2,218"
1.22%,KVUE,KENVUE INC,--,"$154,656.39","8,873"
1.18%,KMB,KIMBERLY-CLARK CORP,--,"$150,118.79","1,537"
0.98%,HSY,HERSHEY CO/THE,--,"$125,085.24",686
0.92%,DG,DOLLAR GENERAL CORP,--,"$116,604.17","1,019"
0.83%,CHD,CHURCH & DWIGHT CO INC,--,"$105,237.92","1,096"
0.78%,STZ,CONSTELLATION BRANDS INC-A,--,"$99,333.00",650
0.71%,EL,ESTEE LAUDER COMPANIES-CL A,--,"$90,798.50","1,145"
0.70%,KHC,KRAFT HEINZ CO/THE,--,"$88,768.03","3,947"
0.68%,GIS,GENERAL MILLS INC,--,"$85,793.12","2,471"
0.65%,TSN,TYSON FOODS INC-CL A,--,"$83,166.08","1,306"
0.64%,DLTR,DOLLAR TREE INC,--,"$81,037.52",856
0.62%,BG,BUNGE GLOBAL SA,--,"$78,130.47",627
0.57%,CASY,CASEY'S GENERAL STORES INC,--,"$72,725.04",87
0.46%,MKC,MCCORMICK & CO-NON VTG SHRS,--,"$58,981.76","1,174"
0.38%,CLX,CLOROX COMPANY,--,"$48,781.60",560
0.38%,SJM,JM SMUCKER CO/THE,--,"$47,903.18",494
0.26%,TAP,MOLSON COORS BEVERAGE CO - B,--,"$33,037.76",784
0.25%,CAG,CONAGRA BRANDS INC,--,"$31,142.90","2,215"
0.23%,HRL,HORMEL FOODS CORP,--,"$28,795.50","1,350"
0.16%,BF/B,BROWN-FORMAN CORP-CLASS B,--,"$20,210.05",791
0.15%,CPB,THE CAMPBELL'S COMPANY,--,"$18,885.03",911
53.61%,--,CONSUMER STAPLES SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"6,808,534",--,"8,014"
46.72%,--,CONSUMER STAPLES SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"5,934,316",--,"6,985"
25.91%,--,CONSUMER STAPLES SELECT SECTOR INDEX SWAP UBS AG,"3,291,273",--,"3,874"
17.87%,--,CONSUMER STAPLES SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"2,270,078",--,"2,672"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$5,645,924.34","5,645,924"
