Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.84%,FLEX,FLEX LTD,--,"$277,515.84","1,952"
0.49%,TWLO,TWILIO INC - A,--,"$162,368.50",805
0.45%,FTI,TECHNIPFMC PLC,--,"$150,612.05","2,147"
0.44%,NVT,NVENT ELECTRIC PLC,--,"$145,647.15",857
0.43%,CW,CURTISS-WRIGHT CORP,--,"$143,652.40",197
0.42%,STRL,STERLING INFRASTRUCTURE INC,--,"$138,547.20",164
0.41%,MTZ,MASTEC INC,--,"$135,058.54",326
0.39%,P,EVERPURE INC-A,--,"$130,136.40","1,665"
0.39%,UTHR,UNITED THERAPEUTICS CORP,--,"$129,936.20",230
0.38%,XPO,XPO INC,--,"$126,994.50",621
0.37%,MTSI,MACOM TECHNOLOGY SOLUTIONS H,--,"$123,078.96",342
0.36%,ENTG,ENTEGRIS INC,--,"$120,331.77",807
0.36%,FN,FABRINET,--,"$118,043.20",190
0.35%,WWD,WOODWARD INC,--,"$117,267.81",317
0.35%,ILMN,ILLUMINA INC,--,"$115,064.68",811
0.34%,ATI,ATI INC,--,"$114,357.58",722
0.34%,CRS,CARPENTER TECHNOLOGY,--,"$112,524.55",263
0.34%,MKSI,MKS INC,--,"$111,502.76",356
0.31%,RGLD,ROYAL GOLD INC,--,"$102,970.21",431
0.31%,RS,RELIANCE INC,--,"$102,293.33",277
0.31%,RBA,RB GLOBAL INC,--,"$101,937.36",987
0.31%,RBC,RBC BEARINGS INC,--,"$101,200.33",167
0.30%,BURL,BURLINGTON STORES INC,--,"$100,183.79",329
0.30%,BWXT,BWX TECHNOLOGIES INC,--,"$99,995.71",487
0.30%,NXT,NEXTPOWER INC-CL A,--,"$99,217.08",788
0.30%,USFD,US FOODS HOLDING CORP,--,"$98,832.40","1,171"
0.29%,SITM,SITIME CORP,--,"$97,470.36",117
0.29%,SNX,TD SYNNEX CORP,--,"$94,910.79",397
0.28%,ITT,ITT INC,--,"$94,004.40",456
0.28%,TLN,TALEN ENERGY CORP,--,"$93,887.91",243
0.28%,LSCC,LATTICE SEMICONDUCTOR CORP,--,"$92,339.94",726
0.28%,WCC,WESCO INTERNATIONAL INC,--,"$92,025.29",259
0.27%,EWBC,EAST WEST BANCORP INC,--,"$89,782.70",730
0.27%,APG,API GROUP CORP,--,"$89,753.52","2,038"
0.27%,THC,TENET HEALTHCARE CORP,--,"$88,717.08",466
0.26%,AA,ALCOA CORP,--,"$86,809.32","1,374"
0.26%,TTMI,TTM TECHNOLOGIES,--,"$86,520.50",550
0.26%,WPC,WP CAREY INC,--,"$86,326.50","1,165"
0.26%,NLY,ANNALY CAPITAL MANAGEMENT IN,--,"$86,234.54","3,814"
0.26%,OVV,OVINTIV INC,--,"$85,241.42","1,474"
0.25%,MLI,MUELLER INDUSTRIES INC,--,"$83,089.70",590
0.25%,JLL,JONES LANG LASALLE INC,--,"$82,797.37",251
0.24%,NBIX,NEUROCRINE BIOSCIENCES INC,--,"$81,149.25",533
0.24%,DKS,DICK'S SPORTING GOODS INC,--,"$79,485.12",352
0.24%,LECO,LINCOLN ELECTRIC HOLDINGS,--,"$79,164.12",292
0.24%,WSO,WATSCO INC,--,"$78,231.60",186
0.24%,PNFP,PINNACLE FINANCIAL PARTNERS,--,"$78,214.11",799
0.24%,CSL,CARLISLE COS INC,--,"$78,204.63",217
0.23%,PFGC,PERFORMANCE FOOD GROUP CO,--,"$77,848.32",836
0.23%,PR,PERMIAN RESOURCES CORP-CL A,--,"$77,519.32","3,931"
0.23%,CLH,CLEAN HARBORS INC,--,"$77,445.90",266
0.23%,SGI,SOMNIGROUP INTERNATIONAL INC,--,"$77,280.65","1,115"
0.23%,DTM,DT MIDSTREAM INC,--,"$77,254.80",541
0.23%,RRX,REGAL REXNORD CORP,--,"$75,454.72",352
0.23%,OKTA,OKTA INC,--,"$75,426.10",899
