Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
10.00%,NEE,NEXTERA ENERGY INC,--,"$2,101,453.20","22,572"
5.21%,SO,SOUTHERN CO/THE,--,"$1,094,898.60","11,927"
4.98%,DUK,DUKE ENERGY CORP,--,"$1,045,883.91","8,423"
4.88%,CEG,CONSTELLATION ENERGY,--,"$1,024,751.25","3,375"
3.63%,AEP,AMERICAN ELECTRIC POWER,--,"$762,347.12","5,857"
3.08%,SRE,SEMPRA,--,"$646,934.04","7,068"
2.72%,D,DOMINION ENERGY INC,--,"$572,420.61","9,249"
2.60%,ETR,ENTERGY CORP,--,"$546,567.82","4,898"
2.43%,VST,VISTRA CORP,--,"$509,634.00","3,450"
2.42%,XEL,XCEL ENERGY INC,--,"$509,286.85","6,415"
2.32%,EXC,EXELON CORP,--,"$486,698.44","11,084"
1.98%,PEG,PUBLIC SERVICE ENTERPRISE GP,--,"$416,887.65","5,405"
1.98%,ED,CONSOLIDATED EDISON INC,--,"$415,778.41","3,911"
1.87%,WEC,WEC ENERGY GROUP INC,--,"$393,824.82","3,527"
1.82%,PCG,P G & E CORP,--,"$382,707.05","23,815"
1.55%,AEE,AMEREN CORPORATION,--,"$326,446.51","2,993"
1.54%,ATO,ATMOS ENERGY CORP,--,"$324,480.78","1,794"
1.51%,NRG,NRG ENERGY INC,--,"$317,791.11","2,301"
1.51%,DTE,DTE ENERGY COMPANY,--,"$316,490.60","2,251"
1.40%,CNP,CENTERPOINT ENERGY INC,--,"$295,043.84","7,072"
1.37%,PPL,PPL CORP,--,"$287,854.56","8,016"
1.37%,EIX,EDISON INTERNATIONAL,--,"$287,521.50","4,170"
1.29%,ES,EVERSOURCE ENERGY,--,"$270,163.62","4,062"
1.26%,AWK,AMERICAN WATER WORKS CO INC,--,"$264,480.75","2,115"
1.19%,FE,FIRSTENERGY CORP,--,"$249,710.89","5,633"
1.15%,NI,NISOURCE INC,--,"$242,243.20","5,185"
1.15%,CMS,CMS ENERGY CORP,--,"$240,992.59","3,319"
0.97%,EVRG,EVERGY INC,--,"$203,959.32","2,494"
0.95%,LNT,ALLIANT ENERGY CORP,--,"$199,636.32","2,782"
0.61%,PNW,PINNACLE WEST CAPITAL,--,"$128,925.75","1,299"
0.53%,AES,AES CORP,--,"$110,512.96","7,712"
42.01%,--,UTILITIES SELECT SECTOR INDEX SWAP CITIBANK NA,"8,826,243",--,"9,752"
34.77%,--,UTILITIES SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"7,306,630",--,"8,073"
21.02%,--,UTILITIES SELECT SECTOR INDEX SWAP UBS AG,"4,416,742",--,"4,880"
15.74%,--,UTILITIES SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"3,307,126",--,"3,654"
15.58%,--,UTILITIES SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"3,274,543",--,"3,618"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$6,035,955.10","6,035,955"
