Direxion Daily Uranium Industry Bull 2X ETF
URAA
Shares Outstanding:1225001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/15/2026 12:00:00 AM","URAA","","DAILY URANIUM INDUSTRY SWAP","1027.0000","6473.7800","6648572.0600","SUSUNEPBP","14.6548000470"
"5/15/2026 12:00:00 AM","URAA","","DAILY URANIUM INDUSTRY SWAP","1779.0000","6473.7800","11516854.6200","SUSUNEPU","25.3854812888"
"5/15/2026 12:00:00 AM","URAA","","DAILY URANIUM INDUSTRY SWAP","2029.0000","6473.7800","13135299.6200","SUSUNEPBC","28.9528620208"
"5/15/2026 12:00:00 AM","URAA","","DAILY URANIUM INDUSTRY SWAP","2501.0000","6473.7800","16190923.7800","SUSUNEPGS","35.6880768428"
"5/15/2026 12:00:00 AM","URAA","","DAILY URANIUM INDUSTRY SWAP","2559.0000","6473.7800","16566403.0200","SUSUNEPML","36.5157091726"
"5/15/2026 12:00:00 AM","URAA","","DREYFUS GOVT CASH MAN INS","7625432.6600","1.0000","7625432.6600","X9USDDGCM","16.8079987546"
"5/15/2026 12:00:00 AM","URAA","","DREYFUS TRSRY SECURITIES CASH MGMT","5943226.7500","1.0000","5943226.7500","X9USDDTP3","13.1000760568"
"5/15/2026 12:00:00 AM","URAA","URA","GLOBAL X URANIUM ETF","265076.0000","52.5000","13916490.0000","37954Y871","30.6747639141"
"5/15/2026 12:00:00 AM","URAA","","GOLDMAN FINL SQ TRSRY INST 506","3472233.2100","1.0000","3472233.2100","X9USDGSFC","7.6535055874"
"5/15/2026 12:00:00 AM","URAA","","GOLDMAN SACHS FIN GOV 465 INSTITUT","2970000.7600","1.0000","2970000.7600","X9USDGLDS","6.5464834982"
"5/15/2026 12:00:00 AM","URAA","URNM","SPROTT URANIUM MINERS ETF","66202.0000","62.5000","4137625.0000","85208P303","9.1201639235"
"5/15/2026 12:00:00 AM","URAA","NLR","VANECK URANI & NUCLR ETF-USD","64072.0000","134.6000","8624091.2000","92189F601","19.0092445389"
