Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
7.12%,WELL,WELLTOWER INC,--,"$4,063,375.03","18,733"
6.18%,PLD,PROLOGIS INC,--,"$3,528,745.14","24,954"
5.01%,EQIX,EQUINIX INC,--,"$2,862,309.14","2,638"
4.00%,AMT,AMERICAN TOWER CORP,--,"$2,282,837.70","12,570"
3.29%,DLR,DIGITAL REALTY TRUST INC,--,"$1,876,344.30","9,349"
3.16%,SPG,SIMON PROPERTY GROUP INC,--,"$1,802,930.64","8,906"
3.02%,VTR,VENTAS INC,--,"$1,722,815.46","19,573"
2.97%,CBRE,CBRE GROUP INC - A,--,"$1,697,891.13","11,973"
2.97%,PSA,PUBLIC STORAGE,--,"$1,697,726.50","5,630"
2.92%,O,REALTY INCOME CORP,--,"$1,665,121.95","26,095"
2.81%,CCI,CROWN CASTLE INC,--,"$1,601,949.22","17,947"
2.72%,IRM,IRON MOUNTAIN INC,--,"$1,550,700.48","12,192"
2.25%,VICI,VICI PROPERTIES INC,--,"$1,285,757.04","44,988"
2.18%,EXR,EXTRA SPACE STORAGE INC,--,"$1,242,248.94","8,747"
1.88%,AVB,AVALONBAY COMMUNITIES INC,--,"$1,070,797.65","5,837"
1.68%,SBAC,SBA COMMUNICATIONS CORP,--,"$959,566.20","4,390"
1.62%,EQR,EQUITY RESIDENTIAL,--,"$923,524.07","14,171"
1.25%,WY,WEYERHAEUSER CO,--,"$712,383.05","29,695"
1.23%,ESS,ESSEX PROPERTY TRUST INC,--,"$699,720.95","2,657"
1.16%,INVH,INVITATION HOMES INC,--,"$663,065.73","23,241"
1.14%,KIM,KIMCO REALTY CORP,--,"$649,496.40","27,780"
1.08%,MAA,MID-AMERICA APARTMENT COMM,--,"$619,144.96","4,816"
1.06%,CSGP,COSTAR GROUP INC,--,"$606,488.96","17,468"
0.98%,HST,HOST HOTELS & RESORTS INC,--,"$556,881.15","26,355"
0.93%,REG,REGENCY CENTERS CORP,--,"$533,482.95","6,783"
0.82%,DOC,HEALTHPEAK PROPERTIES INC,--,"$470,334.48","28,644"
0.79%,UDR,UDR INC,--,"$451,090.44","12,396"
0.78%,CPT,CAMDEN PROPERTY TRUST,--,"$444,957.00","4,260"
0.65%,FRT,FEDERAL REALTY INVS TRUST,--,"$373,060.20","3,235"
0.63%,BXP,BXP INC,--,"$360,850.86","6,078"
0.47%,ARE,ALEXANDRIA REAL ESTATE EQUIT,--,"$266,013.53","6,427"
34.36%,--,REAL ESTATE SELECT SECTOR INDEX SWAP UBS AG,"19,616,044",--,"90,197"
28.77%,--,REAL ESTATE SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"16,426,264",--,"75,530"
23.96%,--,REAL ESTATE SELECT SECTOR INDEX SWAP BNP PARIBAS,"13,677,752",--,"62,892"
18.32%,--,REAL ESTATE SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"10,458,831",--,"48,091"
16.77%,--,REAL ESTATE SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"9,574,122",--,"44,023"
8.91%,--,REAL ESTATE SELECT SECTOR INDEX SWAP CITIBANK NA,"5,086,205",--,"23,387"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$17,850,092.08","17,850,092"
