Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
12.57%,NVDA,NVIDIA CORP,--,"$361,367,713.60","1,679,218"
4.90%,AVGO,BROADCOM INC,--,"$140,867,570.00","327,599"
2.02%,MU,MICRON TECHNOLOGY INC,--,"$58,085,388.18","77,778"
1.78%,AMD,ADVANCED MICRO DEVICES,--,"$51,252,118.05","112,595"
1.41%,INTC,INTEL CORP,--,"$40,552,904.52","324,631"
0.88%,LRCX,LAM RESEARCH CORP,--,"$25,375,632.85","86,297"
0.83%,AMAT,APPLIED MATERIALS INC,--,"$23,883,448.56","54,849"
0.63%,TXN,TEXAS INSTRUMENTS INC,--,"$18,047,362.40","62,708"
0.59%,KLAC,KLA CORP,--,"$16,938,599.78","9,062"
0.56%,QCOM,QUALCOMM INC,--,"$16,156,792.05","73,745"
0.49%,ADI,ANALOG DEVICES INC,--,"$14,062,131.72","33,761"
0.36%,MRVL,MARVELL TECHNOLOGY INC,--,"$10,250,502.63","60,251"
0.19%,MPWR,MONOLITHIC POWER SYSTEMS INC,--,"$5,398,032.48","3,372"
0.18%,NXPI,NXP SEMICONDUCTORS NV,--,"$5,127,471.00","17,396"
0.14%,TER,TERADYNE INC,--,"$3,895,229.79","10,827"
0.13%,MCHP,MICROCHIP TECHNOLOGY INC,--,"$3,705,074.19","37,391"
0.10%,ON,ON SEMICONDUCTOR,--,"$2,809,207.20","27,221"
0.07%,Q,QNITY ELECTRONICS INC,--,"$2,133,485.73","14,481"
0.07%,CRDO,CREDO TECHNOLOGY GROUP HOLDI,--,"$2,071,104.44","10,987"
0.06%,ALAB,ASTERA LABS INC,--,"$1,833,472.83","9,177"
0.06%,MTSI,MACOM TECHNOLOGY SOLUTIONS H,--,"$1,605,424.68","4,461"
0.05%,ENTG,ENTEGRIS INC,--,"$1,565,505.89","10,499"
0.05%,MKSI,MKS INC,--,"$1,453,920.82","4,642"
0.04%,LSCC,LATTICE SEMICONDUCTOR CORP,--,"$1,201,945.50","9,450"
0.03%,ONTO,ONTO INNOVATION INC,--,"$978,126.12","3,436"
0.03%,RMBS,RAMBUS INC,--,"$961,453.56","7,439"
0.02%,SWKS,SKYWORKS SOLUTIONS INC,--,"$693,577.08","10,386"
0.02%,CRUS,CIRRUS LOGIC INC,--,"$605,651.76","3,528"
0.02%,AMKR,AMKOR TECHNOLOGY INC,--,"$601,694.94","7,854"
0.02%,GFS,GLOBALFOUNDRIES INC,--,"$540,927.76","7,298"
0.02%,QRVO,QORVO INC,--,"$527,699.37","5,829"
0.02%,SLAB,SILICON LABORATORIES INC,--,"$493,828.95","2,271"
0.01%,ALGM,ALLEGRO MICROSYSTEMS INC,--,"$419,158.85","8,563"
0.01%,ENPH,ENPHASE ENERGY INC,--,"$329,763.15","9,047"
0.01%,OLED,UNIVERSAL DISPLAY CORP,--,"$279,929.25","3,051"
29.46%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP CITIBANK NA,"846,921,708",--,"21,504"
26.43%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP UBS AG,"759,685,306",--,"19,289"
26.18%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP BNP PARIBAS,"752,438,580",--,"19,105"
26.12%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP BANK OF AMERICA NA,"750,902,589",--,"19,066"
25.60%,--,DJUSSC SWAP GOLDMAN SACHS INTERNATIONAL,"735,975,909",--,"18,687"
20.14%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP JPMORGAN CHASE BANK NA,"578,832,233",--,"14,697"
8.02%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP MORGAN STANLEY & CO. INTERNATIONAL PLC,"230,438,007",--,"5,851"
6.81%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP SOCIETE GENERALE,"195,740,369",--,"4,970"
2.47%,--,DJ U.S. SEMICONDUCTORS INDEX SWAP BARCLAYS CAPITAL,"70,931,268",--,"1,801"
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,"$750,900,000.00","7,500,000"
--,--,TREASURY BILL,--,"$74,403,333.00","75,000,000"
--,--,TREASURY BILL,--,"$49,890,764.00","50,000,000"
--,--,TREASURY BILL,--,"$19,914,366.20","20,000,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$1,163,379,409.12","1,163,379,409"
