Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
5.04%,CAT,CATERPILLAR INC,--,"$1,583,999.25","1,765"
3.76%,GE,GENERAL ELECTRIC,--,"$1,181,765.55","3,977"
3.38%,GEV,GE VERNOVA INC,--,"$1,063,033.30","1,022"
2.85%,RTX,RTX CORP,--,"$896,298.10","5,090"
2.25%,BA,BOEING CO/THE,--,"$706,858.08","2,978"
1.90%,UNP,UNION PACIFIC CORP,--,"$595,462.50","2,250"
1.88%,ETN,EATON CORP PLC,--,"$591,424.23","1,473"
1.87%,UBER,UBER TECHNOLOGIES INC,--,"$588,811.80","7,804"
1.75%,DE,DEERE & CO,--,"$549,547.04",956
1.63%,HON,HONEYWELL INTERNATIONAL INC,--,"$512,979.84","2,407"
1.57%,VRT,VERTIV HOLDINGS CO-A,--,"$493,296.47","1,451"
1.34%,PH,PARKER HANNIFIN CORP,--,"$420,959.57",479
1.34%,PWR,QUANTA SERVICES INC,--,"$420,925.00",565
1.31%,HWM,HOWMET AEROSPACE INC,--,"$411,251.20","1,520"
1.24%,TT,TRANE TECHNOLOGIES PLC,--,"$391,116.63",839
1.24%,LMT,LOCKHEED MARTIN CORP,--,"$388,999.68",768
1.13%,CMI,CUMMINS INC,--,"$356,084.20",524
1.06%,GD,GENERAL DYNAMICS CORP,--,"$333,361.86",962
1.04%,ADP,AUTOMATIC DATA PROCESSING,--,"$325,456.36","1,528"
1.03%,JCI,JOHNSON CONTROLS INTERNATION,--,"$323,825.92","2,321"
1.01%,CSX,CSX CORP,--,"$316,096.33","7,051"
0.99%,FDX,FEDEX CORP,--,"$310,435.60",820
0.96%,WM,WASTE MANAGEMENT INC,--,"$303,025.59","1,407"
0.96%,EMR,EMERSON ELECTRIC CO,--,"$301,131.61","2,131"
0.91%,MMM,3M CO,--,"$286,150.13","1,997"
0.90%,UPS,UNITED PARCEL SERVICE-CL B,--,"$282,385.56","2,802"
0.89%,NOC,NORTHROP GRUMMAN CORP,--,"$278,057.12",506
0.85%,NSC,NORFOLK SOUTHERN CORP,--,"$265,832.52",852
0.83%,TDG,TRANSDIGM GROUP INC,--,"$260,027.12",214
0.83%,FIX,COMFORT SYSTEMS USA INC,--,"$259,665.21",133
0.81%,ITW,ILLINOIS TOOL WORKS,--,"$253,231.44",994
0.72%,PCAR,PACCAR INC,--,"$227,705.52","1,992"
0.71%,URI,UNITED RENTALS INC,--,"$223,943.00",239
0.69%,CTAS,CINTAS CORP,--,"$215,224.33","1,289"
0.68%,LHX,L3HARRIS TECHNOLOGIES INC,--,"$212,145.12",708
0.65%,GWW,WW GRAINGER INC,--,"$204,382.52",166
0.65%,AME,AMETEK INC,--,"$202,885.20",873
0.63%,CARR,CARRIER GLOBAL CORP,--,"$199,086.57","2,979"
0.62%,ROK,ROCKWELL AUTOMATION INC,--,"$193,357.14",426
0.61%,FAST,FASTENAL CO,--,"$192,272.01","4,353"
0.57%,DAL,DELTA AIR LINES INC,--,"$180,611.79","2,463"
0.55%,WAB,WABTEC CORP,--,"$171,914.37",647
0.50%,EME,EMCOR GROUP INC,--,"$156,678.80",170
0.49%,RSG,REPUBLIC SERVICES INC,--,"$152,615.26",763
0.44%,ODFL,OLD DOMINION FREIGHT LINE,--,"$138,434.34",698
0.39%,UAL,UNITED AIRLINES HOLDINGS INC,--,"$122,085.08","1,226"
0.38%,AXON,AXON ENTERPRISE INC,--,"$120,658.46",299
0.37%,PAYX,PAYCHEX INC,--,"$115,064.25","1,225"
0.36%,CPRT,COPART INC,--,"$114,615.38","3,377"
0.36%,DOV,DOVER CORP,--,"$112,333.13",511
0.35%,OTIS,OTIS WORLDWIDE CORP,--,"$110,284.68","1,474"
0.33%,XYL,XYLEM INC,--,"$105,086.52",924
0.33%,IR,INGERSOLL-RAND INC,--,"$102,262.50","1,350"
0.32%,HUBB,HUBBELL INC,--,"$99,501.16",202
0.29%,VRSK,VERISK ANALYTICS INC,--,"$90,747.36",528
0.26%,VLTO,VERALTO CORP,--,"$81,803.28",942
0.26%,EFX,EQUIFAX INC,--,"$80,354.31",457
0.25%,EXPD,EXPEDITORS INTL WASH INC,--,"$79,598.52",508
0.25%,CHRW,C.H. ROBINSON WORLDWIDE INC,--,"$77,125.50",450
0.24%,LUV,SOUTHWEST AIRLINES CO,--,"$76,960.53","1,863"
0.23%,SNA,SNAP-ON INC,--,"$73,678.00",197
0.23%,FTV,FORTIVE CORP,--,"$71,790.84","1,188"
0.22%,JBHT,HUNT (JB) TRANSPRT SVCS INC,--,"$69,448.20",283
0.21%,BR,BROADRIDGE FINANCIAL SOLUTIO,--,"$66,228.50",443
0.20%,LDOS,LEIDOS HOLDINGS INC,--,"$63,103.35",485
0.20%,LII,LENNOX INTERNATIONAL INC,--,"$63,071.25",121
0.20%,IEX,IDEX CORP,--,"$61,605.28",284
0.19%,GNRC,GENERAC HOLDINGS INC,--,"$60,078.43",223
0.19%,TXT,TEXTRON INC,--,"$60,066.60",660
0.19%,ROL,ROLLINS INC,--,"$59,709.67","1,113"
0.18%,NDSN,NORDSON CORP,--,"$56,989.53",201
0.18%,MAS,MASCO CORP,--,"$55,383.28",772
0.17%,J,JACOBS SOLUTIONS INC,--,"$52,701.35",445
0.15%,PNR,PENTAIR PLC,--,"$47,705.22",621
0.15%,SWK,STANLEY BLACK & DECKER INC,--,"$47,588.09",587
0.15%,HII,HUNTINGTON INGALLS INDUSTRIE,--,"$47,125.72",149
0.14%,ALLE,ALLEGION PLC,--,"$43,804.62",326
0.10%,BLDR,BUILDERS FIRSTSOURCE INC,--,"$32,430.60",419
0.08%,AOS,SMITH (A.O.) CORP,--,"$24,963.60",426
--,RAL,RALLIANT CORP,--,$47.23,01
42.83%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP BNP PARIBAS,"13,455,003",--,"7,699"
31.12%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP UBS AG,"9,777,990",--,"5,595"
29.13%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"9,152,338",--,"5,237"
17.03%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"5,349,495",--,"3,061"
14.79%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"4,645,201",--,"2,658"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$10,948,190.74","10,948,191"
