Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
7.63%,BRK/B,BERKSHIRE HATHAWAY INC-CL B,--,"$49,581,049.50","104,175"
7.12%,JPM,JPMORGAN CHASE & CO,--,"$46,270,240.20","153,162"
4.68%,V,VISA INC-CLASS A SHARES,--,"$30,446,357.74","95,506"
3.53%,MA,MASTERCARD INC - A,--,"$22,917,931.92","46,254"
2.98%,BAC,BANK OF AMERICA CORP,--,"$19,343,202.97","376,987"
2.46%,GS,GOLDMAN SACHS GROUP INC,--,"$15,961,365.12","17,044"
2.04%,WFC,WELLS FARGO & CO,--,"$13,290,099.28","175,702"
2.03%,MS,MORGAN STANLEY,--,"$13,197,122.23","68,347"
1.92%,C,CITIGROUP INC,--,"$12,461,716.35","99,257"
1.48%,AXP,AMERICAN EXPRESS CO,--,"$9,614,580.69","30,423"
1.37%,BLK,BLACKROCK INC,--,"$8,882,588.04","8,188"
1.29%,SCHW,SCHWAB (CHARLES) CORP,--,"$8,405,721.82","94,862"
1.12%,SPGI,S&P GLOBAL INC,--,"$7,302,945.96","17,383"
1.04%,COF,CAPITAL ONE FINANCIAL CORP,--,"$6,727,108.44","35,503"
1.02%,CB,CHUBB LTD,--,"$6,603,123.12","20,658"
0.99%,PGR,PROGRESSIVE CORP,--,"$6,458,648.00","33,292"
0.89%,CME,CME GROUP INC,--,"$5,761,125.00","20,484"
0.81%,BX,BLACKSTONE INC,--,"$5,262,700.40","42,520"
0.79%,BK,BANK OF NEW YORK MELLON CORP,--,"$5,101,897.50","39,095"
0.77%,ICE,INTERCONTINENTAL EXCHANGE IN,--,"$5,026,441.56","32,258"
0.77%,PNC,PNC FINANCIAL SERVICES GROUP,--,"$4,974,755.85","22,941"
0.75%,USB,US BANCORP,--,"$4,903,021.35","88,295"
0.69%,MRSH,MARSH & MCLENNAN COS,--,"$4,494,599.00","27,532"
0.62%,KKR,KKR & CO INC,--,"$3,997,459.84","38,992"
0.61%,MCO,MOODY'S CORP,--,"$3,934,607.76","8,718"
0.59%,AON,AON PLC-CLASS A,--,"$3,810,407.78","12,182"
0.56%,TRV,TRAVELERS COS INC/THE,--,"$3,663,209.64","12,291"
0.54%,TFC,TRUIST FINANCIAL CORP,--,"$3,521,481.66","71,706"
0.54%,APO,APOLLO GLOBAL MANAGEMENT INC,--,"$3,514,748.40","26,387"
0.53%,HOOD,ROBINHOOD MARKETS INC - A,--,"$3,458,184.82","44,894"
0.48%,ALL,ALLSTATE CORP,--,"$3,149,930.70","14,778"
