Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
9.97%,LIN,LINDE PLC,--,"$4,139,585.04","8,394"
5.50%,NEM,NEWMONT CORP,--,"$2,285,343.65","19,615"
4.11%,NUE,NUCOR CORP,--,"$1,705,340.00","7,496"
3.83%,FCX,FREEPORT-MCMORAN INC,--,"$1,592,542.80","25,832"
3.39%,CRH,CRH PLC,--,"$1,409,258.88","12,388"
3.30%,APD,AIR PRODUCTS & CHEMICALS INC,--,"$1,370,997.81","4,641"
3.26%,VMC,VULCAN MATERIALS CO,--,"$1,355,614.16","4,778"
3.20%,CTVA,CORTEVA INC,--,"$1,329,396.18","16,386"
3.16%,SHW,SHERWIN-WILLIAMS CO/THE,--,"$1,312,268.44","4,142"
3.06%,MLM,MARTIN MARIETTA MATERIALS,--,"$1,271,678.52","2,154"
2.85%,ECL,ECOLAB INC,--,"$1,182,885.66","4,653"
2.81%,STLD,STEEL DYNAMICS INC,--,"$1,167,741.70","4,967"
2.30%,DOW,DOW INC,--,"$956,887.11","25,953"
2.13%,PPG,PPG INDUSTRIES INC,--,"$883,614.60","8,114"
2.09%,ALB,ALBEMARLE CORP,--,"$867,198.72","4,261"
1.89%,SW,SMURFIT WESTROCK PLC,--,"$785,211.90","18,898"
1.81%,IFF,INTL FLAVORS & FRAGRANCES,--,"$751,009.30","9,266"
1.77%,DD,DUPONT DE NEMOURS INC,--,"$736,597.28","14,803"
1.75%,PKG,PACKAGING CORP OF AMERICA,--,"$725,874.88","3,232"
1.61%,LYB,LYONDELLBASELL INDU-CL A,--,"$668,659.68","9,318"
1.61%,AMCR,AMCOR PLC,--,"$667,270.23","16,711"
1.56%,CF,CF INDUSTRIES HOLDINGS INC,--,"$648,827.82","5,641"
1.52%,IP,INTERNATIONAL PAPER CO,--,"$630,939.06","19,102"
1.37%,BALL,BALL CORP,--,"$567,117.32","9,691"
1.10%,AVY,AVERY DENNISON CORP,--,"$456,846.94","2,794"
0.61%,MOS,MOSAIC CO/THE,--,"$254,719.01","11,479"
30.31%,--,MATERIALS SELECT SECTOR INDEX SWAP UBS AG,"12,589,249",--,"11,479"
29.84%,--,MATERIALS SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"12,394,033",--,"11,301"
25.54%,--,MATERIALS SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"10,606,379",--,"9,671"
24.51%,--,MATERIALS SELECT SECTOR INDEX SWAP BNP PARIBAS,"10,180,852",--,"9,283"
18.40%,--,MATERIALS SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"7,640,848",--,"6,967"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$11,808,846.29","11,808,846"
