Direxion Daily Dow Jones Internet Bull 3X ETF
WEBL
Shares Outstanding:4750001


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/1/2026 12:00:00 AM","WEBL","ABNB","AIRBNB INC-CLASS A","14553.0000","140.3600","2042659.0800","009066101","1.8239772491"
"5/1/2026 12:00:00 AM","WEBL","AKAM","AKAMAI TECHNOLOGIES INC","4943.0000","102.9800","509030.1400","00971T101","0.4545346816"
"5/1/2026 12:00:00 AM","WEBL","GOOGL","ALPHABET INC-CL A","12245.0000","384.8000","4711876.0000","02079K305","4.2074346663"
"5/1/2026 12:00:00 AM","WEBL","GOOG","ALPHABET INC-CL C","9835.0000","381.9400","3756379.9000","02079K107","3.3542315228"
"5/1/2026 12:00:00 AM","WEBL","AMZN","AMAZON.COM INC","32039.0000","265.0600","8492257.3400","023135106","7.5830980966"
"5/1/2026 12:00:00 AM","WEBL","ANET","ARISTA NETWORKS INC","22179.0000","172.7100","3830535.0900","040413205","3.4204478488"
"5/1/2026 12:00:00 AM","WEBL","TEAM","ATLASSIAN CORP-CL A","5828.0000","68.5900","399742.5200","049468101","0.3569471133"
"5/1/2026 12:00:00 AM","WEBL","BKNG","BOOKING HOLDINGS INC","17760.0000","168.3600","2990073.6000","09857L108","2.6699640057"
"5/1/2026 12:00:00 AM","WEBL","BOX","BOX INC - CLASS A","4924.0000","24.2000","119160.8000","10316T104","0.1064037510"
"5/1/2026 12:00:00 AM","WEBL","CVNA","CARVANA CO","4858.0000","395.8000","1922796.4000","146869102","1.7169467595"
"5/1/2026 12:00:00 AM","WEBL","CIEN","CIENA CORP","4842.0000","527.5800","2554542.3600","171779309","2.2810596208"
"5/1/2026 12:00:00 AM","WEBL","CSCO","CISCO SYSTEMS INC","56933.0000","91.5000","5209369.5000","17275R102","4.6516677908"
"5/1/2026 12:00:00 AM","WEBL","NET","CLOUDFLARE INC - CLASS A","10902.0000","204.9700","2234582.9400","18915M107","1.9953542339"
"5/1/2026 12:00:00 AM","WEBL","CPRT","COPART INC","30598.0000","33.1100","1013099.7800","217204106","0.9046399215"
"5/1/2026 12:00:00 AM","WEBL","CRWV","COREWEAVE INC-CL A","8299.0000","111.6000","926168.4000","21873S108","0.8270151916"
"5/1/2026 12:00:00 AM","WEBL","DDOG","DATADOG INC - CLASS A","11278.0000","132.1900","1490838.8200","23804L103","1.3312334478"
"5/1/2026 12:00:00 AM","WEBL","DOCU","DOCUSIGN INC","6879.0000","45.9900","316365.2100","256163106","0.2824959638"
"5/1/2026 12:00:00 AM","WEBL","DASH","DOORDASH INC - A","12845.0000","168.6500","2166309.2500","25809K105","1.9343897497"
"5/1/2026 12:00:00 AM","WEBL","","DOW JONES INTERNET COMPOSITE INDEX SWAP","29245.0000","1206.6400","35288186.8000","DJINETCT","31.5103242215"
