Direxion Daily FTSE China Bull 3X ETF
YINN
Shares Outstanding:21742767


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"5/8/2026 12:00:00 AM","YINN","","DREYFUS GOVT CASH MAN INS","142278115.6000","1.0000","142278115.6000","X9USDDGCM","18.2754877104"
"5/8/2026 12:00:00 AM","YINN","","DREYFUS TRSRY SECURITIES CASH MGMT","46090000.0000","1.0000","46090000.0000","X9USDDTP3","5.9202163665"
"5/8/2026 12:00:00 AM","YINN","","GOLDMAN FINL SQ TRSRY INST 506","131513958.1200","1.0000","131513958.1200","X9USDGSFC","16.8928419893"
"5/8/2026 12:00:00 AM","YINN","","GOLDMAN SACHS FIN GOV 465 INSTITUT","83590000.0000","1.0000","83590000.0000","X9USDGLDS","10.7370554584"
"5/8/2026 12:00:00 AM","YINN","FXI","ISHARES CHINA LARGE-CAP ETF","11852813.0000","37.1900","440806115.4700","464287184","56.6211234382"
"5/8/2026 12:00:00 AM","YINN","","ISHARES CHINA LARGECAP ETF SWAP","1000000.0000","37.1900","37190000.0000","FXINM","4.7770198887"
"5/8/2026 12:00:00 AM","YINN","","ISHARES CHINA LARGECAP ETF SWAP","2208681.0000","37.1900","82140846.3900","FXIGS","10.5509130648"
"5/8/2026 12:00:00 AM","YINN","","ISHARES CHINA LARGECAP ETF SWAP","4673518.0000","37.1900","173808134.4200","FXIBP","22.3254884363"
"5/8/2026 12:00:00 AM","YINN","","ISHARES CHINA LARGECAP ETF SWAP","4834760.0000","37.1900","179804724.4000","FXIML","23.0957446772"
"5/8/2026 12:00:00 AM","YINN","","ISHARES CHINA LARGECAP ETF SWAP","5250000.0000","37.1900","195247500.0000","FXISG","25.0793544158"
"5/8/2026 12:00:00 AM","YINN","","ISHARES CHINA LARGECAP ETF SWAP","10098854.0000","37.1900","375576380.2600","FXIU","48.2424264112"
"5/8/2026 12:00:00 AM","YINN","","ISHARES CHINA LARGECAP ETF SWAP","11220838.0000","37.1900","417302965.2200","FXIBC","53.6021662941"
"5/8/2026 12:00:00 AM","YINN","","ISHARES CHINA LARGECAP ETF SWAP","11661216.0000","37.1900","433680623.0400","FXICT","55.7058607586"
